Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,125.85,126.40,124.97,125.60,37193100,125.60
2015-04-07,127.64,128.12,125.98,126.01,34820100,126.01
2015-04-06,124.47,127.51,124.33,127.35,36881400,127.35
2015-04-02,125.03,125.56,124.19,125.32,32120700,125.32
2015-04-01,124.82,125.12,123.10,124.25,40359200,124.25
2015-03-31,126.09,126.49,124.36,124.43,41852400,124.43
2015-03-30,124.05,126.40,124.00,126.37,46906700,126.37
2015-03-27,124.57,124.70,122.91,123.25,39395000,123.25
2015-03-26,122.76,124.88,122.60,124.24,47388100,124.24
2015-03-25,126.54,126.82,123.38,123.38,51106600,123.38
2015-03-24,127.23,128.04,126.56,126.69,32713000,126.69
2015-03-23,127.12,127.85,126.52,127.21,36761000,127.21
2015-03-20,128.25,128.40,125.16,125.90,67941100,125.90
2015-03-19,128.75,129.25,127.40,127.50,45809500,127.50
2015-03-18,127.00,129.16,126.37,128.47,65270900,128.47
2015-03-17,125.90,127.32,125.65,127.04,51023100,127.04
2015-03-16,123.88,124.95,122.87,124.95,35874300,124.95
2015-03-13,124.40,125.40,122.58,123.59,51827300,123.59
2015-03-12,122.31,124.90,121.63,124.45,48362700,124.45
2015-03-11,124.75,124.77,122.11,122.24,68939000,122.24
2015-03-10,126.41,127.22,123.80,124.51,68856600,124.51
2015-03-09,127.96,129.57,125.06,127.14,88528500,127.14
2015-03-06,128.40,129.37,126.26,126.60,72842100,126.60
2015-03-05,128.58,128.75,125.76,126.41,56517100,126.41
2015-03-04,129.10,129.56,128.32,128.54,31666300,128.54
2015-03-03,128.96,129.52,128.09,129.36,37816300,129.36
2015-03-02,129.25,130.28,128.30,129.09,48096700,129.09
2015-02-27,130.00,130.57,128.24,128.46,62014800,128.46
2015-02-26,128.79,130.87,126.61,130.42,91287500,130.42
2015-02-25,131.56,131.60,128.15,128.79,74711700,128.79
2015-02-24,132.94,133.60,131.17,132.17,69228100,132.17
2015-02-23,130.02,133.00,129.66,133.00,70974100,133.00
2015-02-20,128.62,129.50,128.05,129.50,48948400,129.50
2015-02-19,128.48,129.03,128.33,128.45,37362400,128.45
2015-02-18,127.63,128.78,127.45,128.72,44891700,128.72
2015-02-17,127.49,128.88,126.92,127.83,63152400,127.83
2015-02-13,127.28,127.28,125.65,127.08,54272200,127.08
2015-02-12,126.06,127.48,125.57,126.46,74474500,126.46
2015-02-11,122.77,124.92,122.50,124.88,73561800,124.88
2015-02-10,120.17,122.15,120.16,122.02,62008500,122.02
2015-02-09,118.55,119.84,118.43,119.72,38889800,119.72
2015-02-06,120.02,120.25,118.45,118.93,43372000,118.93
2015-02-05,120.02,120.23,119.25,119.94,42246200,119.94
2015-02-04,118.50,120.51,118.31,119.56,70149700,119.09
2015-02-03,118.50,119.09,117.61,118.65,51915700,118.18
2015-02-02,118.05,119.17,116.08,118.63,62739100,118.16
2015-01-30,118.40,120.00,116.85,117.16,83745500,116.70
2015-01-29,116.32,119.19,115.56,118.90,84436400,118.43
2015-01-28,117.63,118.12,115.31,115.31,146477100,114.86
2015-01-27,112.42,112.48,109.03,109.14,95568700,108.71
2015-01-26,113.74,114.36,112.80,113.10,55615000,112.66
2015-01-23,112.30,113.75,111.53,112.98,46464800,112.54
2015-01-22,110.26,112.47,109.72,112.40,53796400,111.96
2015-01-21,108.95,111.06,108.27,109.55,48575900,109.12
2015-01-20,107.84,108.97,106.50,108.72,49899900,108.29
2015-01-16,107.03,107.58,105.20,105.99,78513300,105.57
2015-01-15,110.00,110.06,106.66,106.82,60014000,106.40
2015-01-14,109.04,110.49,108.50,109.80,48956600,109.37
2015-01-13,111.43,112.80,108.91,110.22,67091900,109.79
2015-01-12,112.60,112.63,108.80,109.25,49650800,108.82
2015-01-09,112.67,113.25,110.21,112.01,53699500,111.57
2015-01-08,109.23,112.15,108.70,111.89,59364500,111.45
2015-01-07,107.20,108.20,106.70,107.75,40105900,107.33
2015-01-06,106.54,107.43,104.63,106.26,65797100,105.84
2015-01-05,108.29,108.65,105.41,106.25,64285500,105.83
2015-01-02,111.39,111.44,107.35,109.33,53204600,108.90
