Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,62.58,62.80,61.06,61.21,331500,61.21
2014-12-30,62.51,62.78,61.84,62.28,131500,62.28
2014-12-29,63.01,64.49,62.21,62.74,272300,62.74
2014-12-26,63.29,63.30,62.62,62.96,121700,62.96
2014-12-24,62.60,63.06,62.30,62.92,141400,62.92
2014-12-23,63.29,63.38,62.00,62.58,255000,62.58
2014-12-22,62.75,63.59,62.60,63.05,173000,63.05
2014-12-19,63.04,63.32,62.58,62.96,489200,62.96
2014-12-18,61.87,63.20,61.68,63.14,279400,63.14
2014-12-17,59.04,61.48,59.04,61.33,439200,61.33
2014-12-16,60.32,61.18,59.06,59.17,509900,59.17
2014-12-15,61.67,62.47,59.05,60.79,620800,60.79
2014-12-12,61.51,62.89,61.51,61.57,241400,61.57
2014-12-11,60.84,62.65,60.62,62.32,289100,62.32
2014-12-10,62.94,63.44,60.23,60.67,398900,60.67
2014-12-09,62.35,63.27,59.74,63.21,470500,63.21
2014-12-08,64.07,64.49,62.57,63.06,363500,63.06
2014-12-05,63.91,64.99,63.73,64.06,500300,64.06
2014-12-04,63.41,64.17,62.85,63.50,286200,63.50
2014-12-03,62.44,63.85,61.66,63.29,166600,63.29
2014-12-02,62.05,63.36,62.01,62.22,234700,62.22
2014-12-01,62.00,63.23,61.02,61.66,263900,61.66
2014-11-28,62.10,63.71,61.88,62.01,132000,62.01
2014-11-26,62.07,63.12,61.50,62.11,218400,62.11
2014-11-25,63.59,63.84,62.12,62.17,221000,62.17
2014-11-24,61.99,63.86,61.87,63.21,177500,63.21
2014-11-21,62.95,62.95,61.56,61.78,184500,61.78
2014-11-20,61.70,62.42,61.11,62.17,158400,62.17
2014-11-19,62.75,62.75,61.26,62.01,273700,62.01
2014-11-18,62.57,63.68,62.30,63.01,470900,63.01
2014-11-17,61.10,63.15,60.80,62.25,675800,62.25
2014-11-14,61.16,61.78,60.57,61.32,564100,61.32
2014-11-13,61.29,61.93,60.44,61.29,263800,61.29
2014-11-12,60.84,61.48,60.06,61.43,194900,61.43
2014-11-11,61.22,61.99,60.45,61.48,245400,61.48
2014-11-10,60.60,61.41,60.11,61.29,441900,61.29
2014-11-07,60.34,60.87,59.88,60.41,584400,60.41
2014-11-06,60.10,61.15,59.54,60.66,244400,60.66
2014-11-05,61.49,62.04,60.00,60.30,365400,60.30
2014-11-04,60.22,61.05,59.34,60.77,447500,60.77
2014-11-03,61.73,62.00,58.91,60.52,1115800,60.52
2014-10-31,65.13,66.88,61.44,62.05,1040500,62.05
2014-10-30,60.20,61.91,57.19,59.08,1730100,59.08
2014-10-29,53.04,53.37,52.43,52.91,301400,52.91
2014-10-28,53.53,53.67,52.30,53.13,548600,53.13
2014-10-27,52.86,53.60,52.60,53.46,363900,53.46
2014-10-24,52.80,53.24,52.36,52.97,261700,52.97
2014-10-23,53.07,54.31,51.93,52.70,582600,52.70
2014-10-22,53.16,54.49,52.50,52.66,733700,52.66
2014-10-21,50.84,52.53,50.84,52.34,389000,52.34
2014-10-20,49.61,50.55,49.45,50.45,275800,50.45
2014-10-17,50.90,50.90,49.46,49.75,377300,49.75
2014-10-16,48.04,50.64,47.02,50.27,431000,50.27
2014-10-15,47.87,49.01,46.87,48.75,399800,48.75
