Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,60.83,61.23,60.01,60.06,1899200,60.06
2014-12-30,60.24,60.92,60.18,60.51,1226100,60.51
2014-12-29,60.83,60.98,60.32,60.76,648100,60.76
2014-12-26,60.92,61.51,60.89,61.03,676000,61.03
2014-12-24,60.77,61.34,60.53,60.99,355500,60.99
2014-12-23,60.34,60.98,59.99,60.65,1049700,60.65
2014-12-22,60.02,60.66,59.70,60.19,849500,60.19
2014-12-19,59.49,60.34,59.36,59.90,3121300,59.90
2014-12-18,57.92,59.47,57.38,59.46,2267100,59.46
2014-12-17,56.50,57.17,56.12,57.01,1507300,57.01
2014-12-16,57.07,57.85,56.47,56.63,2648600,56.63
2014-12-15,59.12,59.73,58.21,58.21,1968100,58.21
2014-12-12,58.70,59.60,58.45,58.88,1536100,58.88
2014-12-11,59.25,60.14,58.68,58.82,922700,58.82
2014-12-10,59.68,60.14,58.81,58.91,1353100,58.91
2014-12-09,59.48,60.33,59.13,60.17,1111100,60.17
2014-12-08,60.27,61.08,59.92,60.10,1464000,60.10
2014-12-05,61.13,61.42,60.65,60.90,1190700,60.90
2014-12-04,61.14,61.53,60.83,61.09,1019900,61.09
2014-12-03,60.54,61.48,60.54,61.45,1514300,61.45
2014-12-02,60.50,61.13,60.22,60.74,1787600,60.74
2014-12-01,61.72,61.97,60.50,60.51,1543300,60.51
2014-11-28,61.76,62.49,61.40,62.00,989300,62.00
2014-11-26,61.04,61.55,60.93,61.35,1074800,61.35
2014-11-25,61.47,62.05,60.80,61.03,2232600,61.03
2014-11-24,61.68,61.80,60.92,61.28,4942200,61.28
2014-11-21,61.00,63.00,60.65,61.95,7463700,61.95
2014-11-20,58.66,59.14,58.29,58.41,3480100,58.41
2014-11-19,59.42,59.44,58.84,59.10,2121600,59.10
2014-11-18,59.48,60.20,59.17,59.23,2378900,59.23
2014-11-17,59.52,59.88,58.79,58.99,1474700,58.99
2014-11-14,59.37,59.89,59.26,59.66,1329700,59.66
2014-11-13,59.35,59.66,58.91,59.31,1779800,59.31
2014-11-12,58.88,59.47,58.83,58.98,1674000,58.98
2014-11-11,59.67,59.67,58.83,58.99,1762100,58.99
2014-11-10,59.32,59.79,59.06,59.40,1773200,59.40
2014-11-07,59.29,59.54,58.55,59.42,1700700,59.42
2014-11-06,58.60,59.33,58.45,59.20,1809200,59.20
2014-11-05,58.46,58.70,57.74,58.32,1748500,58.32
2014-11-04,57.58,58.37,57.53,58.24,2154100,58.24
2014-11-03,57.77,58.37,57.37,57.77,2541200,57.77
2014-10-31,58.51,58.74,57.47,57.54,2370300,57.54
2014-10-30,55.87,57.48,55.81,57.37,1627000,57.37
2014-10-29,56.01,56.70,55.58,55.96,1205300,55.96
2014-10-28,54.97,56.10,54.85,56.10,2073400,56.10
2014-10-27,54.25,54.97,54.07,54.77,1236000,54.77
2014-10-24,53.80,54.49,53.53,54.45,1882100,54.45
2014-10-23,52.63,54.15,52.46,53.55,2292000,53.55
2014-10-22,52.84,53.11,52.08,52.25,2794300,52.25
2014-10-21,52.44,53.11,52.06,52.80,1784400,52.80
2014-10-20,50.74,51.84,50.15,51.82,2905300,51.82
2014-10-17,50.35,51.21,50.14,50.79,2390500,50.79
2014-10-16,49.34,50.24,49.28,49.89,2944500,49.89
2014-10-15,49.01,50.67,48.38,50.52,4815800,50.52
2014-10-14,52.53,52.53,49.58,50.13,5947400,50.13
2014-10-13,53.45,53.68,51.89,51.94,3838300,51.94
2014-10-10,55.96,56.34,53.57,53.72,5370800,53.72
2014-10-09,57.01,57.64,55.72,56.07,3988800,56.07
2014-10-08,56.54,57.18,55.59,57.08,2846500,57.08
2014-10-07,57.87,57.97,56.54,56.59,3293000,56.59
2014-10-06,58.38,58.68,58.12,58.18,2691100,58.18
2014-10-03,57.90,58.49,57.81,58.12,3592700,58.12
2014-10-02,56.78,58.75,56.42,57.74,10205200,57.74
2014-10-01,53.48,56.00,53.00,55.66,9834100,55.66
2014-09-30,55.11,55.37,54.19,55.10,2384500,55.10
2014-09-29,53.68,55.08,53.52,55.04,1784500,55.04
2014-09-26,54.40,54.66,53.80,54.28,3518400,54.28
2014-09-25,55.57,55.65,54.40,54.43,3394500,54.43
2014-09-24,55.04,55.72,54.25,55.66,3607900,55.66
2014-09-23,54.70,55.15,54.70,54.95,2227300,54.95
2014-09-22,55.24,55.42,54.12,54.88,4380300,54.88
2014-09-19,55.85,55.98,54.85,55.61,4684300,55.61
2014-09-18,55.10,55.91,55.00,55.73,2960400,55.73
2014-09-17,54.32,55.21,54.05,54.89,3410000,54.89
