Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,1.50,1.84,1.48,1.84,17800,1.84
2014-12-30,1.49,1.66,1.49,1.51,22300,1.51
2014-12-29,1.60,1.60,1.47,1.53,45700,1.53
2014-12-26,1.54,1.60,1.47,1.59,19600,1.59
2014-12-24,1.51,1.59,1.51,1.59,4900,1.59
2014-12-23,1.49,1.51,1.45,1.51,30800,1.51
2014-12-22,1.45,1.50,1.45,1.50,2400,1.50
2014-12-19,1.48,1.51,1.46,1.47,12100,1.47
2014-12-18,1.45,1.50,1.45,1.50,13200,1.50
2014-12-17,1.47,1.50,1.45,1.50,5100,1.50
2014-12-16,1.43,1.49,1.40,1.43,5800,1.43
2014-12-15,1.49,1.54,1.43,1.49,21300,1.49
2014-12-12,1.40,1.46,1.32,1.45,23000,1.45
2014-12-11,1.43,1.45,1.32,1.36,47500,1.36
2014-12-10,1.43,1.49,1.43,1.44,4300,1.44
2014-12-09,1.51,1.52,1.42,1.44,10600,1.44
2014-12-08,1.54,1.56,1.40,1.42,20800,1.42
2014-12-05,1.60,1.60,1.51,1.56,16800,1.56
2014-12-04,1.62,1.71,1.59,1.64,11200,1.64
2014-12-03,1.60,1.63,1.60,1.63,700,1.63
2014-12-02,1.60,1.66,1.60,1.60,8800,1.60
2014-12-01,1.69,1.69,1.62,1.62,1900,1.62
2014-11-28,1.63,1.71,1.58,1.71,2900,1.71
2014-11-26,1.59,1.66,1.52,1.65,26500,1.65
2014-11-25,1.57,1.58,1.52,1.57,19400,1.57
2014-11-24,1.51,1.55,1.51,1.52,14800,1.52
2014-11-21,1.41,1.60,1.41,1.50,42700,1.50
2014-11-20,1.53,1.60,1.48,1.52,49800,1.52
2014-11-19,1.58,1.58,1.50,1.54,32700,1.54
2014-11-18,1.50,1.57,1.50,1.56,40500,1.56
2014-11-17,1.40,1.61,1.29,1.42,57300,1.42
2014-11-14,1.52,1.58,1.36,1.42,67900,1.42
2014-11-13,1.67,1.70,1.54,1.58,35000,1.58
2014-11-12,1.72,1.75,1.71,1.72,17400,1.72
2014-11-11,1.79,1.79,1.66,1.68,44400,1.68
2014-11-10,1.73,1.79,1.73,1.77,13900,1.77
2014-11-07,1.72,1.74,1.72,1.73,3200,1.73
2014-11-06,1.75,1.78,1.71,1.73,19500,1.73
2014-11-05,1.82,1.83,1.74,1.79,53700,1.79
2014-11-04,1.88,1.92,1.69,1.75,54800,1.75
2014-11-03,1.89,1.96,1.86,1.86,43000,1.86
2014-10-31,1.82,1.92,1.76,1.87,30400,1.87
2014-10-30,1.94,1.94,1.77,1.86,43100,1.86
2014-10-29,1.89,1.91,1.72,1.91,111800,1.91
2014-10-28,2.15,2.17,1.82,1.86,172900,1.86
2014-10-27,2.10,2.20,2.07,2.14,18400,2.14
2014-10-24,2.20,2.30,2.05,2.10,262100,2.10
2014-10-23,2.00,2.24,1.97,2.15,225800,2.15
2014-10-22,2.12,2.24,1.96,2.09,201100,2.09
2014-10-21,2.24,2.33,2.10,2.11,206700,2.11
2014-10-20,2.44,2.48,2.23,2.28,339300,2.28
2014-10-17,2.75,2.94,2.47,2.73,1246700,2.73
2014-10-16,2.35,3.70,2.28,2.90,7867200,2.90
2014-10-15,2.25,2.30,2.04,2.16,246200,2.16
2014-10-14,2.58,2.65,2.08,2.20,654700,2.20
2014-10-13,3.49,3.50,2.45,2.94,1612000,2.94
2014-10-10,1.85,3.30,1.85,3.30,3924600,3.30
2014-10-09,1.85,1.85,1.85,1.85,300,1.85
2014-10-08,2.00,2.00,1.60,1.85,40100,1.85
2014-10-07,1.95,2.00,1.94,2.00,2300,2.00
2014-10-06,1.99,1.99,1.94,1.99,2500,1.99
2014-10-03,2.00,2.05,1.99,1.99,12400,1.99
2014-10-02,2.00,2.02,1.94,2.00,32900,2.00
2014-10-01,2.00,2.00,1.99,2.00,5300,2.00
2014-09-30,1.97,2.00,1.97,1.99,1900,1.99
2014-09-29,2.00,2.06,1.96,2.00,14900,2.00
2014-09-26,2.02,2.05,2.01,2.01,400,2.01
2014-09-25,2.09,2.18,2.05,2.05,3100,2.05
2014-09-24,2.02,2.08,1.95,2.08,6500,2.08
2014-09-23,2.02,2.07,1.96,1.99,10900,1.99
2014-09-22,1.96,2.03,1.96,2.00,16500,2.00
2014-09-19,2.05,2.11,1.97,2.00,26300,2.00
2014-09-18,2.06,2.10,2.03,2.03,15700,2.03
2014-09-17,2.15,2.25,2.06,2.08,4900,2.08
