Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,21.40,21.40,21.40,21.40,000,21.40
2015-04-07,21.40,21.40,21.40,21.40,000,21.40
2015-04-06,21.40,21.55,21.40,21.40,2700,21.40
2015-04-02,21.50,21.50,21.50,21.50,62800,21.50
2015-04-01,21.32,21.50,21.32,21.50,8000,21.50
2015-03-31,21.60,21.60,21.60,21.60,100,21.60
2015-03-30,21.47,21.69,21.47,21.69,38000,21.69
2015-03-27,21.26,21.52,21.26,21.49,11800,21.49
2015-03-26,21.55,21.55,21.25,21.51,12600,21.51
2015-03-25,21.59,21.60,21.26,21.46,13100,21.46
2015-03-24,21.51,21.60,21.50,21.55,80700,21.55
2015-03-23,21.49,21.55,21.45,21.50,79700,21.50
2015-03-20,21.45,21.50,21.40,21.43,73400,21.43
2015-03-19,21.35,21.35,21.35,21.35,600,21.35
2015-03-18,21.35,21.45,21.34,21.41,71600,21.41
2015-03-17,21.40,21.40,21.37,21.40,74800,21.40
2015-03-16,21.40,21.45,21.36,21.40,35700,21.40
2015-03-13,21.30,21.40,21.06,21.40,16900,21.40
2015-03-12,21.25,21.45,21.24,21.43,24200,21.43
2015-03-11,21.25,21.25,21.10,21.21,8600,21.21
2015-03-10,21.25,21.25,21.12,21.22,2100,21.22
2015-03-09,21.15,21.27,21.12,21.27,47500,21.27
2015-03-06,20.75,21.28,20.75,21.20,84600,21.20
2015-03-05,21.04,21.19,21.00,21.13,32000,21.13
2015-03-04,21.26,21.26,20.69,21.13,171300,21.13
2015-03-03,20.85,21.90,20.85,21.21,591700,21.21
2015-03-02,17.50,17.51,17.50,17.51,600,17.51
2015-02-27,17.67,17.67,17.50,17.50,1800,17.50
2015-02-26,17.42,17.50,17.42,17.50,900,17.50
2015-02-25,17.00,17.00,17.00,17.00,000,17.00
2015-02-24,16.97,17.00,16.97,17.00,700,17.00
2015-02-23,17.00,17.00,16.98,17.00,1500,17.00
2015-02-20,16.98,16.98,16.75,16.93,700,16.93
2015-02-19,17.00,17.00,16.40,17.00,7700,17.00
2015-02-18,16.80,17.74,16.45,16.45,7700,16.45
2015-02-17,16.95,16.95,16.44,16.50,7600,16.50
2015-02-13,16.50,16.50,16.50,16.50,000,16.50
2015-02-12,16.50,16.50,16.50,16.50,000,16.50
2015-02-11,16.78,16.82,16.50,16.50,1100,16.50
2015-02-10,16.82,17.02,16.80,16.84,25900,16.78
2015-02-09,16.96,17.10,16.84,17.08,1900,17.02
2015-02-06,17.05,17.11,17.00,17.00,1100,16.94
2015-02-05,17.04,17.69,17.04,17.10,2200,17.04
2015-02-04,17.55,17.55,17.55,17.55,000,17.49
2015-02-03,16.87,17.55,16.87,17.55,700,17.49
2015-02-02,17.61,17.69,16.67,17.69,1200,17.63
2015-01-30,17.40,17.50,17.40,17.50,2200,17.44
2015-01-29,17.35,17.35,17.35,17.35,000,17.29
2015-01-28,17.35,17.35,17.35,17.35,100,17.29
2015-01-27,17.35,17.35,17.12,17.12,500,17.06
2015-01-26,16.72,17.45,16.70,17.20,5400,17.14
2015-01-23,16.62,17.66,16.62,17.66,2400,17.60
2015-01-22,17.10,17.25,16.51,16.75,9000,16.69
2015-01-21,17.57,17.62,16.45,17.56,7400,17.50
2015-01-20,17.75,17.75,17.75,17.75,600,17.69
2015-01-16,17.71,17.73,17.71,17.73,400,17.67
2015-01-15,17.75,17.75,17.48,17.70,700,17.64
2015-01-14,17.38,17.38,17.38,17.38,100,17.32
2015-01-13,17.27,17.27,17.27,17.27,000,17.21
2015-01-12,17.27,17.27,17.27,17.27,300,17.21
2015-01-09,17.67,17.67,17.67,17.67,100,17.61
2015-01-08,17.72,17.80,17.72,17.75,2200,17.69
2015-01-07,17.62,17.73,17.62,17.73,700,17.67
2015-01-06,17.63,17.63,17.63,17.63,000,17.57
2015-01-05,17.59,17.78,17.45,17.63,2000,17.57
2015-01-02,16.30,17.80,16.30,17.60,2600,17.54
