Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,86.52,87.27,84.38,84.61,72200,84.51
2014-12-30,88.19,88.83,85.54,86.07,63800,85.97
2014-12-29,86.91,88.94,85.66,88.70,60300,88.60
2014-12-26,86.45,87.48,86.17,86.63,29600,86.53
2014-12-24,86.12,86.71,85.30,86.43,19200,86.33
2014-12-23,86.95,87.02,85.05,86.11,58100,86.01
2014-12-22,86.11,87.42,84.73,86.43,71100,86.33
2014-12-19,85.20,86.57,83.31,86.50,192300,86.40
2014-12-18,85.30,85.63,83.42,85.40,73900,85.30
2014-12-17,82.48,84.75,81.54,84.50,99200,84.40
2014-12-16,82.88,84.28,81.82,82.13,78600,81.93
2014-12-15,85.00,86.00,82.67,82.68,74000,82.48
2014-12-12,85.13,86.23,84.01,85.14,109000,84.94
2014-12-11,83.44,87.07,82.74,86.68,108800,86.47
2014-12-10,82.84,87.73,79.50,83.20,260600,83.00
2014-12-09,74.09,76.67,73.55,76.05,110600,75.87
2014-12-08,74.80,75.99,73.93,74.18,27900,74.00
2014-12-05,73.79,75.20,73.79,74.95,88700,74.77
2014-12-04,73.20,74.06,73.06,73.91,70700,73.73
2014-12-03,72.19,74.04,71.80,73.45,40500,73.28
2014-12-02,72.84,73.43,71.91,72.39,39700,72.22
2014-12-01,73.80,73.80,72.21,72.50,49300,72.33
2014-11-28,73.11,74.56,72.75,72.84,21300,72.67
2014-11-26,72.34,73.58,72.30,73.29,33200,73.12
2014-11-25,72.64,73.12,70.99,72.54,40500,72.37
2014-11-24,72.19,72.49,71.40,72.41,56400,72.24
2014-11-21,73.20,73.39,71.64,71.80,50700,71.63
2014-11-20,71.23,72.46,70.88,72.32,34800,72.15
2014-11-19,72.93,73.54,71.26,71.61,31000,71.44
2014-11-18,71.92,73.32,71.70,72.83,43400,72.66
2014-11-17,72.44,72.57,71.37,71.60,51200,71.43
2014-11-14,72.05,72.62,71.44,72.18,42000,72.01
2014-11-13,73.30,73.30,71.91,72.21,33800,72.04
2014-11-12,73.15,73.15,72.22,72.83,58800,72.66
2014-11-11,73.11,73.40,72.32,72.94,31300,72.77
2014-11-10,72.85,73.44,72.20,72.94,55100,72.77
2014-11-07,73.50,73.71,72.63,73.00,49000,72.83
2014-11-06,73.59,73.94,72.85,73.35,43800,73.18
2014-11-05,73.92,73.92,73.24,73.69,57900,73.51
2014-11-04,72.83,73.55,72.30,73.44,47700,73.27
2014-11-03,72.67,72.88,71.27,72.40,61700,72.23
2014-10-31,72.61,73.16,72.12,72.94,70500,72.77
2014-10-30,71.29,71.92,70.66,71.49,84200,71.32
2014-10-29,73.30,73.93,70.52,71.32,84500,71.15
2014-10-28,71.06,73.45,70.84,73.40,65100,73.23
2014-10-27,71.47,71.49,70.70,70.95,38700,70.78
2014-10-24,71.40,71.82,70.68,71.63,27900,71.46
2014-10-23,70.45,71.70,69.82,71.20,54000,71.03
2014-10-22,70.97,70.97,69.94,70.00,144600,69.83
2014-10-21,71.30,71.92,70.56,70.85,96500,70.68
2014-10-20,72.27,72.78,70.70,70.80,105400,70.63
2014-10-17,73.04,73.18,71.34,72.49,135500,72.32
2014-10-16,70.21,72.65,70.21,72.14,96300,71.97
2014-10-15,71.17,72.19,70.25,71.44,85500,71.27
2014-10-14,71.20,72.37,70.28,72.05,87700,71.88
2014-10-13,70.01,71.48,69.73,70.91,63100,70.74
2014-10-10,68.97,70.24,68.97,69.90,90100,69.73
2014-10-09,69.42,69.95,68.57,69.27,95700,69.11
2014-10-08,69.19,69.72,68.50,69.51,264200,69.34
