Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,13.90,14.50,13.76,14.50,1700,14.50
2014-12-30,13.46,14.23,13.46,14.11,1100,14.11
2014-12-29,13.58,14.06,13.40,13.70,15500,13.70
2014-12-26,13.61,14.30,13.56,13.56,1700,13.56
2014-12-23,13.95,13.95,13.73,13.75,1900,13.75
2014-12-19,13.30,13.74,13.13,13.74,12600,13.74
2014-12-18,13.10,13.50,13.00,13.32,27700,13.32
2014-12-17,12.75,13.20,12.60,13.20,6800,13.20
2014-12-16,12.80,12.90,12.80,12.80,3800,12.80
2014-12-15,13.25,13.25,13.00,13.00,7800,13.00
2014-12-12,13.50,13.50,13.31,13.48,1500,13.48
2014-12-11,14.05,14.05,13.60,14.00,3200,14.00
2014-12-10,14.50,14.50,14.00,14.00,900,14.00
2014-12-09,14.50,14.50,14.50,14.50,400,14.50
2014-12-08,14.75,14.75,14.40,14.75,200,14.75
2014-12-05,14.76,14.81,14.75,14.75,3000,14.75
2014-12-04,14.76,14.76,14.76,14.76,200,14.76
2014-12-03,15.29,15.29,14.71,15.29,900,15.29
2014-12-02,14.10,15.24,14.10,15.24,300,15.24
2014-11-28,14.90,15.28,14.90,14.92,1600,14.92
2014-11-26,15.50,15.50,15.50,15.50,1500,15.50
2014-11-24,15.50,15.50,15.50,15.50,300,15.50
2014-11-21,14.84,15.74,14.46,15.74,900,15.74
2014-11-20,14.71,15.49,14.71,15.49,600,15.49
2014-11-19,15.00,15.32,14.75,15.32,4600,15.32
2014-11-18,15.33,15.99,15.00,15.99,1000,15.99
2014-11-17,15.43,15.50,14.96,15.21,6100,15.21
2014-11-14,15.70,15.80,15.40,15.50,52000,15.50
2014-11-13,15.70,15.70,15.29,15.50,5600,15.50
2014-11-12,15.00,15.72,15.00,15.70,101500,15.70
2014-11-11,14.90,15.25,14.50,15.00,13200,15.00
2014-11-10,14.00,14.44,14.00,14.44,900,14.44
2014-11-07,14.00,14.27,14.00,14.27,500,14.27
2014-11-06,14.00,14.25,13.70,14.25,4200,14.25
2014-11-05,14.00,14.99,14.00,14.99,2100,14.99
2014-11-04,13.50,14.00,13.26,14.00,4000,14.00
2014-11-03,13.80,13.90,13.70,13.90,4800,13.90
2014-10-31,13.10,14.24,13.10,13.90,3900,13.90
2014-10-28,11.53,13.20,11.53,12.88,37100,12.88
2014-10-27,12.90,12.90,12.84,12.84,6100,12.84
2014-10-24,13.00,13.00,12.75,12.90,2200,12.90
2014-10-23,12.75,13.33,12.75,13.06,3300,13.06
2014-10-21,13.13,13.13,13.13,13.13,100,13.13
2014-10-20,12.56,12.87,12.41,12.87,1200,12.87
