Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,161.67,163.28,159.26,159.29,2691900,158.45
2014-12-30,162.69,162.73,160.18,160.63,2019800,159.78
2014-12-29,163.83,164.05,161.52,162.85,1727600,161.99
2014-12-26,162.16,164.15,161.85,163.46,1706100,162.60
2014-12-24,156.53,163.17,156.47,160.67,2222800,159.82
2014-12-23,164.91,164.99,154.36,157.52,7091700,156.69
2014-12-22,168.31,169.04,163.91,164.53,4061500,163.66
2014-12-19,168.91,171.73,167.40,170.17,7856300,169.27
2014-12-18,166.10,168.59,164.58,168.48,3511800,167.59
2014-12-17,159.46,164.01,158.60,163.48,3417900,162.62
2014-12-16,157.68,163.96,157.50,159.44,4492800,158.60
2014-12-15,164.77,164.99,159.40,159.60,4428300,158.76
2014-12-12,163.14,167.71,162.30,164.53,3366700,163.66
2014-12-11,166.70,169.64,165.60,166.08,3173600,165.21
2014-12-10,169.00,169.75,165.00,165.39,3490200,164.52
2014-12-09,170.32,170.91,167.44,169.39,3712300,168.50
2014-12-08,169.39,173.14,169.00,171.64,3953700,170.74
2014-12-05,166.68,169.41,166.11,169.24,2548700,168.35
2014-12-04,167.54,168.76,166.45,166.55,3357800,165.67
2014-12-03,169.28,169.49,166.50,168.07,2369100,167.18
2014-12-02,167.60,169.33,166.80,169.28,3284500,168.39
2014-12-01,165.12,167.37,164.17,166.41,2514200,165.53
2014-11-28,165.00,167.35,164.52,165.31,1794800,164.44
2014-11-26,162.75,164.84,162.47,164.72,2118000,163.85
2014-11-25,164.06,164.41,160.70,162.24,3562500,161.39
2014-11-24,163.00,165.68,162.95,164.18,2193000,163.32
2014-11-21,165.58,165.58,161.43,162.81,3717000,161.95
2014-11-20,161.91,164.83,161.75,162.68,3208800,161.82
2014-11-19,161.28,163.28,160.37,162.64,2422900,161.78
2014-11-18,158.91,162.39,158.37,162.24,3135600,161.39
2014-11-17,156.91,160.20,156.66,159.14,2662300,158.30
2014-11-14,161.10,161.28,156.62,157.68,4505700,156.85
2014-11-13,162.11,162.35,159.58,160.85,3636400,160.00
2014-11-12,161.77,163.07,161.04,161.93,3528900,161.08
2014-11-11,163.08,163.86,161.52,162.42,3015700,161.56
2014-11-10,161.01,163.20,160.50,163.09,3160900,162.23
2014-11-07,162.07,162.25,158.32,160.25,3633300,158.80
2014-11-06,159.97,160.94,159.47,160.35,3310900,158.90
2014-11-05,161.31,161.31,158.81,158.94,4062900,157.50
2014-11-04,160.69,161.99,159.17,160.41,3719000,158.96
2014-11-03,162.08,162.41,159.65,161.56,5823800,160.10
2014-10-31,164.56,164.65,161.42,162.18,7971100,160.71
2014-10-30,158.64,161.58,158.16,161.58,3861800,160.12
2014-10-29,157.91,159.72,156.91,158.88,7069800,157.44
2014-10-28,151.75,157.25,151.47,157.19,11623200,155.77
2014-10-27,146.70,148.47,146.11,148.20,4172500,146.86
2014-10-24,146.85,147.50,145.52,147.26,5318400,145.93
2014-10-23,145.90,148.14,145.24,147.25,4710700,145.92
2014-10-22,143.81,144.41,141.67,143.64,5222100,142.34
2014-10-21,138.49,145.49,137.01,144.09,8951400,142.79
2014-10-20,133.28,137.55,133.01,137.51,6623800,136.27
2014-10-17,131.25,139.85,129.50,133.69,7351500,132.48
2014-10-16,128.15,130.88,127.67,130.45,7906000,129.27
2014-10-15,131.02,131.37,128.60,130.90,4700100,129.71
2014-10-14,135.38,135.43,131.93,132.20,3736400,131.00
2014-10-13,137.05,137.81,133.52,133.56,6866700,132.35
2014-10-10,136.78,140.74,136.78,137.39,5750400,136.15
2014-10-09,139.57,140.19,137.02,137.58,2750500,136.33
2014-10-08,135.61,140.38,135.42,140.07,3621000,138.80
2014-10-07,137.14,137.54,135.98,136.03,2679500,134.80
2014-10-06,138.07,140.55,136.98,137.61,3190200,136.36
2014-10-03,138.07,139.71,137.90,139.15,3429000,137.89
2014-10-02,138.98,139.77,136.32,137.20,3060900,135.96
2014-10-01,140.39,140.78,138.18,138.82,3752200,137.56
2014-09-30,140.31,141.58,139.02,140.46,2646800,139.19
2014-09-29,139.96,141.50,139.33,140.07,2218700,138.80
2014-09-26,140.01,141.19,138.93,141.06,2296200,139.78
2014-09-25,142.08,143.03,139.40,139.85,2676400,138.58
2014-09-24,140.75,142.48,140.02,142.24,3227600,140.95
2014-09-23,141.84,142.40,140.57,140.68,2320900,139.41
2014-09-22,143.29,144.02,141.09,142.18,3082800,140.89
2014-09-19,142.99,144.46,142.29,144.01,6703300,142.71
2014-09-18,140.90,142.16,139.95,142.02,2160400,140.73
2014-09-17,140.00,141.57,138.62,140.71,3940900,139.44
2014-09-16,137.32,139.55,136.95,139.33,2398900,138.07
2014-09-15,137.57,138.06,136.89,137.97,2174500,136.72
2014-09-12,138.51,138.99,136.82,137.89,2329700,136.64
2014-09-11,138.53,139.93,137.35,138.96,3620000,137.70
2014-09-10,137.39,139.72,137.27,139.19,2330500,137.93
2014-09-09,138.66,138.98,137.07,137.39,3122500,136.15
2014-09-08,138.00,139.36,137.66,139.27,2512900,138.01
2014-09-05,138.22,138.33,135.63,137.88,3357100,136.63
2014-09-04,138.74,139.50,137.53,138.01,2975400,136.76
2014-09-03,138.53,138.85,137.34,138.58,2729300,137.33
2014-09-02,139.62,139.93,137.20,137.96,3287800,136.71
2014-08-29,139.45,139.73,138.31,139.38,2362500,138.12
2014-08-28,137.65,139.38,137.29,138.69,3899700,137.43
2014-08-27,137.94,138.57,136.69,137.83,2693200,136.58
2014-08-26,134.91,137.67,134.90,137.27,3891200,136.03
2014-08-25,133.38,134.93,133.38,134.79,2997500,133.57
2014-08-22,132.99,133.46,132.42,132.82,2017800,131.62
2014-08-21,132.96,133.01,132.04,132.53,1774300,131.33
2014-08-20,131.97,133.27,131.85,132.68,1748900,131.48
2014-08-19,133.36,133.69,131.80,133.02,1878900,131.82
2014-08-18,133.35,133.98,132.37,133.22,3156700,132.01
2014-08-15,133.31,133.31,130.00,132.80,4347800,131.60
2014-08-14,125.20,132.52,124.81,131.86,6408400,130.67
2014-08-13,126.65,127.80,126.30,127.34,2539700,126.19
2014-08-12,126.22,126.90,125.40,126.32,2324500,125.18
2014-08-11,127.86,128.00,126.58,127.32,2529200,125.56
2014-08-08,125.22,127.41,125.14,126.95,2206800,125.20
2014-08-07,127.41,128.89,125.51,125.75,3065200,124.01
2014-08-06,127.26,128.78,126.53,127.09,2579000,125.34
2014-08-05,127.51,129.00,126.62,127.88,3749100,126.12
2014-08-04,129.00,129.39,126.52,128.65,6403700,126.87
2014-08-01,126.17,127.30,124.76,125.55,4542700,123.82
2014-07-31,128.39,129.34,127.04,127.39,4839300,125.63
2014-07-30,128.63,131.24,128.63,130.01,8465700,128.22
2014-07-29,122.52,124.39,122.25,123.31,3988100,121.61
2014-07-28,122.63,123.05,121.66,122.65,2432000,120.96
2014-07-25,121.97,122.88,121.67,122.84,3028900,121.14
2014-07-24,122.15,122.36,121.32,122.26,3219700,120.57
2014-07-23,121.38,122.39,121.00,122.01,3527500,120.33
2014-07-22,119.59,121.27,119.35,121.11,2806100,119.44
2014-07-21,117.63,119.34,117.20,119.03,3076700,117.39
2014-07-18,116.11,118.68,114.93,118.30,3477600,116.67
2014-07-17,116.73,117.17,115.21,115.39,2688000,113.80
2014-07-16,117.85,117.85,116.27,117.71,4087100,116.09
2014-07-15,118.74,119.47,116.57,116.86,3963000,115.25
2014-07-14,120.84,120.86,118.81,118.98,2149600,117.34
2014-07-11,120.43,120.80,119.11,119.77,2733200,118.12
2014-07-10,118.91,119.20,117.88,118.95,2642500,117.31
2014-07-09,120.45,120.62,118.92,119.57,2647600,117.92
2014-07-08,119.99,120.98,119.10,119.96,2455400,118.30
2014-07-07,121.85,123.11,120.04,120.16,3075700,118.50
2014-07-03,121.45,122.85,120.72,122.85,1963400,121.15
2014-07-02,120.08,121.22,120.02,121.03,1447000,119.36
2014-07-01,119.39,120.50,119.05,120.31,2072500,118.65
2014-06-30,118.96,119.17,118.20,118.37,2422700,116.74
2014-06-27,119.47,119.50,117.50,118.59,3331900,116.95
2014-06-26,119.96,119.97,117.48,119.14,2311400,117.50
2014-06-25,118.70,120.34,118.28,119.42,2666800,117.77
2014-06-24,119.46,120.26,118.34,118.79,2003100,117.15
2014-06-23,120.68,120.85,118.50,119.13,2317200,117.49
2014-06-20,118.53,121.00,117.83,120.97,6247400,119.30
2014-06-19,118.12,118.12,117.18,117.85,2206300,116.22
2014-06-18,116.44,117.56,115.50,117.49,2549100,115.87
2014-06-17,116.75,116.85,115.67,116.17,2106100,114.57
2014-06-16,116.00,116.91,115.73,116.16,2159600,114.56
