Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,10.19,10.29,10.19,10.29,23900,10.29
2015-04-07,10.27,10.27,10.18,10.20,35700,10.20
2015-04-06,10.20,10.32,10.20,10.28,30600,10.28
2015-04-02,10.16,10.31,10.13,10.23,36600,10.23
2015-04-01,10.21,10.34,9.75,10.15,49500,10.15
2015-03-31,10.36,10.42,10.06,10.22,67400,10.22
2015-03-30,10.34,10.47,10.23,10.40,97300,10.40
2015-03-27,10.32,10.42,10.17,10.38,263600,10.38
2015-03-26,10.03,10.42,10.02,10.36,295700,10.36
2015-03-25,10.31,10.38,10.15,10.35,302200,10.35
2015-03-24,10.22,10.54,10.06,10.26,255000,10.26
2015-03-23,9.94,10.28,9.94,10.24,191100,10.24
2015-03-20,9.84,9.99,9.77,9.91,65400,9.91
2015-03-19,9.67,9.89,9.66,9.82,30600,9.82
2015-03-18,9.45,9.76,9.36,9.73,41900,9.73
2015-03-17,9.60,9.70,9.57,9.62,14800,9.62
2015-03-16,9.72,9.73,9.55,9.66,139700,9.66
2015-03-13,9.81,9.84,9.60,9.73,23500,9.73
2015-03-12,9.65,9.85,9.54,9.79,64500,9.79
2015-03-11,9.40,9.59,9.31,9.56,64200,9.56
2015-03-10,9.61,9.74,9.38,9.41,33000,9.41
2015-03-09,9.91,10.05,9.77,9.80,22200,9.80
2015-03-06,9.84,10.09,9.75,9.84,219100,9.84
2015-03-05,9.96,10.06,9.78,9.99,152000,9.99
2015-03-04,9.79,10.03,9.66,9.96,337700,9.96
2015-03-03,9.70,9.99,9.64,9.81,129400,9.81
2015-03-02,9.61,9.76,9.55,9.76,65000,9.76
2015-02-27,9.50,9.66,9.40,9.64,68600,9.64
2015-02-26,9.48,9.56,9.21,9.55,45500,9.55
2015-02-25,9.17,9.52,9.02,9.52,69600,9.52
2015-02-24,9.14,9.16,9.01,9.12,59800,9.12
2015-02-23,9.06,9.15,8.90,9.07,34600,9.07
2015-02-20,9.13,9.14,8.90,9.12,53500,9.12
2015-02-19,9.20,9.28,9.10,9.10,42500,9.10
2015-02-18,9.12,9.26,9.12,9.20,19800,9.20
2015-02-17,9.31,9.31,9.05,9.16,23400,9.16
2015-02-13,9.02,9.44,8.82,9.36,62400,9.36
2015-02-12,8.77,9.04,8.77,9.00,24100,9.00
2015-02-11,8.74,8.94,8.72,8.74,12200,8.74
2015-02-10,8.84,8.89,8.70,8.79,29400,8.79
2015-02-09,8.80,9.07,8.68,8.72,24500,8.72
2015-02-06,8.80,8.93,8.78,8.87,36600,8.87
2015-02-05,8.79,8.97,8.74,8.83,32300,8.83
2015-02-04,9.01,9.05,8.68,8.81,45000,8.81
2015-02-03,8.54,9.20,8.45,9.13,70900,9.03
2015-02-02,8.27,8.46,8.21,8.45,33100,8.36
2015-01-30,8.67,8.80,8.28,8.29,39800,8.20
2015-01-29,8.47,8.78,8.40,8.78,19800,8.68
2015-01-28,8.68,8.77,8.40,8.41,126100,8.32
2015-01-27,8.50,8.62,8.47,8.60,41600,8.51
2015-01-26,8.62,8.64,8.51,8.54,51800,8.45
2015-01-23,8.75,8.75,8.61,8.66,25200,8.57
2015-01-22,8.67,8.90,8.52,8.74,116600,8.64
2015-01-21,8.78,8.83,8.53,8.65,45600,8.56
2015-01-20,8.93,8.99,8.66,8.83,42100,8.73
2015-01-16,8.60,8.95,8.60,8.90,33600,8.80
2015-01-15,8.89,9.00,8.56,8.60,36200,8.51
2015-01-14,8.82,8.96,8.67,8.82,15300,8.72
2015-01-13,8.86,8.93,8.64,8.89,34500,8.79
2015-01-12,8.82,8.95,8.61,8.73,33200,8.63
2015-01-09,8.83,8.88,8.67,8.85,20800,8.75
2015-01-08,8.81,9.04,8.72,8.87,27400,8.77
2015-01-07,8.58,8.74,8.56,8.72,18700,8.62
2015-01-06,8.69,8.81,8.50,8.51,75800,8.42
2015-01-05,8.92,9.06,8.75,8.78,36600,8.68
2015-01-02,9.12,9.16,8.95,8.98,36000,8.88
