Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,58.73,60.48,58.55,60.06,653700,60.06
2015-04-07,57.41,59.64,57.33,58.99,548700,58.99
2015-04-06,56.49,57.97,56.01,57.31,495000,57.31
2015-04-02,57.66,57.88,55.87,57.06,488600,57.06
2015-04-01,57.54,58.00,55.86,57.34,800600,57.34
2015-03-31,56.50,58.56,56.14,57.85,745400,57.85
2015-03-30,55.68,57.99,55.04,56.81,667900,56.81
2015-03-27,53.04,55.53,52.79,54.85,537200,54.85
2015-03-26,51.15,53.93,50.21,52.77,439900,52.77
2015-03-25,52.25,53.39,50.55,51.67,761500,51.67
2015-03-24,51.52,55.28,51.52,52.21,964400,52.21
2015-03-23,53.70,53.74,50.81,51.06,905800,51.06
2015-03-20,56.12,56.35,54.06,54.24,1819000,54.24
2015-03-19,55.52,56.45,55.46,56.12,695800,56.12
2015-03-18,56.00,56.52,55.08,56.11,606600,56.11
2015-03-17,57.28,58.08,54.83,56.18,1186800,56.18
2015-03-16,55.60,57.67,55.60,57.19,933500,57.19
2015-03-13,51.53,56.98,49.66,55.66,2262800,55.66
2015-03-12,50.32,50.32,48.19,48.52,681500,48.52
2015-03-11,49.70,51.18,49.15,49.91,788100,49.91
2015-03-10,49.33,50.00,47.76,49.44,630000,49.44
2015-03-09,47.46,49.23,46.17,49.15,891100,49.15
2015-03-06,46.33,47.22,45.61,47.18,599400,47.18
2015-03-05,45.86,47.62,45.76,46.82,744200,46.82
2015-03-04,43.91,46.27,43.66,45.66,697500,45.66
2015-03-03,44.05,44.50,43.17,44.29,613600,44.29
2015-03-02,43.30,44.71,43.30,44.04,329900,44.04
2015-02-27,43.99,44.03,42.88,43.50,420500,43.50
2015-02-26,43.44,44.35,42.55,44.10,351100,44.10
2015-02-25,42.99,44.29,42.55,43.57,394800,43.57
2015-02-24,43.88,44.43,42.47,42.92,281000,42.92
2015-02-23,43.18,44.64,43.14,43.77,463900,43.77
2015-02-20,42.67,43.81,42.19,43.49,313900,43.49
2015-02-19,42.23,42.83,41.77,42.51,249300,42.51
2015-02-18,41.90,42.51,41.27,42.13,340500,42.13
2015-02-17,40.70,41.88,40.46,41.87,363800,41.87
2015-02-13,41.09,41.29,39.78,40.76,235200,40.76
2015-02-12,39.65,41.10,38.60,40.83,362000,40.83
2015-02-11,39.00,40.67,38.98,39.45,475200,39.45
2015-02-10,37.63,39.00,37.20,38.97,230800,38.97
2015-02-09,36.93,37.88,36.43,37.18,330400,37.18
2015-02-06,36.83,37.14,35.86,36.95,489500,36.95
2015-02-05,35.93,36.99,35.80,36.71,381400,36.71
2015-02-04,37.71,37.80,35.81,36.17,524700,36.17
2015-02-03,38.04,38.32,35.73,37.81,485500,37.81
2015-02-02,37.35,38.65,36.92,37.74,554900,37.74
2015-01-30,38.44,39.29,37.09,37.60,546800,37.60
2015-01-29,36.97,38.56,36.49,38.56,253400,38.56
2015-01-28,36.94,37.75,36.46,37.05,550100,37.05
2015-01-27,36.40,37.69,35.69,36.79,617900,36.79
2015-01-26,34.75,36.65,34.15,36.62,640200,36.62
2015-01-23,33.21,34.98,33.21,34.15,536100,34.15
2015-01-22,33.48,33.58,32.04,33.33,442000,33.33
2015-01-21,34.38,34.95,33.17,33.35,428000,33.35
2015-01-20,33.24,34.86,32.97,34.42,858700,34.42
2015-01-16,32.35,33.48,32.19,33.34,347600,33.34
2015-01-15,33.70,33.87,32.32,32.49,292200,32.49
2015-01-14,32.99,34.30,32.43,33.70,277700,33.70
2015-01-13,33.87,34.75,32.90,33.35,469200,33.35
2015-01-12,33.85,34.39,32.96,33.41,348700,33.41
2015-01-09,33.34,34.02,32.52,33.40,370800,33.40
2015-01-08,32.12,33.62,31.82,33.24,653200,33.24
2015-01-07,31.59,32.04,30.84,31.75,587700,31.75
2015-01-06,32.03,32.50,30.46,31.25,311600,31.25
2015-01-05,31.40,32.66,31.25,31.99,474000,31.99
2015-01-02,32.09,32.90,31.55,31.74,532700,31.74
