Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,7.91,8.15,7.23,7.38,4636600,7.38
2014-12-30,6.58,8.55,6.53,7.57,11695500,7.57
2014-12-29,6.48,6.75,6.48,6.61,1410900,6.61
2014-12-26,6.35,6.61,6.35,6.52,795300,6.52
2014-12-24,6.27,6.55,6.20,6.35,727200,6.35
2014-12-23,6.57,6.57,6.08,6.28,1758100,6.28
2014-12-22,6.30,6.75,6.11,6.55,2198200,6.55
2014-12-19,6.14,6.40,6.02,6.39,4914300,6.39
2014-12-18,6.12,6.15,5.95,6.11,1456000,6.11
2014-12-17,5.91,6.18,5.80,6.09,2369400,6.09
2014-12-16,5.55,6.19,5.42,5.86,2798400,5.86
2014-12-15,5.77,6.01,5.34,5.45,1857500,5.45
2014-12-12,5.90,6.03,5.63,5.76,2328600,5.76
2014-12-11,5.54,6.07,5.48,5.93,3772400,5.93
2014-12-10,5.65,5.72,5.43,5.45,1507100,5.45
2014-12-09,5.01,5.73,5.00,5.71,1957000,5.71
2014-12-08,5.68,5.71,5.10,5.14,1875100,5.14
2014-12-05,5.07,5.77,4.97,5.73,3584900,5.73
2014-12-04,5.36,5.38,4.95,5.00,1921900,5.00
2014-12-03,5.24,5.39,5.17,5.35,1429200,5.35
2014-12-02,5.41,5.48,5.16,5.22,2186400,5.22
2014-12-01,5.76,5.78,5.32,5.39,2997100,5.39
2014-11-28,5.78,5.89,5.65,5.82,1554800,5.82
2014-11-26,5.80,5.93,5.73,5.78,1881100,5.78
2014-11-25,6.20,6.20,5.71,5.84,4662300,5.84
2014-11-24,5.90,6.18,5.90,6.16,2278600,6.16
2014-11-21,5.85,5.98,5.72,5.90,1841300,5.90
2014-11-20,5.60,5.82,5.55,5.74,2138200,5.74
2014-11-19,5.93,6.00,5.52,5.55,3094800,5.55
2014-11-18,5.92,6.06,5.88,5.95,1602600,5.95
2014-11-17,6.02,6.12,5.85,5.94,1449100,5.94
2014-11-14,6.20,6.25,5.82,6.04,2583200,6.04
2014-11-13,6.52,6.60,6.20,6.22,1892900,6.22
2014-11-12,6.40,6.79,6.38,6.53,2254600,6.53
2014-11-11,6.36,6.57,6.23,6.50,3239900,6.50
2014-11-10,6.40,6.50,6.13,6.21,5049800,6.21
2014-11-07,6.25,6.25,5.84,6.06,6273300,6.06
2014-11-06,6.18,6.45,6.18,6.30,1737100,6.30
2014-11-05,6.48,6.53,6.16,6.19,1765600,6.19
2014-11-04,6.51,6.55,6.17,6.41,1473400,6.41
2014-11-03,6.52,6.72,6.42,6.52,1320100,6.52
2014-10-31,6.96,6.98,6.32,6.52,2971200,6.52
2014-10-30,6.61,6.84,6.59,6.73,1491500,6.73
2014-10-29,6.87,6.88,6.55,6.70,1922500,6.70
2014-10-28,7.02,7.13,6.82,6.87,2134500,6.87
2014-10-27,7.11,7.20,6.76,6.96,1436800,6.96
2014-10-24,6.97,7.22,6.92,7.16,3215600,7.16
2014-10-23,6.86,7.31,6.76,6.92,3334300,6.92
2014-10-22,6.91,7.12,6.72,6.75,1771500,6.75
