Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,21.50,21.50,21.45,21.50,700,21.50
2014-12-30,20.73,21.30,20.73,21.30,3000,21.30
2014-12-29,20.75,20.75,20.75,20.75,100,20.75
2014-12-26,20.75,20.75,20.75,20.75,000,20.75
2014-12-24,20.50,20.80,20.50,20.75,2500,20.75
2014-12-23,20.79,20.79,20.79,20.79,000,20.79
2014-12-22,20.79,20.79,20.79,20.79,000,20.79
2014-12-19,20.79,20.79,20.79,20.79,100,20.79
2014-12-18,20.60,20.60,20.60,20.60,400,20.60
2014-12-17,20.48,20.54,20.20,20.54,4600,20.54
2014-12-16,20.30,20.30,20.30,20.30,300,20.30
2014-12-15,20.49,20.49,20.49,20.49,000,20.49
2014-12-12,20.90,20.90,20.26,20.49,400,20.49
2014-12-11,20.50,20.50,20.50,20.50,000,20.50
2014-12-10,20.50,20.50,20.50,20.50,000,20.50
2014-12-09,20.65,20.65,20.50,20.50,2400,20.50
2014-12-08,20.69,20.70,20.50,20.65,1400,20.65
2014-12-05,21.16,21.16,20.70,20.70,2900,20.70
2014-12-04,21.15,21.20,21.14,21.16,700,21.16
2014-12-03,20.50,20.70,20.50,20.70,2000,20.70
2014-12-02,20.54,20.60,20.50,20.58,3600,20.58
2014-12-01,21.02,21.02,20.10,20.50,7100,20.50
2014-11-28,20.80,21.20,20.80,21.20,2500,21.20
2014-11-26,20.60,20.80,20.60,20.80,4700,20.80
2014-11-25,20.01,20.60,20.00,20.40,21600,20.40
2014-11-24,20.20,20.20,19.98,20.00,2000,20.00
2014-11-21,20.47,20.47,20.17,20.18,700,20.18
2014-11-20,20.18,20.27,20.18,20.27,1200,20.27
2014-11-19,20.45,20.45,20.17,20.17,5200,20.17
2014-11-18,20.54,20.55,20.40,20.41,2200,20.41
2014-11-17,20.38,20.38,20.38,20.38,000,20.38
2014-11-14,20.05,20.62,20.05,20.38,20300,20.38
2014-11-13,20.20,20.20,20.20,20.20,900,20.20
2014-11-12,20.00,20.10,20.00,20.10,1200,20.10
2014-11-11,20.10,20.10,20.08,20.08,3500,20.08
2014-11-10,20.09,20.10,20.09,20.10,600,20.10
2014-11-07,19.93,19.93,19.93,19.93,000,19.93
2014-11-06,20.00,20.00,19.93,19.93,1900,19.93
2014-11-05,20.04,20.04,20.04,20.04,300,20.04
2014-11-04,20.00,20.00,20.00,20.00,800,20.00
2014-11-03,19.97,19.97,19.97,19.97,200,19.97
2014-10-31,20.00,20.00,19.86,20.00,1400,20.00
2014-10-30,20.00,20.00,19.98,19.98,2800,19.98
2014-10-29,20.10,20.10,19.95,19.95,1600,19.95
2014-10-28,19.60,20.10,19.60,19.91,5300,19.91
2014-10-27,19.75,19.75,19.15,19.15,800,19.15
2014-10-24,19.67,19.67,19.67,19.67,100,19.67
2014-10-23,19.50,19.50,19.50,19.50,000,19.50
2014-10-22,19.50,19.50,19.50,19.50,000,19.50
2014-10-21,19.50,19.50,19.50,19.50,54100,19.50
2014-10-20,19.42,19.52,19.39,19.50,25900,19.50
2014-10-17,19.92,19.92,19.20,19.20,500,19.20
2014-10-16,19.01,19.01,19.01,19.01,000,19.01
2014-10-15,19.01,19.01,19.01,19.01,100,19.01
2014-10-14,19.25,19.25,19.25,19.25,000,19.25
2014-10-13,19.14,19.50,19.02,19.25,2200,19.25
2014-10-10,19.21,19.25,19.00,19.25,3000,19.25
2014-10-09,19.12,19.12,19.12,19.12,000,19.12
2014-10-08,19.55,19.55,18.84,19.12,500,19.12
2014-10-07,19.69,19.69,19.69,19.69,000,19.69
2014-10-06,19.69,19.69,19.69,19.69,000,19.69
2014-10-03,19.60,19.80,19.60,19.69,1500,19.69
2014-10-02,19.96,19.96,19.88,19.88,1000,19.88
2014-10-01,19.86,20.09,19.75,19.90,2200,19.90
2014-09-30,19.41,20.15,19.15,20.15,13300,20.15
2014-09-29,19.40,19.44,19.40,19.44,600,19.44
2014-09-26,19.85,19.85,19.85,19.85,100,19.85
2014-09-25,19.75,20.10,19.75,20.10,4600,20.10
2014-09-24,19.93,19.93,19.93,19.93,000,19.93
2014-09-23,20.10,20.10,19.93,19.93,500,19.93
2014-09-22,19.69,20.10,19.69,20.10,2800,20.10
2014-09-19,19.78,19.95,19.12,19.95,7600,19.95
2014-09-18,19.85,19.94,19.63,19.81,13400,19.81
2014-09-17,19.35,19.89,19.35,19.87,9300,19.87
2014-09-16,19.31,19.73,19.31,19.73,600,19.73
2014-09-15,19.83,19.83,18.77,18.84,3300,18.84
2014-09-12,19.12,19.12,19.11,19.11,1300,19.11
2014-09-11,19.01,19.11,19.01,19.11,1600,19.11
2014-09-10,18.83,19.10,18.80,19.01,6100,19.01
2014-09-09,18.83,19.00,18.77,18.83,2100,18.83
2014-09-08,18.79,19.12,18.78,19.12,1300,19.12
2014-09-05,18.76,19.84,18.76,19.84,900,19.84
2014-09-04,19.21,19.76,19.21,19.60,1100,19.60
2014-09-03,19.21,19.21,19.21,19.21,300,19.21
2014-09-02,19.28,19.28,19.28,19.28,3600,19.28
2014-08-29,19.35,19.35,19.28,19.28,400,19.28
2014-08-28,18.98,19.83,18.80,19.50,7500,19.50
2014-08-27,19.25,19.51,19.08,19.42,4500,19.42
2014-08-26,19.67,19.67,19.67,19.67,200,19.67
2014-08-25,19.62,19.95,18.80,19.67,15500,19.67
2014-08-22,19.48,19.85,19.43,19.85,12100,19.85
2014-08-21,19.40,19.68,19.40,19.56,8900,19.56
2014-08-20,19.50,19.62,19.30,19.30,7400,19.30
2014-08-19,19.52,19.65,19.05,19.50,2800,19.50
2014-08-18,19.31,19.85,19.09,19.70,21700,19.70
2014-08-15,19.80,19.80,19.80,19.80,000,19.80
2014-08-14,19.55,19.85,19.51,19.80,6900,19.80
2014-08-13,19.19,19.85,19.19,19.80,4400,19.80
2014-08-12,19.11,19.11,19.11,19.11,100,19.11
2014-08-11,19.02,19.02,19.02,19.02,000,19.02
