Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,18.50,18.50,18.50,18.50,000,18.46
2014-12-30,18.50,18.50,18.50,18.50,000,18.46
2014-12-29,18.50,18.50,18.50,18.50,000,18.46
2014-12-26,17.49,18.50,17.49,18.50,400,18.46
2014-12-24,17.49,17.49,17.49,17.49,100,17.45
2014-12-23,17.43,17.49,17.25,17.49,700,17.45
2014-12-22,17.48,17.48,16.61,16.61,700,16.55
2014-12-19,17.00,17.00,17.00,17.00,000,16.94
2014-12-18,17.00,17.00,17.00,17.00,000,16.94
2014-12-17,16.50,17.00,16.50,17.00,6200,16.94
2014-12-16,16.95,16.95,16.95,16.95,100,16.89
2014-12-15,16.95,17.00,16.50,16.94,19600,16.88
2014-12-12,16.78,16.78,16.78,16.78,000,16.72
2014-12-11,16.60,16.78,16.60,16.78,1000,16.72
2014-12-10,17.00,17.00,16.75,16.75,900,16.69
2014-12-09,16.90,16.90,16.90,16.90,000,16.84
2014-12-08,17.45,17.45,16.60,16.90,4800,16.84
2014-12-05,17.31,17.48,17.31,17.48,200,17.42
2014-12-04,16.92,17.52,16.54,16.54,7200,16.48
2014-12-03,16.55,16.55,16.55,16.55,200,16.49
2014-12-02,16.51,16.51,16.50,16.50,400,16.44
2014-12-01,16.50,16.51,16.50,16.51,1000,16.45
2014-11-28,16.91,16.91,16.91,16.91,000,16.85
2014-11-26,16.91,16.91,16.91,16.91,000,16.85
2014-11-25,16.40,16.91,16.40,16.91,2300,16.85
2014-11-24,16.59,16.96,16.40,16.40,2300,16.34
2014-11-21,16.99,16.99,16.50,16.60,3600,16.54
2014-11-20,16.70,16.70,16.70,16.70,200,16.64
2014-11-19,17.00,18.25,16.41,16.65,3700,16.59
2014-11-18,16.59,16.99,16.55,16.99,8000,16.93
2014-11-17,16.48,16.48,16.48,16.48,000,16.42
2014-11-14,16.53,16.53,16.21,16.48,5600,16.42
2014-11-13,16.27,16.27,16.27,16.27,000,16.21
2014-11-12,16.27,16.27,16.27,16.27,000,16.21
2014-11-11,16.27,16.27,16.27,16.27,000,16.21
2014-11-10,16.48,16.49,16.27,16.27,400,16.21
2014-11-07,16.25,16.25,16.25,16.25,600,16.19
2014-11-06,16.75,16.75,16.75,16.75,900,16.69
2014-11-05,15.90,16.20,15.80,15.90,5800,15.84
2014-11-04,15.80,16.20,15.69,16.10,4800,16.04
2014-11-03,16.06,16.12,16.06,16.10,2000,16.04
2014-10-31,16.00,16.90,15.95,16.90,5200,16.84
2014-10-30,16.00,16.00,16.00,16.00,000,15.94
2014-10-29,16.00,16.00,16.00,16.00,5500,15.94
2014-10-28,16.25,16.80,16.25,16.80,12800,16.74
2014-10-27,15.77,16.49,15.20,16.49,12800,16.43
2014-10-24,15.73,16.33,15.70,16.16,2800,16.10
2014-10-23,16.60,16.60,15.99,16.00,4600,15.94
2014-10-22,16.33,16.60,16.09,16.60,9500,16.54
2014-10-21,16.55,16.55,16.55,16.55,1000,16.49
2014-10-20,16.38,16.55,16.13,16.33,5700,16.27
2014-10-17,16.10,16.90,16.10,16.54,6900,16.48
2014-10-16,15.57,16.80,15.57,16.12,5300,16.06
2014-10-15,16.04,16.08,15.70,16.07,10200,16.01
2014-10-14,16.23,16.23,15.97,15.97,600,15.91
2014-10-13,16.31,16.56,15.40,15.71,10100,15.65
2014-10-10,16.25,16.43,15.48,15.88,700,15.82
2014-10-09,16.65,16.66,16.00,16.01,2900,15.95
2014-10-08,17.50,17.50,15.60,16.55,14100,16.49
2014-10-07,16.12,17.10,15.80,16.28,19800,16.22
2014-10-06,16.20,16.20,15.61,16.06,13600,16.00
2014-10-03,14.84,15.94,14.83,15.94,9900,15.88
2014-10-02,14.84,15.30,14.41,14.41,6100,14.36
2014-10-01,15.13,16.20,14.38,14.65,8400,14.60
2014-09-30,15.10,15.65,14.62,15.25,6800,15.20
2014-09-29,16.16,16.16,15.03,15.90,900,15.84
2014-09-26,14.48,20.00,14.48,16.36,7100,16.30
2014-09-25,14.30,14.50,14.30,14.50,1700,14.45
2014-09-24,14.30,14.30,14.30,14.30,000,14.25
2014-09-23,14.30,14.30,14.30,14.30,000,14.25
2014-09-22,14.28,14.53,14.28,14.30,1700,14.25
2014-09-19,14.30,14.49,14.30,14.49,29100,14.44
2014-09-18,14.37,14.45,14.37,14.45,400,14.40
2014-09-17,14.30,14.30,14.30,14.30,1200,14.25
2014-09-16,14.31,14.38,14.30,14.30,5500,14.23
2014-09-15,14.30,14.52,14.30,14.50,2800,14.43
2014-09-12,14.50,14.50,14.40,14.50,6400,14.43
2014-09-11,14.31,14.40,14.16,14.40,3000,14.33
2014-09-10,14.10,14.34,14.10,14.13,1600,14.06
2014-09-09,14.10,14.39,13.93,14.16,6900,14.09
2014-09-08,14.18,14.18,14.10,14.14,1500,14.07
2014-09-05,14.50,14.50,14.10,14.10,8900,14.03
2014-09-04,14.15,14.49,14.15,14.36,5100,14.29
2014-09-03,14.51,14.51,14.18,14.34,6800,14.27
2014-09-02,14.25,14.46,14.11,14.24,7000,14.17
2014-08-29,14.32,14.52,14.24,14.45,7300,14.38
2014-08-28,14.47,14.47,14.15,14.33,5200,14.26
2014-08-27,14.41,14.49,14.13,14.35,7200,14.28
2014-08-26,13.87,14.60,13.87,14.43,16200,14.36
2014-08-25,14.20,14.35,13.60,13.60,15500,13.53
2014-08-22,14.17,14.31,14.05,14.28,8100,14.21
