Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,2.03,2.13,2.03,2.13,85600,2.13
2014-12-30,1.97,2.04,1.94,1.99,30700,1.99
2014-12-29,2.06,2.09,1.99,2.01,111900,2.01
2014-12-26,2.06,2.07,1.92,2.06,34900,2.06
2014-12-24,2.02,2.02,1.95,2.01,12800,2.01
2014-12-23,1.97,2.04,1.96,1.97,22500,1.97
2014-12-22,1.97,2.00,1.95,2.00,17100,2.00
2014-12-19,2.02,2.03,1.93,1.99,165900,1.99
2014-12-18,1.99,2.00,1.93,2.00,66400,2.00
2014-12-17,2.00,2.00,1.92,1.99,167600,1.99
2014-12-16,1.95,2.04,1.95,2.00,325900,2.00
2014-12-15,2.01,2.04,1.91,1.99,32000,1.99
2014-12-12,2.00,2.02,1.82,1.97,191700,1.97
2014-12-11,1.99,2.00,1.99,2.00,27600,2.00
2014-12-10,2.07,2.10,1.95,1.96,84500,1.96
2014-12-09,2.05,2.08,2.00,2.08,17700,2.08
2014-12-08,2.11,2.13,1.98,2.03,26300,2.03
2014-12-05,2.10,2.14,2.08,2.11,115300,2.11
2014-12-04,2.09,2.19,2.08,2.08,67700,2.08
2014-12-03,2.09,2.13,2.07,2.13,15000,2.13
2014-12-02,2.15,2.16,2.03,2.06,57400,2.06
2014-12-01,2.10,2.15,2.10,2.12,9300,2.12
2014-11-28,2.08,2.14,2.08,2.11,15000,2.11
2014-11-26,2.08,2.15,2.07,2.12,44600,2.12
2014-11-25,2.05,2.12,2.05,2.05,32500,2.05
2014-11-24,2.04,2.12,2.04,2.10,29000,2.10
2014-11-21,2.14,2.15,2.02,2.05,37000,2.05
2014-11-20,2.10,2.20,2.10,2.16,35300,2.16
2014-11-19,2.08,2.12,2.05,2.11,12400,2.11
2014-11-18,2.14,2.15,2.08,2.09,13600,2.09
2014-11-17,2.07,2.15,2.07,2.10,4500,2.10
2014-11-14,2.12,2.12,2.10,2.10,121400,2.10
2014-11-13,2.08,2.19,2.04,2.09,62000,2.09
2014-11-12,2.07,2.08,2.02,2.04,30600,2.04
2014-11-11,2.05,2.08,2.03,2.07,9300,2.07
2014-11-10,2.05,2.08,2.03,2.05,20300,2.05
2014-11-07,2.07,2.11,1.96,2.04,25000,2.04
2014-11-06,2.02,2.13,2.02,2.11,27100,2.11
2014-11-05,2.05,2.10,2.00,2.05,130300,2.05
2014-11-04,1.98,2.08,1.91,2.04,28800,2.04
2014-11-03,2.11,2.14,1.97,2.05,44800,2.05
2014-10-31,2.17,2.17,2.09,2.14,33800,2.14
2014-10-30,2.12,2.16,2.12,2.16,3000,2.16
2014-10-29,2.18,2.25,2.11,2.12,16200,2.12
2014-10-28,2.15,2.24,2.14,2.20,15700,2.20
2014-10-27,2.09,2.16,2.08,2.16,42400,2.16
2014-10-24,2.17,2.17,2.14,2.15,4200,2.15
2014-10-23,2.17,2.21,2.09,2.09,25800,2.09
2014-10-22,2.23,2.23,2.15,2.15,11100,2.15
2014-10-21,2.27,2.30,2.21,2.24,23900,2.24
2014-10-20,2.25,2.27,2.24,2.26,5300,2.26
2014-10-17,2.26,2.37,2.25,2.27,26500,2.27
2014-10-16,2.22,2.30,2.22,2.25,14900,2.25
2014-10-15,2.15,2.22,2.15,2.21,20600,2.21
2014-10-14,2.17,2.26,2.15,2.22,21100,2.22
2014-10-13,2.18,2.19,2.17,2.17,2800,2.17
2014-10-10,2.10,2.25,2.10,2.21,55900,2.21
2014-10-09,2.21,2.22,2.12,2.20,13800,2.20
2014-10-08,2.10,2.26,2.10,2.25,82300,2.25
2014-10-07,2.18,2.21,2.17,2.17,5600,2.17
2014-10-06,2.34,2.34,2.22,2.25,62900,2.25
2014-10-03,2.25,2.39,2.24,2.31,21300,2.31
2014-10-02,2.20,2.31,2.15,2.25,60200,2.25
2014-10-01,2.32,2.32,2.15,2.20,338000,2.20
2014-09-30,2.32,2.37,2.30,2.35,31100,2.35
2014-09-29,2.44,2.44,2.31,2.31,30200,2.31
2014-09-26,2.34,2.43,2.25,2.43,48700,2.43
2014-09-25,2.40,2.40,2.26,2.30,61300,2.30
2014-09-24,2.48,2.51,2.41,2.41,30100,2.41
2014-09-23,2.59,2.59,2.50,2.50,32000,2.50
2014-09-22,2.40,2.69,2.40,2.61,187900,2.61
2014-09-19,2.36,2.44,2.23,2.39,178900,2.39
2014-09-18,2.30,2.36,2.30,2.32,29900,2.32
2014-09-17,2.33,2.33,2.27,2.31,19400,2.31
2014-09-16,2.22,2.31,2.22,2.29,30700,2.29
2014-09-15,2.25,2.26,2.21,2.25,123300,2.25
2014-09-12,2.22,2.26,2.16,2.21,66400,2.21
2014-09-11,2.24,2.24,2.16,2.24,47800,2.24
2014-09-10,2.25,2.27,2.23,2.25,56700,2.25
2014-09-09,2.25,2.27,2.17,2.27,86000,2.27
2014-09-08,2.29,2.29,2.20,2.26,70300,2.26
