Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,73.18,75.50,73.02,75.40,157400,75.40
2015-04-07,75.00,76.00,73.15,73.34,136700,73.34
2015-04-06,73.19,75.69,72.90,74.91,138200,74.91
2015-04-02,73.06,73.82,72.17,73.07,148100,73.07
2015-04-01,73.59,74.16,71.77,72.79,213000,72.79
2015-03-31,72.58,74.62,72.58,73.70,304900,73.70
2015-03-30,72.13,74.07,71.70,72.78,153800,72.78
2015-03-27,71.02,72.35,70.18,72.07,157600,72.07
2015-03-26,69.52,70.82,68.58,70.64,239300,70.64
2015-03-25,71.25,71.89,69.37,69.57,147200,69.57
2015-03-24,69.86,71.20,69.65,70.93,144000,70.93
2015-03-23,71.53,71.53,68.51,69.87,318500,69.87
2015-03-20,74.14,74.65,73.14,73.25,293900,73.25
2015-03-19,73.87,74.26,72.75,73.85,170400,73.85
2015-03-18,73.07,74.70,72.73,73.98,297100,73.98
2015-03-17,71.52,74.68,71.46,73.44,253200,73.44
2015-03-16,71.39,73.19,71.09,71.41,221300,71.41
2015-03-13,75.29,75.60,70.27,71.42,286800,71.42
2015-03-12,73.00,75.17,72.31,75.05,241500,75.05
2015-03-11,70.13,72.46,69.60,72.24,114000,72.24
2015-03-10,71.03,71.58,69.61,69.78,121800,69.78
2015-03-09,69.30,72.25,69.07,71.60,237800,71.60
2015-03-06,70.98,71.36,68.80,69.15,222700,69.15
2015-03-05,71.05,72.15,70.44,71.36,185400,71.36
2015-03-04,69.66,72.60,69.35,70.92,353800,70.92
2015-03-03,70.78,71.50,69.11,69.82,232500,69.82
2015-03-02,69.86,72.50,69.10,70.99,288500,70.99
2015-02-27,67.77,70.00,67.68,69.56,290800,69.56
2015-02-26,66.77,68.45,66.77,68.05,190700,68.05
2015-02-25,67.34,67.39,66.19,66.83,117800,66.83
2015-02-24,65.81,67.86,65.72,67.17,173000,67.17
2015-02-23,66.42,66.72,64.57,66.25,351200,66.25
2015-02-20,68.66,70.08,66.42,66.89,491800,66.89
2015-02-19,61.35,71.31,61.25,68.63,917800,68.63
2015-02-18,56.93,57.93,56.64,57.43,67400,57.43
2015-02-17,57.67,57.80,56.23,56.90,147000,56.90
2015-02-13,54.54,57.42,54.33,57.27,131400,57.27
2015-02-12,53.49,54.67,52.99,54.55,162000,54.55
2015-02-11,54.24,54.40,52.10,53.30,86800,53.30
2015-02-10,53.93,54.74,52.83,54.20,124400,54.20
2015-02-09,53.98,54.75,53.36,53.50,96900,53.50
2015-02-06,54.76,54.82,54.06,54.37,109500,54.37
2015-02-05,55.27,55.27,54.28,54.66,86600,54.66
2015-02-04,54.63,55.40,54.46,54.95,127000,54.95
2015-02-03,54.30,55.18,53.81,55.00,131300,55.00
2015-02-02,55.97,55.97,53.10,53.92,115900,53.92
2015-01-30,56.42,56.96,54.53,55.69,208200,55.69
2015-01-29,54.99,57.30,54.59,56.95,99900,56.95
2015-01-28,54.94,55.12,53.74,55.01,153700,55.01
2015-01-27,54.08,54.98,52.95,54.50,87100,54.50
2015-01-26,55.15,55.95,54.20,54.95,78400,54.95
2015-01-23,54.78,55.36,54.15,55.06,80300,55.06
2015-01-22,53.39,55.18,52.71,54.81,81800,54.81
2015-01-21,53.46,54.92,52.35,52.89,84100,52.89
2015-01-20,52.27,53.85,52.00,53.52,99400,53.52
2015-01-16,50.84,52.79,50.54,52.47,103900,52.47
2015-01-15,51.83,52.69,50.57,51.00,178600,51.00
2015-01-14,51.21,52.40,51.02,51.46,184300,51.46
2015-01-13,53.18,54.70,51.19,51.83,176200,51.83
2015-01-12,54.48,54.70,52.15,52.70,140500,52.70
2015-01-09,56.04,56.19,54.26,54.34,92600,54.34
2015-01-08,54.51,56.37,54.51,56.18,131100,56.18
2015-01-07,55.21,55.21,53.54,53.94,78800,53.94
2015-01-06,54.87,55.35,53.65,54.81,169800,54.81
2015-01-05,55.00,56.06,54.40,54.77,155500,54.77
2015-01-02,55.31,56.11,54.09,55.27,167100,55.27
