Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,35.65,35.97,35.01,35.02,466600,35.02
2014-12-30,36.38,36.73,35.15,35.55,703700,35.55
2014-12-29,36.99,37.42,36.11,36.62,395600,36.62
2014-12-26,36.91,37.33,36.62,36.99,321600,36.99
2014-12-24,36.58,37.20,36.57,36.69,201200,36.69
2014-12-23,36.13,36.73,36.04,36.41,374600,36.41
2014-12-22,35.59,36.07,35.53,35.96,622700,35.96
2014-12-19,35.81,36.16,35.31,35.61,995700,35.61
2014-12-18,33.99,35.99,33.76,35.90,983400,35.90
2014-12-17,32.79,33.44,32.06,33.42,1043600,33.42
2014-12-16,32.84,33.32,32.52,32.59,988000,32.59
2014-12-15,33.50,33.61,32.67,32.98,499200,32.98
2014-12-12,33.52,33.98,32.97,33.00,432100,33.00
2014-12-11,34.36,34.99,33.93,34.05,414200,34.05
2014-12-10,35.20,35.58,33.99,34.10,673800,34.10
2014-12-09,34.04,35.62,33.89,35.33,831600,35.33
2014-12-08,35.78,36.31,34.46,34.53,736600,34.53
2014-12-05,35.31,36.29,35.29,36.01,556900,36.01
2014-12-04,35.76,36.18,35.08,35.32,479200,35.32
2014-12-03,35.37,36.47,35.37,35.87,566300,35.87
2014-12-02,33.79,36.16,33.75,36.06,1081200,36.06
2014-12-01,37.54,37.77,33.72,33.76,2173400,33.76
2014-11-28,38.81,39.00,37.67,37.74,395600,37.74
2014-11-26,38.58,39.16,38.51,39.08,428500,39.08
2014-11-25,38.61,39.02,38.31,38.64,333200,38.64
2014-11-24,38.33,38.80,38.25,38.59,556100,38.59
2014-11-21,38.04,38.53,37.78,38.11,428700,38.11
2014-11-20,37.10,37.82,36.82,37.53,340300,37.53
2014-11-19,37.72,37.87,36.74,37.23,472700,37.23
2014-11-18,37.50,38.20,37.50,37.88,418200,37.88
2014-11-17,37.60,37.89,37.34,37.34,447600,37.34
2014-11-14,36.93,37.83,36.90,37.79,678500,37.79
2014-11-13,37.75,38.07,36.86,37.01,847600,37.01
2014-11-12,37.64,38.14,37.64,37.79,383700,37.79
2014-11-11,37.93,38.41,37.89,37.93,425100,37.93
2014-11-10,36.95,38.10,36.94,38.03,553700,38.03
2014-11-07,37.69,37.97,37.26,37.59,763400,37.59
2014-11-06,37.02,37.77,36.98,37.69,861000,37.69
2014-11-05,36.56,36.89,36.22,36.86,1010700,36.86
2014-11-04,36.55,37.23,36.23,36.25,880900,36.25
2014-11-03,36.88,37.13,36.35,36.58,1127100,36.58
2014-10-31,38.44,38.49,36.84,36.93,1541900,36.93
2014-10-30,36.35,37.65,35.85,37.52,1581200,37.52
2014-10-29,33.53,37.35,31.57,36.31,5775400,36.31
2014-10-28,39.24,40.37,39.22,40.33,764800,40.33
2014-10-27,38.41,39.24,38.30,39.00,769600,39.00
2014-10-24,38.13,38.52,37.88,38.50,548300,38.50
2014-10-23,37.45,38.31,37.39,38.01,663400,38.01
2014-10-22,37.19,37.37,36.99,37.03,530800,37.03
2014-10-21,36.56,37.10,36.16,37.01,410000,37.01
2014-10-20,35.30,36.26,35.30,36.26,431700,36.26
2014-10-17,35.26,35.81,34.91,35.48,584400,35.48
2014-10-16,33.70,34.93,33.39,34.72,655500,34.72
2014-10-15,33.91,34.97,33.69,34.21,874000,34.21
2014-10-14,34.61,35.03,34.30,34.41,658000,34.41
2014-10-13,34.13,34.69,33.67,34.25,1107100,34.25
2014-10-10,34.98,35.36,34.05,34.05,1142300,34.05
2014-10-09,36.12,36.21,35.18,35.22,416800,35.22
2014-10-08,35.86,36.30,35.19,36.17,655900,36.17
2014-10-07,36.53,36.65,36.00,36.00,407100,36.00
2014-10-06,36.90,37.16,36.61,36.62,610600,36.62
2014-10-03,37.61,37.64,36.77,36.80,553700,36.80
2014-10-02,37.05,37.48,36.75,37.23,420700,37.23
2014-10-01,37.59,37.82,36.78,36.96,660000,36.96
2014-09-30,38.26,38.36,37.70,37.72,655500,37.72
2014-09-29,38.04,38.47,38.04,38.21,623300,38.21
2014-09-26,36.88,38.68,36.59,38.52,1432400,38.52
2014-09-25,37.49,37.75,36.69,36.69,1091100,36.69
2014-09-24,37.55,37.83,37.26,37.66,1131100,37.66
2014-09-23,38.58,38.77,37.63,37.63,1042600,37.63
2014-09-22,39.12,39.31,38.66,38.74,582000,38.74
2014-09-19,39.50,39.77,38.50,39.28,1058100,39.28
2014-09-18,39.30,39.63,39.09,39.47,552500,39.47
2014-09-17,39.39,39.69,38.94,39.07,663500,39.07
2014-09-16,39.16,39.63,38.84,39.44,523400,39.44
2014-09-15,39.79,39.91,39.16,39.31,641900,39.31
2014-09-12,40.82,40.97,39.66,39.78,730400,39.78
2014-09-11,40.93,41.23,40.68,40.99,610200,40.99
2014-09-10,40.79,41.31,40.79,41.09,591800,41.09
2014-09-09,41.29,41.57,40.77,40.87,538000,40.87
2014-09-08,41.65,42.18,41.18,41.30,589800,41.30
2014-09-05,41.62,41.98,41.50,41.69,321800,41.69
2014-09-04,41.90,42.10,41.64,41.71,544900,41.71
2014-09-03,41.86,41.99,41.44,41.71,750800,41.71
2014-09-02,41.13,41.78,40.93,41.73,862600,41.73
2014-08-29,41.91,42.05,40.97,41.09,948900,41.09
2014-08-28,42.33,42.62,41.83,41.96,532200,41.96
2014-08-27,42.38,42.65,42.38,42.51,564200,42.51
2014-08-26,42.58,42.79,42.18,42.45,750800,42.45
2014-08-25,43.05,43.05,42.24,42.39,593500,42.39
2014-08-22,42.66,43.05,42.37,42.94,640600,42.94
2014-08-21,42.93,43.48,42.71,42.74,544400,42.74
2014-08-20,43.35,43.41,42.79,42.97,515000,42.97
2014-08-19,43.18,43.48,42.98,43.39,665400,43.39
2014-08-18,43.14,43.32,42.58,43.21,846800,43.21
2014-08-15,43.87,43.87,42.57,42.85,840500,42.85
2014-08-14,47.07,47.20,40.83,43.51,3808100,43.51
2014-08-13,46.00,46.13,45.40,45.90,822800,45.90
2014-08-12,45.56,46.00,45.43,45.75,451100,45.75
2014-08-11,45.54,45.90,45.39,45.77,350700,45.77
2014-08-08,44.91,45.70,44.70,45.34,487300,45.34
2014-08-07,45.21,45.53,44.70,45.00,298700,45.00
2014-08-06,44.42,45.31,44.40,44.93,397800,44.93
2014-08-05,43.50,45.05,43.50,44.94,583500,44.94
2014-08-04,43.44,43.89,42.67,43.69,338400,43.69
2014-08-01,43.50,43.83,42.60,43.21,540200,43.21
2014-07-31,45.12,45.46,43.41,43.44,403200,43.44
2014-07-30,45.10,46.20,45.10,45.75,456800,45.75
2014-07-29,44.28,45.85,43.99,44.88,386700,44.88
2014-07-28,44.94,45.04,44.21,44.32,261400,44.32
2014-07-25,44.80,45.16,44.26,44.77,380300,44.77
2014-07-24,44.65,45.35,44.41,45.25,297600,45.25
2014-07-23,44.99,45.04,44.37,44.53,159700,44.53
2014-07-22,45.03,45.47,44.63,44.90,205200,44.90
2014-07-21,44.72,44.99,44.43,44.72,244700,44.72
2014-07-18,44.42,45.18,44.42,44.97,334900,44.97
2014-07-17,45.06,45.40,44.40,44.51,339000,44.51
2014-07-16,45.70,46.11,45.00,45.29,266000,45.29
2014-07-15,45.68,46.22,45.20,45.38,280500,45.38
2014-07-14,46.02,46.02,45.36,45.94,506800,45.94
2014-07-11,45.33,45.61,44.96,45.57,226900,45.57
2014-07-10,44.90,45.80,44.71,45.33,397600,45.33
2014-07-09,45.70,46.00,45.33,45.89,377500,45.89
2014-07-08,46.36,46.50,45.14,45.43,554400,45.43
2014-07-07,46.75,47.01,46.53,46.61,310000,46.61
2014-07-03,47.09,47.30,46.77,47.00,146500,47.00
2014-07-02,46.87,47.50,46.87,47.05,362600,47.05
2014-07-01,46.43,47.63,46.41,47.00,808100,47.00
2014-06-30,46.01,46.46,45.65,46.40,662200,46.40
2014-06-27,45.17,46.41,45.17,46.20,1014100,46.20
2014-06-26,45.86,46.15,45.18,45.49,323700,45.49
2014-06-25,45.24,45.86,45.07,45.77,350600,45.77
2014-06-24,45.94,46.64,45.42,45.57,608100,45.57
2014-06-23,45.51,46.14,45.29,46.12,447900,46.12
2014-06-20,45.96,46.10,45.31,45.53,815100,45.53
2014-06-19,45.16,46.03,44.92,45.96,737900,45.96
2014-06-18,44.72,45.18,44.26,45.09,760100,45.09
2014-06-17,44.12,44.81,43.69,44.73,458700,44.73
2014-06-16,44.12,44.49,43.88,44.22,369600,44.22
2014-06-13,43.67,44.22,43.46,44.18,427500,44.18
2014-06-12,43.57,43.57,43.02,43.45,425300,43.45
2014-06-11,43.42,43.58,43.12,43.53,475200,43.53
2014-06-10,44.04,44.43,43.70,43.77,329300,43.77
2014-06-09,44.32,44.78,44.10,44.16,410200,44.16
2014-06-06,44.25,45.00,44.18,44.50,685900,44.50
2014-06-05,43.44,44.02,42.98,43.95,357000,43.95
2014-06-04,43.08,43.39,42.91,43.23,321700,43.23
2014-06-03,43.28,43.39,42.95,43.24,422800,43.24
2014-06-02,43.06,43.63,42.91,43.41,632300,43.41
2014-05-30,44.01,44.05,42.97,42.99,963300,42.99
2014-05-29,44.14,44.60,43.89,43.98,443000,43.98
2014-05-28,44.35,44.82,43.66,43.87,502200,43.87
2014-05-27,45.02,45.08,43.98,44.54,510700,44.54
2014-05-23,44.15,44.50,43.66,44.45,469600,44.45
2014-05-22,44.00,44.53,43.58,44.02,578700,44.02
2014-05-21,43.64,43.88,42.98,43.78,728400,43.78
2014-05-20,44.40,44.77,43.23,43.47,1040100,43.47
2014-05-19,44.75,45.21,44.27,44.65,954600,44.65
2014-05-16,44.70,44.88,44.15,44.88,944600,44.88
2014-05-15,44.88,45.24,43.92,44.49,747800,44.49
2014-05-14,45.24,45.66,44.71,45.24,665100,45.24
2014-05-13,45.65,46.42,45.25,45.51,1147500,45.51
2014-05-12,44.33,46.00,44.33,45.76,505200,45.76
