Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,106.46,106.47,103.69,103.94,10283400,103.94
2014-12-30,105.64,106.71,105.13,105.75,10205700,105.75
2014-12-29,105.95,107.66,105.64,105.98,8068600,105.98
2014-12-26,105.99,106.94,105.50,105.95,6529100,105.95
2014-12-24,105.68,107.21,105.60,105.95,5870400,105.95
2014-12-23,108.30,108.47,103.88,105.52,19096300,105.52
2014-12-22,110.63,110.98,108.53,108.77,13041200,108.77
2014-12-19,109.93,110.65,108.04,110.65,14857800,110.65
2014-12-18,110.58,111.20,108.26,109.25,22788100,109.25
2014-12-17,107.11,109.19,106.28,109.02,17311100,109.02
2014-12-16,103.75,107.68,103.70,105.77,21700600,105.77
2014-12-15,106.39,107.77,103.70,104.70,16521800,104.70
2014-12-12,104.70,107.45,104.18,105.11,14537600,105.11
2014-12-11,104.44,106.84,104.29,104.97,15684300,104.97
2014-12-10,107.09,107.38,103.51,103.88,18466700,103.88
2014-12-09,102.27,107.95,101.20,107.48,24866800,107.48
2014-12-08,105.97,107.40,104.21,105.07,19217300,105.07
2014-12-05,109.60,110.35,107.76,107.90,12148100,107.90
2014-12-04,110.10,110.50,108.91,109.17,10779300,109.17
2014-12-03,110.40,111.68,108.80,110.64,16221100,110.64
2014-12-02,107.35,110.00,106.61,109.89,18651700,109.89
2014-12-01,110.02,110.05,103.90,105.99,38464200,105.99
2014-11-28,113.14,113.23,111.11,111.64,8077800,111.64
2014-11-26,113.33,113.74,112.33,112.67,11794700,112.67
2014-11-25,114.94,115.17,112.33,113.47,23485000,113.47
2014-11-24,112.00,113.93,111.55,113.92,20646000,113.92
2014-11-21,113.21,113.50,110.43,110.73,27432000,110.73
2014-11-20,107.81,112.44,107.26,109.82,36489000,109.82
2014-11-19,109.83,110.68,107.22,108.82,46841000,108.82
2014-11-18,114.33,114.38,110.41,110.81,41098000,110.81
2014-11-17,115.44,115.63,113.13,114.25,22573000,114.25
2014-11-14,115.06,115.39,113.35,115.10,29849000,115.10
2014-11-13,119.30,120.00,114.55,114.84,62163000,114.84
2014-11-12,115.05,119.07,114.02,118.20,53908000,118.20
2014-11-11,117.25,117.55,113.69,114.54,70983600,114.54
2014-11-10,117.27,119.45,115.20,119.15,75971000,119.15
2014-11-07,112.93,114.77,111.75,114.56,51457000,114.56
2014-11-06,109.30,111.70,107.21,111.57,33609000,111.57
2014-11-05,108.48,110.14,106.48,108.67,48344000,108.67
2014-11-04,100.43,106.36,99.51,106.07,67814000,106.07
2014-11-03,99.67,102.80,99.05,101.80,40883700,101.80
2014-10-31,100.10,100.22,98.14,98.60,18128300,98.60
2014-10-30,98.48,99.44,97.30,98.73,15484600,98.73
2014-10-29,99.88,100.00,96.82,98.31,28655400,98.31
2014-10-28,99.84,100.67,98.61,99.68,32003600,99.68
2014-10-27,97.00,98.85,96.30,97.79,28302400,97.79
2014-10-24,95.07,98.00,94.78,95.76,32132600,95.76
2014-10-23,92.92,94.70,92.82,94.45,20641000,94.45
2014-10-22,92.25,93.50,91.01,91.63,20312500,91.63
2014-10-21,89.10,92.50,88.50,90.90,23243800,90.90
2014-10-20,88.00,89.50,87.86,88.26,9891400,88.26
2014-10-17,90.40,90.90,87.67,87.91,17360700,87.91
2014-10-16,84.98,89.18,84.01,88.85,15232000,88.85
2014-10-15,84.04,86.49,82.81,85.60,16824300,85.60
2014-10-14,85.81,85.88,83.22,84.95,15559200,84.95
2014-10-13,86.85,86.89,84.92,85.12,14845000,85.12
2014-10-10,88.25,88.74,85.24,85.88,15431400,85.88
2014-10-09,88.51,90.35,88.00,88.79,21507000,88.79
2014-10-08,88.00,88.50,87.06,88.30,10252600,88.30
2014-10-07,87.95,89.70,87.06,87.67,12791700,87.67
2014-10-06,89.15,89.65,88.06,88.31,9268400,88.31
2014-10-03,88.10,89.94,87.65,88.10,18485700,88.10
2014-10-02,86.27,88.20,85.61,87.06,21469700,87.06
2014-10-01,88.70,88.94,86.04,86.10,24029600,86.10
2014-09-30,89.00,90.88,88.46,88.85,24419400,88.85
2014-09-29,89.62,89.70,88.02,88.75,25302000,88.75
2014-09-26,89.73,90.46,88.66,90.46,18340000,90.46
2014-09-25,91.09,91.50,88.50,88.92,28598000,88.92
2014-09-24,88.47,90.57,87.22,90.57,32088000,90.57
2014-09-23,88.94,90.48,86.62,87.17,39009800,87.17
2014-09-22,92.70,92.95,89.50,89.89,66657800,89.89
2014-09-19,92.70,99.70,89.95,93.89,271879400,93.89
