Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,2.18,2.18,2.13,2.18,6700,2.18
2014-12-30,2.17,2.17,2.13,2.13,600,2.13
2014-12-29,2.11,2.19,2.11,2.13,1800,2.13
2014-12-26,2.10,2.23,2.10,2.11,4000,2.11
2014-12-24,2.05,2.05,2.05,2.05,000,2.05
2014-12-23,2.23,2.23,2.05,2.09,11000,2.09
2014-12-22,2.29,2.29,2.20,2.20,600,2.20
2014-12-19,2.26,2.32,2.20,2.26,7400,2.26
2014-12-18,2.21,2.28,2.20,2.28,2100,2.28
2014-12-17,2.30,2.30,2.23,2.23,1800,2.23
2014-12-16,2.16,2.35,2.16,2.20,1400,2.20
2014-12-15,2.21,2.30,2.10,2.15,2900,2.15
2014-12-12,2.08,2.24,2.08,2.16,4900,2.16
2014-12-11,2.11,2.18,2.11,2.18,2400,2.18
2014-12-10,2.29,2.35,2.13,2.16,23100,2.16
2014-12-09,2.24,2.34,2.22,2.25,12300,2.25
2014-12-08,2.20,2.43,2.20,2.20,8200,2.20
2014-12-05,2.25,2.25,2.25,2.25,200,2.25
2014-12-04,2.25,2.32,2.25,2.25,4600,2.25
2014-12-03,2.25,2.30,2.25,2.30,4700,2.30
2014-12-02,2.30,2.30,2.25,2.25,4200,2.25
2014-12-01,2.30,2.32,2.30,2.30,7300,2.30
2014-11-28,2.48,2.48,2.30,2.33,5100,2.33
2014-11-26,2.30,2.32,2.27,2.31,12500,2.31
2014-11-25,2.25,2.26,2.25,2.26,1200,2.26
2014-11-24,2.25,2.45,2.25,2.36,16600,2.36
2014-11-21,2.25,2.29,2.25,2.25,6000,2.25
2014-11-20,2.25,2.25,2.25,2.25,000,2.25
2014-11-19,2.30,2.38,2.25,2.25,4000,2.25
2014-11-18,2.40,2.40,2.40,2.40,100,2.40
2014-11-17,2.42,2.42,2.30,2.30,3700,2.30
2014-11-14,2.28,2.42,2.28,2.42,1000,2.42
2014-11-13,2.40,2.41,2.40,2.41,800,2.41
2014-11-12,2.38,2.44,2.30,2.44,6200,2.44
2014-11-11,2.30,2.30,2.30,2.30,5900,2.30
2014-11-10,2.34,2.40,2.30,2.30,3400,2.30
2014-11-07,2.51,2.51,2.35,2.35,2500,2.35
2014-11-06,2.51,2.51,2.51,2.51,300,2.51
2014-11-05,2.54,2.54,2.35,2.50,3200,2.50
2014-11-04,2.22,2.60,2.22,2.50,73800,2.50
2014-11-03,2.29,2.39,2.20,2.32,7300,2.32
2014-10-31,2.39,2.39,2.39,2.39,600,2.39
2014-10-30,2.22,2.39,2.21,2.39,4500,2.39
2014-10-29,2.25,2.35,2.20,2.20,2700,2.20
2014-10-28,2.18,2.33,2.18,2.33,400,2.33
2014-10-27,2.20,2.40,2.16,2.38,800,2.38
2014-10-24,2.21,2.38,2.17,2.30,4000,2.30
2014-10-23,2.20,2.39,2.20,2.39,1100,2.39
2014-10-22,2.39,2.39,2.39,2.39,000,2.39
2014-10-21,2.24,2.39,2.23,2.39,1400,2.39
2014-10-20,2.27,2.45,2.15,2.40,10500,2.40
2014-10-17,2.28,2.31,2.16,2.20,4100,2.20
2014-10-16,2.17,2.30,2.15,2.20,12600,2.20
2014-10-15,2.33,2.33,2.21,2.21,1700,2.21
2014-10-14,2.17,2.17,2.15,2.15,700,2.15
2014-10-13,2.16,2.16,2.15,2.15,500,2.15
2014-10-10,2.20,2.27,2.15,2.18,9700,2.18
2014-10-09,2.20,2.20,2.20,2.20,000,2.20
2014-10-08,2.21,2.21,2.18,2.20,2200,2.20
2014-10-07,2.21,2.21,2.21,2.21,100,2.21
2014-10-06,2.20,2.23,2.20,2.23,4300,2.23
2014-10-03,2.21,2.23,2.21,2.22,1500,2.22
2014-10-02,2.23,2.23,2.20,2.22,1700,2.22
2014-10-01,2.30,2.31,2.20,2.23,7500,2.23
2014-09-30,2.31,2.31,2.31,2.31,000,2.31
2014-09-29,2.31,2.31,2.31,2.31,400,2.31
2014-09-26,2.26,2.31,2.25,2.31,1800,2.31
2014-09-25,2.40,2.40,2.32,2.32,700,2.32
2014-09-24,2.50,2.50,2.25,2.40,14800,2.40
2014-09-23,2.45,2.52,2.45,2.52,17200,2.52
2014-09-22,2.52,2.52,2.38,2.40,3300,2.40
2014-09-19,2.42,2.50,2.30,2.50,18400,2.50
2014-09-18,2.33,2.43,2.26,2.28,17300,2.28
2014-09-17,2.33,2.34,2.20,2.32,10800,2.32
2014-09-16,2.19,2.29,2.19,2.29,4400,2.29
2014-09-15,2.18,2.35,2.15,2.35,17100,2.35
2014-09-12,2.17,2.30,2.16,2.25,4000,2.25
2014-09-11,2.27,2.28,2.20,2.26,3700,2.26
2014-09-10,2.30,2.35,2.25,2.26,9500,2.26
2014-09-09,2.25,2.27,2.24,2.24,25200,2.24
2014-09-08,2.15,2.15,2.14,2.14,400,2.14
2014-09-05,2.23,2.23,2.15,2.20,11200,2.20
2014-09-04,2.16,2.17,2.15,2.16,2200,2.16
2014-09-03,2.16,2.16,2.16,2.16,000,2.16
2014-09-02,2.15,2.16,2.15,2.16,700,2.16
2014-08-29,2.19,2.25,2.19,2.20,3400,2.20
2014-08-28,2.30,2.30,2.15,2.19,3900,2.19
2014-08-27,2.37,2.40,2.30,2.30,7300,2.30
2014-08-26,2.45,2.45,2.45,2.45,11700,2.45
2014-08-25,2.47,2.47,2.46,2.46,1800,2.46
2014-08-22,2.48,2.49,2.45,2.49,4600,2.49
2014-08-21,2.46,2.46,2.46,2.46,000,2.46
2014-08-20,2.46,2.46,2.46,2.46,000,2.46
2014-08-19,2.43,2.46,2.38,2.46,300,2.46
2014-08-18,2.50,2.50,2.36,2.40,18500,2.40
2014-08-15,2.35,2.50,2.35,2.50,20800,2.50
2014-08-14,2.17,2.43,2.17,2.39,22800,2.39
