Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,24.55,24.82,23.77,23.90,58300,23.79
2014-12-30,24.53,24.91,24.29,24.48,27000,24.36
2014-12-29,24.31,24.80,23.79,24.72,36400,24.60
2014-12-26,24.39,24.69,24.02,24.39,38200,24.27
2014-12-24,23.99,24.60,23.65,24.21,41800,24.09
2014-12-23,24.31,24.54,23.66,23.93,47800,23.82
2014-12-22,23.25,24.44,23.20,24.10,76500,23.89
2014-12-19,23.78,24.16,23.10,23.24,247300,23.03
2014-12-18,23.66,24.21,22.90,23.87,68900,23.66
2014-12-17,22.67,23.39,22.32,23.33,77100,23.12
2014-12-16,22.67,23.23,22.37,22.77,61000,22.57
2014-12-15,23.55,23.79,22.49,22.81,74000,22.61
2014-12-12,23.77,23.90,23.14,23.46,53800,23.25
2014-12-11,23.92,24.62,23.56,24.19,58300,23.97
2014-12-10,24.24,24.80,23.72,23.72,42100,23.51
2014-12-09,22.95,24.89,22.17,24.76,57000,24.54
2014-12-08,23.97,24.01,23.08,23.31,33100,23.10
2014-12-05,23.86,24.33,23.86,24.13,42800,23.92
2014-12-04,24.08,24.37,23.78,23.89,82600,23.68
2014-12-03,23.49,24.30,22.67,24.18,73500,23.96
2014-12-02,22.88,23.49,21.69,23.40,47000,23.19
2014-12-01,23.04,23.32,22.59,22.82,37400,22.62
2014-11-28,23.52,23.90,23.08,23.18,30600,22.97
2014-11-26,22.96,23.65,22.78,23.45,40900,23.24
2014-11-25,22.97,23.32,22.76,23.12,32900,22.91
2014-11-24,22.50,23.14,22.33,23.08,34300,22.87
2014-11-21,23.29,23.29,22.40,22.54,35300,22.34
2014-11-20,21.98,23.05,21.69,22.84,26400,22.64
2014-11-19,22.42,22.42,21.49,22.00,37500,21.80
2014-11-18,22.38,22.56,22.15,22.54,38200,22.34
2014-11-17,22.78,23.17,22.26,22.34,32300,22.14
2014-11-14,23.25,23.26,22.85,22.89,60400,22.69
2014-11-13,23.92,24.24,23.21,23.31,40800,23.10
2014-11-12,23.20,24.03,23.20,23.97,54300,23.76
2014-11-11,23.18,23.47,22.79,23.42,64000,23.21
2014-11-10,23.72,23.72,23.07,23.23,96500,23.02
2014-11-07,22.83,23.89,22.82,23.84,78600,23.63
2014-11-06,23.30,23.47,22.83,23.38,60300,23.17
2014-11-05,22.99,23.51,22.89,23.39,76600,23.18
2014-11-04,22.30,22.98,21.81,22.77,69800,22.57
2014-11-03,22.12,22.92,21.34,22.49,96200,22.29
2014-10-31,22.71,23.03,20.51,21.99,178700,21.79
2014-10-30,21.27,22.16,20.61,22.10,96800,21.90
2014-10-29,22.94,23.26,20.50,21.46,300700,21.27
2014-10-28,23.35,24.50,23.35,24.41,63900,24.19
2014-10-27,22.33,23.25,22.16,23.18,37000,22.97
2014-10-24,22.84,22.84,22.36,22.56,40100,22.36
2014-10-23,22.32,22.88,21.93,22.84,47100,22.64
2014-10-22,22.13,22.47,21.91,21.97,44900,21.77
2014-10-21,22.68,22.68,21.97,22.17,45500,21.97
2014-10-20,21.60,22.56,21.60,22.56,101100,22.36
2014-10-17,22.70,22.87,21.74,21.82,62000,21.63
2014-10-16,22.12,22.95,22.10,22.33,97500,22.13
2014-10-15,21.48,22.91,21.12,22.55,85100,22.35
2014-10-14,21.75,22.48,21.69,21.86,54100,21.67
2014-10-13,21.11,21.74,20.92,21.48,60100,21.29
2014-10-10,21.60,22.02,21.17,21.19,79400,21.00
2014-10-09,22.63,22.63,21.57,21.75,56300,21.56
2014-10-08,21.98,22.84,21.52,22.73,63200,22.53
2014-10-07,22.71,22.87,22.06,22.13,46900,21.93
2014-10-06,23.81,23.81,22.90,22.97,50200,22.77
2014-10-03,24.19,24.25,23.73,23.79,35100,23.58
2014-10-02,23.47,24.04,23.32,23.91,59500,23.70
2014-10-01,23.22,23.78,23.02,23.39,79600,23.18
2014-09-30,23.35,23.67,23.17,23.32,88600,23.11
2014-09-29,23.49,24.15,23.26,23.39,74800,23.18
2014-09-26,23.31,23.99,23.21,23.91,49100,23.70
2014-09-25,23.61,24.01,22.92,23.20,71000,22.99
2014-09-24,23.40,23.94,23.30,23.67,91700,23.46
2014-09-23,23.35,23.66,23.35,23.46,71000,23.15
2014-09-22,23.28,23.57,23.13,23.34,69900,23.03
2014-09-19,23.67,23.76,23.13,23.51,117100,23.20
2014-09-18,23.54,23.83,23.40,23.54,41200,23.23
2014-09-17,23.30,23.70,23.24,23.40,54100,23.09
2014-09-16,23.26,23.40,22.96,23.37,68200,23.06
2014-09-15,23.95,23.95,22.94,23.32,85400,23.01
2014-09-12,24.43,24.43,23.86,24.05,64500,23.73
2014-09-11,23.54,24.52,23.54,24.46,64400,24.14
2014-09-10,23.60,23.80,23.35,23.73,31500,23.42
2014-09-09,23.43,23.80,23.17,23.48,49200,23.17
2014-09-08,23.33,23.71,22.75,23.42,43900,23.11
2014-09-05,23.35,23.53,23.01,23.42,24600,23.11
2014-09-04,23.60,24.15,23.26,23.45,51000,23.14
2014-09-03,23.61,23.67,23.28,23.49,49300,23.18
2014-09-02,23.80,23.99,23.39,23.49,56300,23.18
2014-08-29,23.26,23.70,23.03,23.65,44900,23.34
2014-08-28,22.92,23.45,22.87,23.20,42600,22.90
2014-08-27,23.36,23.41,22.94,23.17,44300,22.87
2014-08-26,22.38,23.46,22.38,23.24,84600,22.93
2014-08-25,22.35,22.81,22.07,22.37,74700,22.08
2014-08-22,22.03,22.59,21.89,22.13,81800,21.84
2014-08-21,21.47,22.18,21.31,22.15,80300,21.86
2014-08-20,21.81,21.81,21.31,21.56,55500,21.28
2014-08-19,21.26,22.25,20.94,22.03,134000,21.74
2014-08-18,21.32,21.37,20.89,21.15,165200,20.87
2014-08-15,21.87,21.87,20.80,20.96,79600,20.68
2014-08-14,21.83,21.89,21.26,21.58,31700,21.30
2014-08-13,21.33,22.00,21.31,21.85,53100,21.56
2014-08-12,21.51,21.75,21.01,21.14,38500,20.86
2014-08-11,21.57,21.90,21.22,21.66,44800,21.38
2014-08-08,20.72,21.60,20.51,21.33,48000,21.05
2014-08-07,20.85,21.05,20.36,20.74,46700,20.47
2014-08-06,20.71,21.25,20.61,20.79,52900,20.52
2014-08-05,20.36,21.06,20.05,20.97,40900,20.69
2014-08-04,20.33,20.54,20.23,20.45,77100,20.18
2014-08-01,20.72,20.94,20.26,20.30,75900,20.03
2014-07-31,21.25,21.35,20.63,20.70,112500,20.43
2014-07-30,21.44,21.90,20.24,21.63,98600,21.35
2014-07-29,21.86,22.74,21.86,22.51,58100,22.21
2014-07-28,22.36,22.36,21.55,21.89,39300,21.60
2014-07-25,22.03,22.60,21.91,22.40,42900,22.11
2014-07-24,22.23,22.74,22.11,22.36,72400,22.07
2014-07-23,22.70,23.17,22.17,22.22,35100,21.93
2014-07-22,22.02,22.82,21.98,22.69,66700,22.39
2014-07-21,21.80,21.98,21.46,21.90,37900,21.61
2014-07-18,21.45,22.36,21.45,22.07,63100,21.78
2014-07-17,21.87,22.00,21.40,21.52,55000,21.24
2014-07-16,21.77,22.64,21.47,22.15,92900,21.86
2014-07-15,21.88,21.88,21.17,21.55,44500,21.27
2014-07-14,21.83,22.19,21.71,21.82,52600,21.53
2014-07-11,21.70,21.77,21.38,21.65,66500,21.37
2014-07-10,21.61,22.45,21.60,21.75,66000,21.46
2014-07-09,21.84,22.58,21.65,22.12,109600,21.83
2014-07-08,22.51,22.68,21.42,21.65,442700,21.37
2014-07-07,23.37,23.37,22.40,22.52,76500,22.22
2014-07-03,24.07,24.28,23.15,23.40,70100,23.09
2014-07-02,23.96,24.47,23.45,24.29,124800,23.97
2014-07-01,23.46,24.33,23.29,23.94,91900,23.63
2014-06-30,23.08,23.51,22.80,23.44,65200,23.13
2014-06-27,22.55,23.41,22.51,23.23,230300,22.93
2014-06-26,23.27,23.64,22.50,22.75,48600,22.45
2014-06-25,22.74,23.39,22.50,23.25,77500,22.94
2014-06-24,22.99,23.60,22.57,22.62,105500,22.22
2014-06-23,23.12,23.12,22.67,22.78,51100,22.38
2014-06-20,22.75,23.28,22.53,22.95,113600,22.55
2014-06-19,23.14,23.28,22.57,22.71,59000,22.31
2014-06-18,23.09,23.23,22.38,23.07,40400,22.67
2014-06-17,22.17,23.17,22.13,23.14,65300,22.74
2014-06-16,22.91,23.24,22.13,22.28,55500,21.89
2014-06-13,23.16,23.32,22.74,23.06,180900,22.66
2014-06-12,23.20,23.64,22.87,23.05,136700,22.65
2014-06-11,24.10,24.10,23.05,23.39,64800,22.98
2014-06-10,24.55,24.55,23.82,24.31,37600,23.88
2014-06-09,24.26,25.16,24.11,24.71,50400,24.28
2014-06-06,24.86,25.30,24.19,24.40,56200,23.97
2014-06-05,23.00,24.69,22.62,24.62,94200,24.19
2014-06-04,22.99,23.20,22.51,22.96,78000,22.56
2014-06-03,23.59,23.91,22.78,23.14,76600,22.74
2014-06-02,23.76,24.35,23.00,23.82,192100,23.40
2014-05-30,24.56,24.67,23.87,24.37,97600,23.94
2014-05-29,23.88,25.07,23.62,24.45,132400,24.02
2014-05-28,24.02,24.27,23.38,23.88,235100,23.46
2014-05-27,23.80,24.41,23.68,24.19,41200,23.77
2014-05-23,22.33,23.66,22.19,23.60,47000,23.19
2014-05-22,22.35,22.77,22.30,22.49,53700,22.10
2014-05-21,22.74,22.99,22.25,22.36,90500,21.97
2014-05-20,23.10,23.13,22.53,22.64,103800,22.24
2014-05-19,22.37,23.58,21.56,23.33,75600,22.92
2014-05-16,21.75,22.75,21.60,22.59,66200,22.19
2014-05-15,22.13,22.56,21.61,21.79,144100,21.41
2014-05-14,23.80,23.80,22.11,22.18,88500,21.79
2014-05-13,24.35,24.36,23.36,23.79,116100,23.37
2014-05-12,23.12,24.91,22.20,24.34,163100,23.91
