Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,13.69,13.80,13.64,13.64,3600,13.64
2015-04-07,13.80,14.00,13.59,13.64,1900,13.64
2015-04-06,13.96,13.96,13.95,13.95,1100,13.95
2015-04-02,14.06,14.06,14.06,14.06,000,14.06
2015-04-01,14.05,14.10,13.96,14.06,500,14.06
2015-03-31,14.10,14.10,13.90,13.90,300,13.90
2015-03-30,14.08,14.10,13.90,13.90,900,13.68
2015-03-27,14.30,14.30,14.30,14.30,100,14.07
2015-03-26,14.60,15.00,14.18,14.40,6000,14.17
2015-03-25,14.40,14.40,14.40,14.40,000,14.17
2015-03-24,14.40,14.40,14.40,14.40,000,14.17
2015-03-23,14.40,14.40,14.40,14.40,000,14.17
2015-03-20,14.40,14.40,14.40,14.40,000,14.17
2015-03-19,14.40,14.40,14.40,14.40,000,14.17
2015-03-18,14.40,14.40,14.40,14.40,000,14.17
2015-03-17,14.40,14.40,14.40,14.40,000,14.17
2015-03-16,14.40,14.40,14.40,14.40,200,14.17
2015-03-13,13.82,13.82,13.82,13.82,200,13.60
2015-03-12,14.22,14.22,14.22,14.22,000,13.99
2015-03-11,14.22,14.22,14.22,14.22,000,13.99
2015-03-10,14.00,14.22,13.84,14.22,2400,13.99
2015-03-09,13.55,13.55,13.55,13.55,800,13.34
2015-03-06,13.90,13.90,13.90,13.90,000,13.68
2015-03-05,13.90,13.90,13.90,13.90,000,13.68
2015-03-04,13.90,13.90,13.90,13.90,000,13.68
2015-03-03,13.90,13.90,13.90,13.90,000,13.68
2015-03-02,13.90,13.90,13.90,13.90,000,13.68
2015-02-27,13.93,13.94,13.89,13.90,5200,13.68
2015-02-26,14.00,14.00,14.00,14.00,000,13.78
2015-02-25,14.00,14.00,14.00,14.00,000,13.78
2015-02-24,13.69,14.72,13.69,14.00,3300,13.78
2015-02-23,14.11,14.11,14.06,14.06,400,13.84
2015-02-20,15.00,15.00,15.00,15.00,200,14.76
2015-02-19,14.79,14.79,14.79,14.79,000,14.56
2015-02-18,14.79,14.79,14.79,14.79,000,14.56
2015-02-17,14.79,14.79,14.79,14.79,000,14.56
2015-02-13,14.79,14.79,14.79,14.79,400,14.56
2015-02-12,15.00,15.00,15.00,15.00,000,14.76
2015-02-11,15.00,15.00,15.00,15.00,1600,14.76
2015-02-10,14.50,14.75,13.98,14.00,1600,13.78
2015-02-09,13.99,14.35,13.99,13.99,1600,13.77
2015-02-06,13.55,13.55,13.55,13.55,400,13.34
2015-02-05,13.60,14.90,13.60,13.74,1300,13.52
2015-02-04,13.54,13.54,13.54,13.54,000,13.33
2015-02-03,13.54,13.54,13.54,13.54,000,13.33
2015-02-02,13.54,13.54,13.54,13.54,1500,13.33
2015-01-30,13.69,13.69,13.69,13.69,100,13.47
2015-01-29,14.00,14.00,14.00,14.00,000,13.78
2015-01-28,14.00,14.00,14.00,14.00,000,13.78
2015-01-27,14.00,14.00,14.00,14.00,300,13.78
2015-01-26,13.76,13.76,13.76,13.76,000,13.54
2015-01-23,13.76,13.76,13.76,13.76,000,13.54
2015-01-22,13.76,13.76,13.76,13.76,000,13.54
2015-01-21,13.98,13.98,13.76,13.76,300,13.54
2015-01-20,14.51,14.51,13.64,13.70,1100,13.48
2015-01-16,13.44,13.44,13.44,13.44,200,13.23
2015-01-15,14.56,14.80,14.56,14.80,400,14.57
2015-01-14,14.80,14.80,14.80,14.80,000,14.57
2015-01-13,14.80,14.80,14.80,14.80,100,14.57
2015-01-12,14.80,14.80,14.68,14.80,400,14.57
2015-01-09,14.50,14.50,14.50,14.50,000,14.27
2015-01-08,14.50,14.50,14.50,14.50,000,14.27
2015-01-07,14.78,14.78,14.50,14.50,2500,14.27
2015-01-06,14.86,14.86,14.86,14.86,000,14.62
2015-01-05,14.86,14.86,14.86,14.86,000,14.62
2015-01-02,14.86,14.86,14.86,14.86,200,14.62
