Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,50.30,50.63,50.02,50.21,229500,50.21
2014-12-30,50.00,50.62,49.72,50.30,150600,50.30
2014-12-29,49.24,50.17,49.24,50.09,159000,50.09
2014-12-26,49.30,49.63,49.15,49.37,78800,49.37
2014-12-24,49.23,50.04,48.88,49.15,99600,49.15
2014-12-23,48.05,48.99,48.05,48.93,202400,48.93
2014-12-22,47.97,48.09,47.30,47.94,209400,47.94
2014-12-19,48.27,48.55,47.37,47.66,962400,47.66
2014-12-18,47.82,48.63,47.12,48.39,228100,48.39
2014-12-17,47.09,47.51,46.28,47.31,372800,47.31
2014-12-16,47.13,47.62,46.70,46.84,230400,46.84
2014-12-15,48.26,49.08,46.78,47.07,241400,47.07
2014-12-12,47.96,49.02,47.96,48.23,292500,48.23
2014-12-11,48.07,48.88,47.97,48.29,254100,48.29
2014-12-10,49.09,49.09,47.32,47.71,356900,47.71
2014-12-09,47.86,48.50,46.69,48.19,472900,48.19
2014-12-08,48.41,49.23,48.12,48.64,191100,48.64
2014-12-05,48.21,49.42,48.14,48.71,188500,48.71
2014-12-04,48.74,48.94,47.77,48.24,208300,48.24
2014-12-03,48.70,49.01,48.01,48.64,254100,48.64
2014-12-02,48.75,49.43,48.24,48.84,418900,48.84
2014-12-01,49.20,49.81,47.39,48.59,489100,48.59
2014-11-28,49.34,49.99,48.66,49.16,201800,49.16
2014-11-26,49.00,49.64,48.58,49.26,485900,49.26
2014-11-25,48.15,49.17,47.55,48.90,451400,48.90
2014-11-24,46.91,48.00,46.50,47.99,307600,47.99
2014-11-21,47.09,47.89,46.70,46.94,278800,46.94
2014-11-20,45.60,46.70,45.60,46.61,226900,46.61
2014-11-19,46.60,46.63,45.57,45.90,170600,45.90
2014-11-18,46.12,46.76,46.02,46.50,167600,46.50
2014-11-17,46.09,46.57,45.71,46.11,174300,46.11
2014-11-14,46.49,47.05,45.92,46.03,491100,46.03
2014-11-13,47.14,47.56,46.09,46.56,344200,46.56
2014-11-12,46.61,47.64,45.76,47.35,367300,47.35
2014-11-11,47.54,47.97,46.27,46.81,290100,46.81
2014-11-10,47.08,48.06,46.37,47.53,449800,47.53
2014-11-07,46.18,47.69,45.92,47.08,563200,47.08
2014-11-06,45.10,46.60,44.64,46.33,482600,46.33
2014-11-05,44.02,45.14,43.82,44.90,323400,44.90
2014-11-04,43.94,44.56,43.74,44.14,397300,44.14
2014-11-03,44.20,44.38,43.41,43.90,331800,43.90
2014-10-31,43.44,44.29,43.44,44.02,418700,44.02
2014-10-30,43.44,44.27,43.29,43.94,361500,43.94
2014-10-29,43.90,44.14,42.86,43.73,407100,43.73
2014-10-28,42.78,44.25,42.75,44.02,665900,44.02
2014-10-27,41.63,42.45,41.43,42.42,928000,42.42
2014-10-24,38.00,42.38,37.39,42.15,2378000,42.15
2014-10-23,35.36,35.38,33.09,33.20,867100,33.20
2014-10-22,35.49,35.75,34.91,35.23,355900,35.23
2014-10-21,35.50,36.00,34.93,35.31,387000,35.31
2014-10-20,35.26,35.80,34.69,35.53,236900,35.53
2014-10-17,36.58,36.76,35.11,35.30,439600,35.30
2014-10-16,35.16,36.19,35.08,36.14,387200,36.14
2014-10-15,34.47,36.17,34.47,35.65,477300,35.65
2014-10-14,33.83,35.45,33.83,35.00,484500,35.00
2014-10-13,33.90,34.47,33.43,33.49,379700,33.49
2014-10-10,32.94,34.77,32.90,33.94,419500,33.94
2014-10-09,34.33,34.84,33.03,33.06,1235500,33.06
2014-10-08,33.77,34.66,33.54,34.35,365500,34.35
2014-10-07,34.57,34.74,33.75,33.76,403000,33.76
2014-10-06,35.53,35.99,34.83,34.85,343700,34.85
2014-10-03,35.87,36.07,35.51,35.53,277100,35.53
2014-10-02,35.04,35.93,34.87,35.48,226500,35.48
2014-10-01,36.08,36.15,34.82,34.90,321000,34.90
2014-09-30,36.74,37.04,35.92,35.99,324900,35.99
2014-09-29,35.98,36.83,35.52,36.74,260800,36.74
2014-09-26,35.71,36.48,35.71,36.34,168800,36.34
2014-09-25,35.86,36.42,35.45,35.65,194100,35.65
2014-09-24,35.94,36.36,35.55,36.01,286000,36.01
2014-09-23,36.36,36.87,35.90,35.94,203000,35.94
2014-09-22,36.95,37.29,36.06,36.48,250500,36.48
2014-09-19,37.82,38.20,36.96,37.18,611600,37.18
2014-09-18,37.50,38.15,37.27,37.77,174000,37.77
2014-09-17,36.64,37.55,36.58,37.28,156400,37.28
2014-09-16,36.19,37.15,35.91,36.72,196700,36.72
2014-09-15,36.78,36.81,35.98,36.32,221100,36.32
2014-09-12,37.20,37.56,36.47,36.83,206500,36.83
2014-09-11,36.78,37.40,36.60,37.32,181600,37.32
2014-09-10,36.83,37.16,36.43,36.94,140400,36.94
2014-09-09,36.66,36.85,36.04,36.78,257400,36.78
2014-09-08,36.93,37.03,36.19,36.78,346700,36.78
2014-09-05,36.57,37.26,36.41,37.03,141400,37.03
2014-09-04,36.49,37.13,36.49,36.66,167800,36.66
2014-09-03,37.38,37.63,36.34,36.55,224100,36.55
2014-09-02,37.34,37.59,36.90,37.24,231800,37.24
2014-08-29,37.23,37.77,36.91,37.27,178400,37.27
2014-08-28,37.43,37.47,36.78,37.19,242400,37.19
2014-08-27,36.43,38.10,36.43,37.65,395100,37.65
2014-08-26,35.81,36.27,35.62,36.14,292700,36.14
2014-08-25,36.07,36.50,35.38,35.75,216700,35.75
2014-08-22,37.04,37.04,35.72,35.74,278300,35.74
2014-08-21,36.03,37.10,36.03,36.90,210700,36.90
2014-08-20,36.27,36.75,35.60,36.13,179600,36.13
2014-08-19,36.15,36.70,36.13,36.36,218700,36.36
2014-08-18,35.74,36.39,35.56,36.16,218400,36.16
2014-08-15,35.29,35.74,34.68,35.55,232400,35.55
2014-08-14,35.60,35.78,34.97,35.11,230800,35.11
2014-08-13,35.86,36.38,35.50,35.71,189700,35.71
2014-08-12,35.75,36.14,35.42,35.79,144500,35.79
2014-08-11,35.28,35.94,34.90,35.85,199900,35.85
2014-08-08,35.08,35.39,34.81,35.07,238200,35.07
2014-08-07,35.16,35.79,34.96,35.03,313800,35.03
2014-08-06,34.33,35.30,34.26,34.96,277300,34.96
2014-08-05,34.61,35.34,34.51,34.71,198300,34.71
2014-08-04,35.07,35.48,34.64,34.89,273700,34.89
2014-08-01,34.55,35.35,34.53,35.01,393500,35.01
2014-07-31,33.78,34.60,33.78,34.27,273000,34.27
2014-07-30,34.80,35.16,33.97,34.24,288400,34.24
2014-07-29,34.67,35.38,34.35,34.95,343300,34.95
2014-07-28,35.18,35.61,34.50,34.50,379300,34.50
2014-07-25,32.31,36.16,31.52,34.98,941200,34.98
2014-07-24,30.93,31.21,30.14,30.64,671000,30.64
2014-07-23,31.54,31.94,30.84,30.88,275500,30.88
2014-07-22,31.61,31.91,31.27,31.62,295300,31.62
