Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,7.74,7.98,7.74,7.82,56600,7.82
2015-04-07,7.65,7.82,7.65,7.77,47500,7.77
2015-04-06,7.65,7.74,7.42,7.62,100300,7.62
2015-04-02,7.82,7.89,7.61,7.61,28200,7.61
2015-04-01,7.76,7.90,7.71,7.77,45100,7.77
2015-03-31,7.90,7.90,7.67,7.78,50200,7.78
2015-03-30,7.62,7.85,7.60,7.85,35400,7.85
2015-03-27,8.00,8.00,7.36,7.52,178200,7.52
2015-03-26,7.95,8.05,7.81,8.00,83900,8.00
2015-03-25,8.00,8.09,7.90,7.94,69800,7.94
2015-03-24,8.23,8.24,8.05,8.05,66000,8.05
2015-03-23,8.18,8.24,8.12,8.14,93400,8.14
2015-03-20,8.30,8.45,8.13,8.16,161000,8.16
2015-03-19,8.04,8.33,7.81,8.17,294200,8.17
2015-03-18,7.76,7.91,7.65,7.90,53500,7.90
2015-03-17,7.77,7.80,7.65,7.77,27600,7.77
2015-03-16,7.71,7.89,7.50,7.75,72600,7.75
2015-03-13,7.35,7.79,7.33,7.67,185200,7.67
2015-03-12,7.52,7.55,7.31,7.43,58000,7.43
2015-03-11,7.61,7.61,7.26,7.43,62700,7.43
2015-03-10,7.60,7.97,7.18,7.29,97000,7.29
2015-03-09,7.81,7.81,7.59,7.63,23700,7.63
2015-03-06,7.75,7.87,7.61,7.74,29300,7.74
2015-03-05,7.59,7.90,7.57,7.75,59700,7.75
2015-03-04,7.54,7.60,7.45,7.59,31800,7.59
2015-03-03,7.52,7.61,7.45,7.51,44300,7.51
2015-03-02,7.43,7.66,7.43,7.49,92800,7.49
2015-02-27,7.42,7.58,7.42,7.47,21600,7.47
2015-02-26,7.36,7.44,7.24,7.41,49800,7.41
2015-02-25,7.17,7.50,7.15,7.40,76900,7.40
2015-02-24,7.19,7.19,7.15,7.17,34100,7.17
2015-02-23,7.28,7.32,7.15,7.15,47200,7.15
2015-02-20,7.30,7.36,7.16,7.19,34700,7.19
2015-02-19,7.40,7.40,7.23,7.30,27700,7.30
2015-02-18,7.23,7.46,7.23,7.35,87600,7.35
2015-02-17,7.24,7.29,7.15,7.24,41600,7.24
2015-02-13,7.25,7.30,7.15,7.19,87400,7.19
2015-02-12,7.15,7.26,7.11,7.20,37500,7.20
2015-02-11,7.25,7.32,7.10,7.20,57100,7.20
2015-02-10,7.28,7.28,7.10,7.19,21700,7.19
2015-02-09,6.97,7.24,6.97,7.23,59100,7.23
2015-02-06,7.21,7.24,6.80,6.97,62700,6.97
2015-02-05,7.21,7.24,7.11,7.24,43800,7.24
2015-02-04,7.11,7.28,7.11,7.13,56100,7.13
2015-02-03,7.25,7.30,7.11,7.19,70700,7.19
2015-02-02,7.26,7.26,7.12,7.21,15200,7.21
2015-01-30,7.00,7.37,7.00,7.27,70400,7.27
2015-01-29,7.02,7.35,6.95,7.15,117700,7.01
2015-01-28,6.97,7.23,6.82,6.84,207100,6.71
2015-01-27,6.78,7.00,6.78,6.93,60400,6.80
2015-01-26,7.02,7.14,6.57,6.96,45700,6.83
2015-01-23,6.95,7.26,6.86,7.00,78100,6.87
2015-01-22,6.61,7.04,6.47,6.93,72900,6.80
2015-01-21,6.21,6.69,6.18,6.52,70700,6.40
2015-01-20,6.16,6.19,6.03,6.18,29000,6.06
2015-01-16,5.92,6.25,5.91,6.14,41100,6.02
2015-01-15,6.07,6.19,6.02,6.09,48700,5.97
2015-01-14,6.29,6.35,6.12,6.18,49600,6.06
2015-01-13,6.48,6.52,6.25,6.40,68100,6.28
2015-01-12,6.55,6.55,6.35,6.47,58500,6.35
2015-01-09,6.71,6.77,6.55,6.59,51900,6.46
2015-01-08,6.82,6.85,6.56,6.66,69400,6.53
2015-01-07,6.66,6.89,6.55,6.73,79400,6.60
2015-01-06,6.61,6.75,6.40,6.59,188500,6.46
2015-01-05,6.72,6.78,6.56,6.61,35700,6.48
2015-01-02,6.72,6.82,6.71,6.72,12100,6.59
