Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,51.64,51.84,50.76,51.45,4700,51.45
2015-04-07,51.92,51.92,50.90,50.93,4500,50.93
2015-04-06,51.71,51.90,51.38,51.90,2700,51.90
2015-04-02,52.48,52.48,50.83,50.90,10900,50.90
2015-04-01,50.98,51.90,50.98,51.90,14800,51.90
2015-03-31,51.50,51.50,50.69,50.90,5300,50.90
2015-03-30,51.36,51.90,50.35,51.89,6000,51.89
2015-03-27,51.23,51.84,50.59,51.37,5500,51.37
2015-03-26,51.38,51.68,51.18,51.18,4300,51.18
2015-03-25,51.55,51.55,50.79,50.88,5000,50.88
2015-03-24,51.23,51.64,51.03,51.44,3600,51.44
2015-03-23,51.04,51.30,50.95,51.04,12200,51.04
2015-03-20,51.20,51.42,50.79,51.31,33600,51.31
2015-03-19,51.15,51.15,50.85,50.85,2500,50.85
2015-03-18,51.52,51.52,50.55,51.18,8000,51.18
2015-03-17,50.66,51.18,50.50,51.14,13900,51.14
2015-03-16,51.06,51.20,50.45,51.19,8400,51.19
2015-03-13,50.75,50.79,50.56,50.75,3100,50.75
2015-03-12,50.56,51.20,50.54,51.18,6100,51.18
2015-03-11,50.31,50.87,50.30,50.31,8300,50.31
2015-03-10,50.35,50.49,50.30,50.31,2700,50.31
2015-03-09,50.34,50.98,50.34,50.66,1800,50.66
2015-03-06,50.30,50.61,50.30,50.31,4500,50.31
2015-03-05,50.35,50.70,50.26,50.44,4800,50.44
2015-03-04,50.58,50.99,50.35,50.36,5400,50.36
2015-03-03,50.36,50.58,50.35,50.37,2400,50.37
2015-03-02,50.35,51.13,50.08,50.75,3900,50.75
2015-02-27,50.87,51.00,50.17,50.17,6300,50.17
2015-02-26,50.35,51.17,50.00,50.98,3900,50.98
2015-02-25,49.83,51.05,49.83,50.01,1500,50.01
2015-02-24,50.48,50.88,49.80,49.96,13800,49.96
2015-02-23,51.19,51.19,49.80,49.91,6000,49.91
2015-02-20,50.53,51.20,49.80,50.18,12700,50.18
2015-02-19,49.60,50.67,49.60,50.33,3200,50.33
2015-02-18,50.32,50.65,49.74,49.98,5200,49.98
2015-02-17,50.02,50.96,49.93,49.95,8500,49.95
2015-02-13,50.14,51.01,49.92,49.92,4100,49.92
2015-02-12,50.10,50.51,49.80,49.90,22100,49.90
2015-02-11,50.00,50.00,49.51,49.57,10600,49.57
2015-02-10,50.79,51.15,49.59,49.96,6900,49.96
2015-02-09,51.23,51.85,50.03,50.22,4000,50.22
2015-02-06,50.72,52.19,50.25,51.23,8400,51.23
2015-02-05,49.85,51.02,49.80,50.46,7100,50.46
2015-02-04,50.00,51.58,49.58,49.77,11800,49.77
2015-02-03,49.53,50.53,49.53,50.22,7900,50.00
2015-02-02,49.30,49.93,49.30,49.64,7800,49.42
2015-01-30,49.70,50.38,49.00,49.01,9800,48.80
2015-01-29,49.21,50.39,49.21,50.33,9300,50.11
2015-01-28,50.25,50.25,49.00,49.01,18700,48.80
2015-01-27,50.18,50.52,49.90,49.95,16100,49.73
2015-01-26,51.08,51.95,49.99,51.03,16700,50.81
2015-01-23,52.22,52.22,50.99,51.99,8600,51.76
2015-01-22,50.38,52.25,50.38,52.15,26600,51.92
2015-01-21,50.69,51.24,49.96,50.11,8400,49.89
2015-01-20,50.37,50.97,49.98,50.47,7800,50.25
2015-01-16,49.87,50.25,48.63,50.21,8100,49.99
2015-01-15,50.70,50.80,50.00,50.01,12200,49.79
2015-01-14,50.06,50.61,50.00,50.20,7200,49.98
2015-01-13,50.26,51.18,50.06,50.64,6200,50.42
2015-01-12,51.19,51.19,50.02,50.08,5500,49.86
2015-01-09,51.40,52.20,50.31,50.80,16200,50.58
2015-01-08,50.58,51.97,50.24,51.08,14500,50.86
2015-01-07,50.11,51.02,50.00,50.45,9800,50.23
2015-01-06,50.45,50.45,49.93,50.01,23800,49.79
2015-01-05,50.52,51.00,50.40,50.41,9600,50.19
2015-01-02,52.48,52.96,50.41,50.96,15000,50.74
