Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,25.80,25.82,25.80,25.82,1700,25.82
2015-04-07,25.78,25.82,25.78,25.80,3600,25.80
2015-04-06,26.00,26.00,26.00,26.00,600,26.00
2015-04-02,26.10,26.25,25.76,26.25,1000,26.25
2015-04-01,25.80,26.20,25.75,25.75,4100,25.75
2015-03-31,26.00,26.00,25.75,25.90,4100,25.90
2015-03-30,26.15,26.15,25.80,26.12,4400,26.12
2015-03-27,26.30,26.30,26.30,26.30,3500,26.30
2015-03-26,25.98,25.98,25.98,25.98,000,25.98
2015-03-25,25.95,26.00,25.83,25.98,3600,25.98
2015-03-24,26.02,26.02,26.02,26.02,1300,26.02
2015-03-23,26.75,26.75,25.90,25.90,3800,25.90
2015-03-20,25.60,26.00,25.60,26.00,2700,26.00
2015-03-19,26.34,26.34,26.34,26.34,000,26.34
2015-03-18,26.20,26.39,26.20,26.34,1700,26.34
2015-03-17,25.61,26.36,25.60,26.20,5500,26.20
2015-03-16,25.65,26.20,25.65,26.20,3900,26.20
2015-03-13,26.08,26.76,25.65,25.90,33500,25.90
2015-03-12,26.42,26.50,25.80,25.90,20300,25.90
2015-03-11,26.06,26.20,25.30,26.20,8100,26.20
2015-03-10,25.34,25.76,25.34,25.76,11300,25.76
2015-03-09,25.50,25.61,25.49,25.55,19000,25.55
2015-03-06,25.77,26.00,25.58,25.58,6600,25.58
2015-03-05,26.00,26.00,25.69,25.83,4000,25.83
2015-03-04,25.70,25.82,25.70,25.82,1700,25.82
2015-03-03,26.11,27.28,25.60,25.66,6100,25.66
2015-03-02,26.05,26.05,26.04,26.04,3000,26.04
2015-02-27,26.04,26.04,25.50,25.52,5300,25.52
2015-02-26,25.84,25.84,25.84,25.84,000,25.84
2015-02-25,25.80,25.86,25.58,25.84,3500,25.84
2015-02-24,25.35,25.40,25.34,25.40,1100,25.40
2015-02-23,25.60,25.60,25.60,25.60,000,25.60
2015-02-20,25.55,25.60,25.55,25.60,900,25.60
2015-02-19,25.35,25.55,25.35,25.55,800,25.55
2015-02-18,25.71,25.73,25.64,25.65,1700,25.65
2015-02-17,25.50,25.53,25.47,25.47,7100,25.47
2015-02-13,25.78,25.78,25.50,25.50,900,25.50
2015-02-12,25.33,25.51,25.33,25.48,5100,25.48
2015-02-11,25.79,25.82,25.79,25.82,600,25.82
2015-02-10,25.84,25.85,25.84,25.85,600,25.42
2015-02-09,25.80,25.80,25.80,25.80,200,25.37
2015-02-06,25.70,25.70,25.51,25.51,2400,25.08
2015-02-05,25.53,25.55,25.48,25.55,1100,25.12
2015-02-04,25.54,25.54,25.54,25.54,1000,25.11
2015-02-03,25.35,25.35,25.35,25.35,2000,24.92
2015-02-02,25.38,25.38,25.38,25.38,2100,24.95
2015-01-30,25.45,25.75,25.44,25.75,700,25.32
2015-01-29,25.35,25.35,25.35,25.35,1600,24.92
2015-01-28,25.51,25.51,25.20,25.21,2400,24.79
2015-01-27,25.30,25.79,25.25,25.30,3400,24.88
2015-01-26,25.30,25.44,25.26,25.26,1900,24.84
2015-01-23,25.28,25.50,25.25,25.50,1300,25.07
2015-01-22,25.50,26.15,25.25,26.15,6500,25.71
2015-01-21,25.45,25.50,25.45,25.50,1300,25.07
2015-01-20,25.41,25.42,25.20,25.40,5200,24.97
2015-01-16,25.22,25.22,25.19,25.19,1100,24.77
2015-01-15,25.47,25.47,25.06,25.09,5400,24.67
2015-01-14,25.25,25.44,25.07,25.07,4900,24.65
2015-01-13,25.50,26.00,25.04,25.48,8600,25.05
2015-01-12,25.26,25.35,25.26,25.34,2100,24.91
2015-01-09,25.06,25.35,25.03,25.26,1500,24.84
2015-01-08,25.30,25.34,25.00,25.34,1700,24.91
2015-01-07,25.21,25.25,25.12,25.25,1200,24.83
2015-01-06,25.28,25.28,24.95,25.05,1500,24.63
2015-01-05,25.20,25.28,25.20,25.28,1500,24.86
2015-01-02,24.91,25.36,24.91,25.10,1800,24.68
