Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,3.47,3.68,3.47,3.53,7500,3.53
2014-12-01,3.42,3.42,3.42,3.42,700,3.42
2014-11-28,3.49,3.49,3.40,3.49,1800,3.49
2014-11-26,3.40,3.46,3.36,3.46,2500,3.46
2014-11-25,3.40,3.40,3.40,3.40,200,3.40
2014-11-24,3.40,3.49,3.40,3.42,900,3.42
2014-11-21,3.40,3.44,3.40,3.44,800,3.44
2014-11-20,3.40,3.49,3.36,3.46,4500,3.46
2014-11-19,3.51,3.52,3.38,3.52,3600,3.52
2014-11-18,3.42,3.53,3.42,3.47,1300,3.47
2014-11-17,3.53,3.53,3.46,3.53,500,3.53
2014-11-14,3.55,3.55,3.49,3.49,500,3.49
2014-11-13,3.40,3.55,3.40,3.49,6800,3.49
2014-11-12,3.50,3.63,3.44,3.57,3500,3.57
2014-11-11,3.48,3.64,3.46,3.50,6400,3.50
2014-11-10,3.50,3.68,3.49,3.49,1600,3.49
2014-11-07,3.40,3.68,3.39,3.56,6600,3.56
2014-11-06,3.53,3.56,3.31,3.53,25800,3.53
2014-11-05,3.52,3.68,3.52,3.68,800,3.68
2014-11-04,3.65,3.65,3.65,3.65,000,3.65
2014-11-03,3.65,3.65,3.65,3.65,400,3.65
2014-10-31,3.50,3.69,3.50,3.64,7800,3.64
2014-10-30,3.30,3.68,3.30,3.49,12300,3.49
2014-10-29,3.55,3.55,3.55,3.55,000,3.55
2014-10-28,3.55,3.55,3.55,3.55,000,3.55
2014-10-27,3.61,3.61,3.45,3.55,2100,3.55
2014-10-24,3.60,3.62,3.40,3.53,600,3.53
2014-10-23,3.62,3.62,3.62,3.62,000,3.62
2014-10-22,3.62,3.62,3.62,3.62,000,3.62
2014-10-21,3.62,3.62,3.62,3.62,100,3.62
2014-10-20,3.32,3.63,3.30,3.55,1600,3.55
2014-10-17,3.66,3.66,3.66,3.66,000,3.66
2014-10-16,3.66,3.66,3.66,3.66,000,3.66
2014-10-15,3.37,3.66,3.37,3.66,1700,3.66
2014-10-14,3.40,3.64,3.40,3.64,400,3.64
2014-10-13,3.16,3.40,3.16,3.40,600,3.40
2014-10-10,3.40,3.68,3.24,3.34,1000,3.34
2014-10-09,3.00,3.28,2.56,3.14,7000,3.14
2014-10-08,3.42,3.51,3.38,3.51,2500,3.51
2014-10-07,3.68,3.68,3.68,3.68,000,3.68
2014-10-06,3.68,3.68,3.68,3.68,000,3.68
2014-10-03,3.68,3.68,3.68,3.68,000,3.68
2014-10-02,3.68,3.68,3.68,3.68,200,3.68
2014-10-01,3.51,3.59,3.48,3.59,1600,3.59
2014-09-30,3.69,3.69,3.69,3.69,000,3.69
2014-09-29,3.69,3.69,3.69,3.69,000,3.69
2014-09-26,3.69,3.69,3.69,3.69,000,3.69
2014-09-25,3.69,3.69,3.69,3.69,000,3.69
2014-09-24,3.69,3.69,3.69,3.69,200,3.69
2014-09-23,3.63,3.70,3.55,3.55,3400,3.55
2014-09-22,3.70,3.70,3.70,3.70,200,3.70
2014-09-19,3.58,3.70,3.58,3.70,2700,3.70
2014-09-18,3.60,3.60,3.60,3.60,000,3.60
2014-09-17,3.60,3.60,3.60,3.60,200,3.60
2014-09-16,3.58,3.63,3.58,3.63,400,3.63
2014-09-15,3.67,3.67,3.56,3.60,600,3.60
2014-09-12,3.56,3.68,3.55,3.59,3000,3.59
2014-09-11,3.65,3.65,3.65,3.65,500,3.65
2014-09-10,3.77,3.77,3.77,3.77,000,3.77
2014-09-09,3.77,3.77,3.77,3.77,000,3.77
2014-09-08,3.77,3.77,3.77,3.77,000,3.77
2014-09-05,3.77,3.77,3.77,3.77,000,3.77
2014-09-04,3.65,3.77,3.65,3.77,400,3.77
2014-09-03,3.65,3.86,3.65,3.81,1500,3.81
2014-09-02,3.88,3.88,3.88,3.88,000,3.88
2014-08-29,3.79,3.88,3.79,3.88,1100,3.88
2014-08-28,3.84,3.84,3.61,3.61,400,3.61
2014-08-27,3.68,3.80,3.68,3.74,500,3.74
2014-08-26,3.87,3.87,3.68,3.68,300,3.68
2014-08-25,3.79,3.83,3.56,3.81,2100,3.81
2014-08-22,3.88,3.88,3.88,3.88,200,3.88
2014-08-21,3.92,3.92,3.92,3.92,000,3.92
2014-08-20,3.92,3.92,3.92,3.92,000,3.92
2014-08-19,3.92,3.92,3.92,3.92,000,3.92
2014-08-18,3.92,3.92,3.92,3.92,200,3.92
2014-08-15,3.95,4.01,3.82,4.01,3100,4.01
2014-08-14,3.95,4.02,3.90,3.96,2600,3.96
2014-08-13,3.90,4.00,3.90,4.00,500,4.00
2014-08-12,3.93,4.03,3.90,3.93,19800,3.93
2014-08-11,4.00,4.00,4.00,4.00,500,4.00
2014-08-08,4.03,4.09,3.90,3.90,1700,3.90
2014-08-07,3.94,4.03,3.91,4.03,1500,4.03
2014-08-06,4.00,4.10,3.90,4.05,4000,4.05
2014-08-05,3.81,3.81,3.80,3.80,600,3.80
2014-08-04,3.91,4.15,3.89,3.89,22400,3.89
2014-08-01,4.05,4.29,3.99,3.99,40400,3.99
2014-07-31,4.09,4.13,3.92,4.13,14500,4.13
2014-07-30,4.00,4.28,3.95,4.01,24500,4.01
2014-07-29,3.97,4.15,3.93,3.98,2200,3.98
2014-07-28,4.02,4.24,3.96,4.07,31700,4.07
2014-07-25,3.97,4.24,3.97,4.09,13900,4.09
2014-07-24,4.08,4.23,3.97,4.05,16400,4.05
2014-07-23,3.99,3.99,3.97,3.99,2000,3.99
2014-07-22,4.08,4.13,3.95,3.97,49600,3.97
2014-07-21,3.99,3.99,3.93,3.93,6500,3.93
2014-07-18,3.91,4.08,3.89,4.08,16100,4.08
2014-07-17,3.97,3.97,3.97,3.97,200,3.97
2014-07-16,3.92,3.99,3.92,3.99,1200,3.99
2014-07-15,3.98,3.98,3.93,3.98,1800,3.98
2014-07-14,3.86,3.97,3.86,3.97,2200,3.97
2014-07-11,3.99,3.99,3.99,3.99,000,3.99
2014-07-10,4.00,4.00,3.93,3.99,2000,3.99
2014-07-09,4.00,4.00,3.97,3.97,900,3.97
2014-07-08,3.98,4.07,3.93,4.07,3300,4.07
2014-07-07,3.93,4.05,3.93,4.00,4600,4.00
2014-07-03,4.02,4.02,4.02,4.02,200,4.02
2014-07-02,3.97,4.05,3.93,4.05,8000,4.05
2014-07-01,4.06,4.06,4.00,4.00,2000,4.00
2014-06-30,4.05,4.16,4.05,4.16,1800,4.16
2014-06-27,4.10,4.16,4.05,4.16,7500,4.16
2014-06-26,4.05,4.10,4.00,4.10,4200,4.10
2014-06-25,4.05,4.10,4.05,4.10,3900,4.10
2014-06-24,4.10,4.10,4.05,4.10,5400,4.10
2014-06-23,4.10,4.10,3.82,4.10,4300,4.10
2014-06-20,4.05,4.11,4.00,4.11,1200,4.11
2014-06-19,3.95,4.05,3.80,4.05,29300,4.05
2014-06-18,4.05,4.10,3.95,4.10,8800,4.10
2014-06-17,4.13,4.13,4.13,4.13,1100,4.13
2014-06-16,4.05,4.05,4.00,4.00,1900,4.00
2014-06-13,4.06,4.15,4.05,4.15,7600,4.15
2014-06-12,4.10,4.10,3.95,4.10,3900,4.10
2014-06-11,4.09,4.10,4.09,4.10,1100,4.10
2014-06-10,4.06,4.06,4.06,4.06,000,4.06
2014-06-09,4.05,4.10,4.04,4.06,1700,4.06
2014-06-06,4.07,4.14,4.05,4.14,1800,4.14
2014-06-05,4.15,4.15,4.15,4.15,400,4.15
2014-06-04,3.96,4.15,3.91,4.13,13500,4.13
2014-06-03,4.15,4.15,4.15,4.15,000,4.15
2014-06-02,4.11,4.15,4.05,4.15,1700,4.15
2014-05-30,4.20,4.20,4.20,4.20,000,4.20
2014-05-29,4.20,4.20,4.20,4.20,000,4.20
2014-05-28,4.20,4.20,4.20,4.20,000,4.20
2014-05-27,4.13,4.22,4.11,4.20,1300,4.20
