Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,3.12,3.30,3.05,3.25,19500,3.25
2014-12-30,2.61,3.15,2.61,3.01,41100,3.01
2014-12-29,2.71,2.75,2.61,2.72,5500,2.72
2014-12-26,2.64,2.72,2.50,2.54,20800,2.54
2014-12-25,2.64,2.64,2.64,2.64,000,2.64
2014-12-24,2.65,2.67,2.62,2.64,5400,2.64
2014-12-23,2.68,2.68,2.63,2.66,4300,2.66
2014-12-22,2.71,2.72,2.69,2.70,6400,2.70
2014-12-19,2.70,2.70,2.60,2.61,3500,2.61
2014-12-18,2.62,2.67,2.62,2.66,3300,2.66
2014-12-17,2.53,2.68,2.53,2.62,1800,2.62
2014-12-16,2.49,2.68,2.44,2.53,10400,2.53
2014-12-15,2.48,2.53,2.44,2.48,1900,2.48
2014-12-12,2.48,2.57,2.48,2.52,6300,2.52
2014-12-11,2.52,2.52,2.44,2.48,8700,2.48
2014-12-10,2.55,2.61,2.54,2.54,7100,2.54
2014-12-09,2.53,2.65,2.52,2.58,14600,2.58
2014-12-08,2.65,2.65,2.53,2.59,17500,2.59
2014-12-05,2.69,2.74,2.65,2.67,4700,2.67
2014-12-04,2.70,2.85,2.65,2.72,16600,2.72
2014-12-03,2.72,2.80,2.70,2.70,29100,2.70
2014-12-02,2.87,2.88,2.75,2.76,2400,2.76
2014-12-01,2.97,2.97,2.64,2.78,40400,2.78
2014-11-28,2.91,2.98,2.91,2.98,1000,2.98
2014-11-27,2.98,2.98,2.98,2.98,000,2.98
2014-11-26,2.95,3.00,2.95,2.98,11400,2.98
2014-11-25,3.06,3.06,2.95,3.03,19400,3.03
2014-11-24,3.06,3.11,3.05,3.06,17000,3.06
2014-11-21,3.20,3.20,3.09,3.10,14500,3.10
2014-11-20,3.24,3.30,3.15,3.30,10000,3.30
2014-11-19,3.15,3.20,3.15,3.17,9500,3.17
2014-11-18,3.10,3.24,3.10,3.15,7000,3.15
2014-11-17,3.17,3.22,3.05,3.22,28400,3.22
2014-11-14,3.15,3.23,3.15,3.23,4300,3.23
2014-11-13,3.20,3.20,3.15,3.15,3800,3.15
2014-11-12,3.17,3.24,3.15,3.16,8300,3.16
2014-11-11,3.19,3.28,3.19,3.22,4600,3.22
2014-11-10,3.33,3.33,3.17,3.23,21200,3.23
2014-11-07,3.23,3.33,3.20,3.33,9100,3.33
2014-11-06,3.22,3.30,3.20,3.25,3400,3.25
2014-11-05,3.19,3.19,3.19,3.19,400,3.19
2014-11-04,3.22,3.31,3.21,3.21,10200,3.21
2014-11-03,3.33,3.33,3.19,3.32,18800,3.32
2014-10-31,3.24,3.33,3.24,3.33,22600,3.33
2014-10-30,3.18,3.22,3.16,3.18,800,3.18
2014-10-29,3.18,3.22,3.15,3.18,18300,3.18
2014-10-28,3.14,3.28,3.12,3.19,11200,3.19
2014-10-27,3.10,3.23,3.10,3.12,16800,3.12
2014-10-24,3.18,3.26,3.10,3.10,41200,3.10
2014-10-23,3.11,3.15,3.07,3.10,129200,3.10
2014-10-22,3.28,3.28,3.08,3.10,336100,3.10
2014-10-21,2.84,3.24,2.84,3.20,30300,3.20
2014-10-20,2.98,3.02,2.72,2.79,36100,2.79
2014-10-17,2.97,2.99,2.88,2.88,7100,2.88
2014-10-16,2.73,2.97,2.72,2.97,8000,2.97
2014-10-15,2.82,2.98,2.57,2.79,32300,2.79
2014-10-14,3.10,3.10,2.83,2.86,3800,2.86
2014-10-13,3.00,3.01,2.80,2.95,20900,2.95
2014-10-10,3.07,3.20,3.02,3.02,27300,3.02
2014-10-09,3.35,3.36,3.12,3.12,41100,3.12
2014-10-08,3.31,3.35,3.26,3.35,9800,3.35
2014-10-07,3.42,3.50,3.41,3.41,53200,3.41
2014-10-06,3.34,3.58,3.34,3.44,7800,3.44
2014-10-03,3.34,3.45,3.28,3.45,16800,3.45
2014-10-02,3.30,3.37,3.30,3.30,13400,3.30
2014-10-01,3.34,3.36,3.25,3.35,9600,3.35
2014-09-30,3.30,3.36,3.25,3.25,34600,3.25
2014-09-29,3.41,3.42,3.30,3.31,1200,3.31
2014-09-26,3.30,3.48,3.30,3.34,21500,3.34
2014-09-25,3.52,3.57,3.33,3.45,15300,3.45
2014-09-24,3.43,3.54,3.35,3.49,15000,3.49
2014-09-23,3.60,3.60,3.43,3.43,16200,3.43
2014-09-22,3.61,3.73,3.45,3.53,71000,3.53
2014-09-19,3.53,3.63,3.46,3.63,16100,3.63
2014-09-18,3.36,3.56,3.36,3.48,6300,3.48
2014-09-17,3.45,3.51,3.34,3.36,8300,3.36
2014-09-16,3.35,3.49,3.35,3.40,2800,3.40
2014-09-15,3.45,3.56,3.30,3.33,7700,3.33
2014-09-12,3.50,3.56,3.30,3.31,41000,3.31
2014-09-11,3.50,3.50,3.38,3.46,9900,3.46
2014-09-10,3.45,3.50,3.40,3.50,10000,3.50
2014-09-09,3.47,3.50,3.25,3.45,8700,3.45
2014-09-08,3.45,3.46,3.45,3.45,3800,3.45
2014-09-05,3.25,3.50,3.25,3.45,38700,3.45
2014-09-04,3.28,3.35,3.25,3.26,13000,3.26
2014-09-03,3.36,3.47,3.30,3.31,18200,3.31
2014-09-02,3.36,3.47,3.35,3.36,8500,3.36
2014-09-01,3.37,3.37,3.37,3.37,000,3.37
2014-08-29,3.43,3.45,3.35,3.37,14000,3.37
2014-08-28,3.42,3.46,3.37,3.38,8600,3.38
2014-08-27,3.40,3.45,3.37,3.38,5100,3.38
2014-08-26,3.50,3.52,3.40,3.44,12800,3.44
2014-08-25,3.45,3.50,3.40,3.49,8200,3.49
2014-08-22,3.52,3.60,3.35,3.38,7500,3.38
2014-08-21,3.46,3.57,3.36,3.41,19300,3.41
2014-08-20,3.47,3.47,3.35,3.39,11200,3.39
2014-08-19,3.46,3.57,3.39,3.39,26700,3.39
2014-08-18,3.61,3.61,3.39,3.42,23500,3.42
2014-08-15,3.69,3.69,3.40,3.56,53300,3.56
2014-08-14,3.58,3.85,3.50,3.55,75100,3.55
2014-08-13,3.20,3.83,3.20,3.61,192300,3.61
2014-08-12,3.27,3.27,3.16,3.20,5900,3.20
2014-08-11,3.18,3.29,3.18,3.29,4800,3.29
2014-08-08,3.25,3.30,3.22,3.27,16500,3.27
2014-08-07,3.27,3.27,3.10,3.17,1000,3.17
2014-08-06,3.18,3.30,3.07,3.10,9600,3.10
2014-08-05,3.27,3.34,3.17,3.26,5500,3.26
2014-08-04,3.40,3.42,3.20,3.22,15900,3.22
2014-08-01,3.40,3.46,3.25,3.40,3200,3.40
2014-07-31,3.33,3.57,3.20,3.30,9900,3.30
2014-07-30,3.41,3.80,3.12,3.28,97100,3.28
2014-07-29,3.10,3.33,3.07,3.21,45700,3.21
2014-07-28,3.09,3.28,3.07,3.07,4100,3.07
2014-07-25,3.20,3.26,3.20,3.26,1500,3.26
2014-07-24,3.17,3.41,3.04,3.04,1400,3.04
2014-07-23,3.03,3.28,3.00,3.08,22400,3.08
2014-07-22,2.94,3.10,2.92,2.96,10100,2.96
2014-07-21,3.00,3.16,3.00,3.01,51500,3.01
