Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,10.00,10.00,10.00,10.00,000,10.00
2014-12-30,10.00,10.00,10.00,10.00,000,10.00
2014-12-29,10.03,10.03,10.00,10.00,400,10.00
2014-12-26,10.06,10.06,10.06,10.06,000,10.06
2014-12-24,0.32,0.32,0.32,0.32,000,0.32
2014-12-23,10.06,10.06,10.06,10.06,000,10.06
2014-12-22,10.06,10.06,10.06,10.06,000,10.06
2014-12-19,10.06,10.06,10.06,10.06,000,10.06
2014-12-18,10.06,10.06,10.06,10.06,000,10.06
2014-12-17,10.06,10.06,10.06,10.06,000,10.06
2014-12-16,10.06,10.06,10.06,10.06,000,10.06
2014-12-15,10.06,10.06,10.06,10.06,000,10.06
2014-12-12,10.06,10.06,10.06,10.06,000,10.06
2014-12-11,10.06,10.06,10.06,10.06,000,10.06
2014-12-10,10.06,10.06,10.06,10.06,000,10.06
2014-12-09,10.06,10.06,10.06,10.06,000,10.06
2014-12-08,10.06,10.06,10.06,10.06,000,10.06
2014-12-05,10.06,10.06,10.06,10.06,000,10.06
2014-12-04,10.06,10.06,10.06,10.06,000,10.06
2014-12-03,10.06,10.06,10.06,10.06,000,10.06
2014-12-02,10.06,10.06,10.06,10.06,000,10.06
2014-12-01,10.06,10.06,10.06,10.06,000,10.06
2014-11-28,10.06,10.06,10.06,10.06,000,10.06
2014-11-26,10.06,10.06,10.06,10.06,000,10.06
2014-11-25,10.06,10.06,10.06,10.06,000,10.06
2014-11-24,10.06,10.06,10.06,10.06,000,10.06
2014-11-21,10.06,10.06,10.06,10.06,000,10.06
2014-11-20,10.06,10.06,10.06,10.06,000,10.06
2014-11-19,10.06,10.06,10.06,10.06,000,10.06
2014-11-18,10.06,10.06,10.06,10.06,000,10.06
2014-11-17,10.06,10.06,10.06,10.06,000,10.06
2014-11-14,10.06,10.06,10.06,10.06,000,10.06
2014-11-13,10.06,10.06,10.06,10.06,000,10.06
2014-11-12,10.06,10.06,10.06,10.06,000,10.06
2014-11-11,10.06,10.06,10.06,10.06,000,10.06
2014-11-10,10.06,10.06,10.06,10.06,000,10.06
2014-11-07,10.06,10.06,10.06,10.06,000,10.06
2014-11-06,10.06,10.06,10.06,10.06,000,10.06
2014-11-05,10.06,10.06,10.06,10.06,000,10.06
2014-11-04,10.06,10.06,10.06,10.06,000,10.06
2014-11-03,10.06,10.06,10.06,10.06,100,10.06
2014-10-31,10.00,10.00,10.00,10.00,000,10.00
2014-10-30,10.00,10.00,10.00,10.00,000,10.00
2014-10-29,10.00,10.00,10.00,10.00,000,10.00
2014-10-28,10.00,10.00,10.00,10.00,400,10.00
2014-10-27,10.05,10.45,10.05,10.45,1100,10.45
2014-10-24,10.55,10.55,10.55,10.55,000,10.55
2014-10-23,10.55,10.55,10.55,10.55,000,10.55
2014-10-22,10.55,10.55,10.55,10.55,000,10.55
2014-10-21,10.55,10.55,10.55,10.55,000,10.55
2014-10-20,10.55,10.55,10.55,10.55,000,10.55
2014-10-17,10.55,10.55,10.55,10.55,000,10.55
2014-10-16,10.55,10.55,10.55,10.55,000,10.55
2014-10-15,10.55,10.55,10.55,10.55,000,10.55
2014-10-14,10.55,10.55,10.55,10.55,000,10.55
2014-10-13,10.55,10.55,10.55,10.55,000,10.55
2014-10-10,10.55,10.55,10.55,10.55,000,10.55
2014-10-09,10.55,10.55,10.55,10.55,000,10.55
2014-10-08,10.55,10.55,10.55,10.55,000,10.55
2014-10-07,10.55,10.55,10.55,10.55,000,10.55
2014-10-06,10.55,10.55,10.55,10.55,000,10.55
2014-10-03,10.55,10.55,10.55,10.55,800,10.55
2014-10-02,10.55,10.55,10.55,10.55,000,10.55
2014-10-01,10.55,10.55,10.55,10.55,000,10.55
2014-09-30,10.55,10.55,10.55,10.55,000,10.55
2014-09-29,10.55,10.55,10.35,10.55,500,10.55
2014-09-26,10.25,10.25,10.25,10.25,000,10.25
2014-09-25,10.25,10.25,10.25,10.25,000,10.25
2014-09-24,10.25,10.25,10.25,10.25,000,10.25
2014-09-23,10.25,10.25,10.25,10.25,000,10.25
2014-09-22,10.25,10.25,10.25,10.25,000,10.25
2014-09-19,10.25,10.25,10.25,10.25,000,10.25
2014-09-18,10.25,10.25,10.25,10.25,000,10.25
2014-09-17,10.25,10.25,10.25,10.25,000,10.25
2014-09-16,10.25,10.25,10.25,10.25,000,10.25
2014-09-15,10.25,10.25,10.25,10.25,000,10.25
2014-09-12,10.25,10.25,10.25,10.25,000,10.25
2014-09-11,10.25,10.25,10.25,10.25,000,10.25
2014-09-10,10.25,10.25,10.25,10.25,000,10.25
2014-09-09,10.25,10.25,10.25,10.25,000,10.25
2014-09-08,10.25,10.25,10.25,10.25,000,10.25
2014-09-05,10.25,10.25,10.25,10.25,000,10.25
2014-09-04,10.25,10.25,10.25,10.25,000,10.25
2014-09-03,10.25,10.25,10.25,10.25,000,10.25
2014-09-02,10.25,10.25,10.25,10.25,000,10.25
2014-08-29,10.25,10.25,10.25,10.25,1000,10.25
2014-08-28,10.50,10.50,10.50,10.50,000,10.50
2014-08-27,10.50,10.50,10.50,10.50,000,10.50
2014-08-26,10.50,10.50,10.50,10.50,000,10.50
2014-08-25,10.50,10.50,10.50,10.50,000,10.50
2014-08-22,10.50,10.50,10.50,10.50,000,10.50
2014-08-21,10.50,10.50,10.50,10.50,000,10.50
2014-08-20,10.50,10.50,10.50,10.50,000,10.50
2014-08-19,10.50,10.50,10.50,10.50,000,10.50
2014-08-18,10.50,10.50,10.50,10.50,000,10.50
2014-08-15,10.50,10.50,10.50,10.50,000,10.50
2014-08-14,10.50,10.50,10.50,10.50,000,10.50
2014-08-13,10.50,10.50,10.50,10.50,000,10.50
2014-08-12,10.50,10.50,10.50,10.50,000,10.50
2014-08-11,10.50,10.50,10.50,10.50,000,10.50
2014-08-08,10.50,10.50,10.50,10.50,000,10.50
2014-08-07,10.50,10.50,10.50,10.50,000,10.50
2014-08-06,10.50,10.50,10.50,10.50,000,10.50
2014-08-05,10.50,10.50,10.50,10.50,000,10.50
2014-08-04,10.50,10.50,10.50,10.50,000,10.50
2014-08-01,10.50,10.50,10.50,10.50,000,10.50
2014-07-31,10.50,10.50,10.50,10.50,000,10.50
2014-07-30,10.50,10.50,10.50,10.50,000,10.50
2014-07-29,10.50,10.50,10.50,10.50,000,10.50
2014-07-28,10.50,10.50,10.50,10.50,000,10.50
2014-07-25,10.50,10.50,10.50,10.50,000,10.50
2014-07-24,10.59,10.59,10.50,10.50,1400,10.50
2014-07-23,10.65,10.65,10.65,10.65,000,10.65
2014-07-22,10.65,10.65,10.65,10.65,000,10.65
2014-07-21,10.65,10.65,10.65,10.65,000,10.65
2014-07-18,10.65,10.65,10.65,10.65,000,10.65
2014-07-17,10.59,10.65,10.59,10.65,300,10.65
2014-07-16,10.50,10.50,10.50,10.50,000,10.50
2014-07-15,10.50,10.50,10.50,10.50,200,10.50
2014-07-14,10.47,10.48,10.47,10.47,400,10.47
2014-07-11,10.51,10.51,10.51,10.51,000,10.51
2014-07-10,10.51,10.51,10.51,10.51,000,10.51
2014-07-09,10.51,10.51,10.51,10.51,000,10.51
2014-07-08,10.51,10.51,10.51,10.51,000,10.51
2014-07-07,10.51,10.51,10.51,10.51,000,10.51
2014-07-03,10.51,10.51,10.51,10.51,000,10.51
2014-07-02,10.51,10.51,10.51,10.51,000,10.51
2014-07-01,10.51,10.51,10.51,10.51,000,10.51
2014-06-30,10.51,10.51,10.51,10.51,000,10.51
2014-06-27,10.51,10.51,10.51,10.51,000,10.51
2014-06-26,10.50,10.51,10.50,10.51,900,10.51
2014-06-25,10.50,10.50,10.50,10.50,000,10.50
2014-06-24,10.50,10.50,10.50,10.50,000,10.50
2014-06-23,10.50,10.50,10.50,10.50,000,10.50
2014-06-20,10.50,10.50,10.50,10.50,000,10.50
2014-06-19,10.50,10.50,10.50,10.50,000,10.50
2014-06-18,10.50,10.50,10.50,10.50,000,10.50
2014-06-17,10.50,10.50,10.50,10.50,000,10.50
2014-06-16,10.50,10.50,10.50,10.50,000,10.50
2014-06-13,10.50,10.50,10.50,10.50,000,10.50
2014-06-12,10.50,10.50,10.50,10.50,000,10.50
2014-06-11,10.50,10.50,10.50,10.50,000,10.50
2014-06-10,10.47,10.50,10.45,10.50,2500,10.50
2014-06-09,10.40,10.40,10.40,10.40,000,10.40
2014-06-06,10.40,10.40,10.40,10.40,3100,10.40
2014-06-05,10.58,10.58,10.58,10.58,000,10.58
2014-06-04,10.58,10.58,10.58,10.58,000,10.58
2014-06-03,10.58,10.58,10.58,10.58,000,10.58
2014-06-02,10.58,10.58,10.58,10.58,000,10.58
2014-05-30,10.58,10.58,10.58,10.58,000,10.58
