Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,12.69,13.12,12.55,12.90,379000,12.90
2015-04-07,12.67,12.91,12.64,12.64,478200,12.64
2015-04-06,12.68,12.95,12.66,12.71,275700,12.71
2015-04-02,12.43,12.82,12.36,12.77,482300,12.77
2015-04-01,12.68,12.77,12.26,12.43,910900,12.43
2015-03-31,13.22,13.38,12.46,12.68,1647900,12.68
2015-03-30,13.36,13.44,13.13,13.29,302800,13.29
2015-03-27,13.21,13.43,13.19,13.28,262100,13.28
2015-03-26,13.11,13.49,12.98,13.24,278100,13.24
2015-03-25,13.74,14.40,13.07,13.14,427600,13.14
2015-03-24,14.11,14.30,13.58,13.71,283700,13.71
2015-03-23,14.22,14.44,14.08,14.10,238500,14.10
2015-03-20,14.16,14.33,14.00,14.26,316900,14.26
2015-03-19,13.79,14.13,13.76,14.11,211800,14.11
2015-03-18,13.69,13.93,13.60,13.85,364200,13.85
2015-03-17,13.55,13.91,13.41,13.76,295300,13.76
2015-03-16,13.31,13.67,13.20,13.63,481800,13.63
2015-03-13,13.32,13.50,13.08,13.28,359100,13.28
2015-03-12,13.21,13.40,13.06,13.38,325500,13.38
2015-03-11,13.16,13.31,13.03,13.13,362200,13.13
2015-03-10,13.30,13.44,13.08,13.12,534500,13.12
2015-03-09,13.13,13.57,13.13,13.49,394200,13.49
2015-03-06,13.93,13.96,13.04,13.15,848600,13.15
2015-03-05,13.88,14.25,13.52,13.76,3233500,13.76
2015-03-04,13.57,14.25,13.39,13.77,395100,13.77
2015-03-03,13.88,14.00,13.29,13.74,753500,13.74
2015-03-02,14.26,14.46,14.25,14.42,239600,14.42
2015-02-27,14.46,14.52,14.24,14.29,256200,14.29
2015-02-26,14.54,14.73,14.42,14.52,193600,14.52
2015-02-25,14.51,14.65,14.39,14.52,111100,14.52
2015-02-24,14.19,14.49,14.13,14.48,217400,14.48
2015-02-23,14.33,14.39,13.83,14.17,303000,14.17
2015-02-20,14.31,14.56,13.35,14.33,968300,14.33
2015-02-19,14.75,14.95,14.29,14.30,364500,14.30
2015-02-18,14.75,14.89,14.75,14.81,237000,14.81
2015-02-17,14.94,14.99,14.72,14.78,301300,14.78
2015-02-13,14.89,15.03,14.75,14.95,261200,14.95
2015-02-12,15.22,15.22,14.82,14.92,219200,14.92
2015-02-11,15.34,15.43,15.01,15.08,230100,15.08
2015-02-10,15.62,15.72,15.32,15.43,291900,15.43
2015-02-09,16.11,16.19,15.48,15.55,440900,15.55
2015-02-06,16.62,16.95,15.40,16.24,631700,16.24
2015-02-05,15.91,16.33,15.83,15.97,332100,15.97
2015-02-04,15.83,16.24,15.58,15.89,264100,15.89
2015-02-03,15.75,16.02,15.54,15.85,384800,15.85
2015-02-02,15.23,15.87,14.73,15.80,391800,15.80
2015-01-30,15.13,15.44,14.88,14.95,241300,14.95
2015-01-29,15.00,15.31,14.76,15.26,217000,15.26
2015-01-28,15.30,15.45,14.89,14.96,324900,14.96
2015-01-27,14.98,15.43,14.80,15.15,323100,15.15
2015-01-26,15.12,15.46,14.89,15.29,302000,15.29
2015-01-23,15.13,15.74,15.13,15.17,395700,15.17
2015-01-22,14.98,15.19,14.53,15.18,296200,15.18
2015-01-21,15.16,15.21,14.59,14.86,354400,14.86
2015-01-20,14.87,15.30,14.79,15.15,334900,15.15
2015-01-16,14.57,15.02,14.53,14.82,300200,14.82
2015-01-15,15.01,15.01,14.55,14.61,246200,14.61
2015-01-14,14.91,15.15,14.80,15.03,133100,15.03
2015-01-13,15.11,15.54,14.79,15.12,201200,15.12
2015-01-12,15.25,15.26,14.85,14.97,310100,14.97
2015-01-09,15.58,15.64,15.19,15.29,197800,15.29
2015-01-08,15.40,15.75,15.34,15.61,218700,15.61
2015-01-07,15.35,15.54,15.16,15.29,166100,15.29
2015-01-06,15.55,15.55,15.01,15.21,322800,15.21
2015-01-05,15.85,16.01,15.41,15.52,252200,15.52
2015-01-02,16.32,16.51,15.68,15.91,342200,15.91
