Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,2.89,2.90,2.77,2.90,3400,2.90
2015-04-07,2.87,2.92,2.87,2.92,1700,2.92
2015-04-06,2.88,2.88,2.87,2.87,1600,2.87
2015-04-02,2.82,2.84,2.82,2.84,9500,2.84
2015-04-01,2.90,2.92,2.87,2.92,18300,2.92
2015-03-31,2.85,3.00,2.85,2.97,65300,2.97
2015-03-30,3.03,3.05,2.80,2.81,29800,2.81
2015-03-27,2.90,3.05,2.50,3.03,39800,3.03
2015-03-26,2.96,3.04,2.91,2.95,15800,2.95
2015-03-25,3.05,3.05,2.92,2.95,3800,2.95
2015-03-24,2.92,3.23,2.92,3.15,7700,3.15
2015-03-23,3.05,3.23,3.05,3.17,6800,3.17
2015-03-20,3.02,3.05,2.88,3.05,8200,3.05
2015-03-19,3.03,3.03,2.97,3.03,11100,3.03
2015-03-18,3.06,3.10,3.06,3.10,3200,3.10
2015-03-17,3.01,3.06,2.99,3.01,5400,3.01
2015-03-16,3.07,3.07,3.02,3.03,6400,3.03
2015-03-13,3.22,3.22,3.04,3.05,3200,3.05
2015-03-12,3.21,3.23,3.03,3.06,800,3.06
2015-03-11,3.10,3.15,2.88,3.00,20600,3.00
2015-03-10,3.18,3.18,3.10,3.11,13700,3.11
2015-03-09,3.21,3.21,3.11,3.14,18100,3.14
2015-03-06,3.15,3.24,3.15,3.21,9100,3.21
2015-03-05,3.29,3.33,3.21,3.21,5200,3.21
2015-03-04,3.19,3.25,3.17,3.24,6800,3.24
2015-03-03,3.21,3.23,3.21,3.23,400,3.23
2015-03-02,3.25,3.34,3.15,3.17,39800,3.17
2015-02-27,3.22,3.34,3.16,3.17,19300,3.17
2015-02-26,3.33,3.33,3.18,3.27,3900,3.27
2015-02-25,3.23,3.30,3.18,3.18,17400,3.18
2015-02-24,3.32,3.37,3.26,3.26,20400,3.26
2015-02-23,3.42,3.42,3.18,3.19,1400,3.19
2015-02-20,3.24,3.24,3.18,3.18,19200,3.18
2015-02-19,3.26,3.32,3.26,3.26,1400,3.26
2015-02-18,3.32,3.32,3.26,3.26,2500,3.26
2015-02-17,3.16,3.32,3.16,3.27,4300,3.27
2015-02-13,3.39,3.39,3.16,3.17,37600,3.17
2015-02-12,3.30,3.30,3.21,3.21,10000,3.21
2015-02-11,3.45,3.45,3.22,3.25,8000,3.25
2015-02-10,3.25,3.39,3.25,3.32,15000,3.32
2015-02-09,3.25,3.27,3.25,3.25,6300,3.25
2015-02-06,3.23,3.25,3.20,3.25,6800,3.25
2015-02-05,3.18,3.25,3.15,3.24,21900,3.24
2015-02-04,3.16,3.16,3.14,3.15,4000,3.15
2015-02-03,3.16,3.20,3.16,3.17,3300,3.17
2015-02-02,3.20,3.30,3.15,3.21,5300,3.21
2015-01-30,3.23,3.28,3.22,3.22,6000,3.22
2015-01-29,3.28,3.28,3.17,3.17,7600,3.17
2015-01-28,3.29,3.29,3.13,3.20,10200,3.20
2015-01-27,3.30,3.35,3.22,3.22,5400,3.22
2015-01-26,3.25,3.26,3.25,3.25,3800,3.25
2015-01-23,3.20,3.20,3.10,3.14,15800,3.14
2015-01-22,3.25,3.25,3.08,3.11,7500,3.11
2015-01-21,3.17,3.24,3.10,3.14,18800,3.14
2015-01-20,3.16,3.40,3.16,3.35,400,3.35
2015-01-16,3.44,3.44,3.14,3.14,14800,3.14
2015-01-15,3.24,3.29,3.13,3.17,16000,3.17
2015-01-14,3.24,3.26,3.20,3.22,13000,3.22
2015-01-13,3.35,3.35,3.26,3.26,13700,3.26
2015-01-12,3.31,3.50,3.28,3.41,30200,3.41
2015-01-09,3.50,3.50,3.28,3.28,1200,3.28
2015-01-08,3.39,3.39,3.24,3.37,6700,3.37
2015-01-07,3.11,3.20,3.11,3.20,4500,3.20
2015-01-06,3.14,3.16,3.00,3.16,9200,3.16
2015-01-05,3.20,3.20,3.10,3.14,12400,3.14
2015-01-02,3.12,3.22,3.11,3.15,6600,3.15
