Date,Open,High,Low,Close,Volume,Adj Close
2015-02-09,8.83,8.83,8.83,8.83,000,8.83
2015-02-06,8.81,8.84,8.78,8.83,146700,8.83
2015-02-05,8.80,8.83,8.78,8.80,28500,8.80
2015-02-04,8.75,8.82,8.74,8.77,70100,8.77
2015-02-03,8.73,8.80,8.72,8.75,68200,8.75
2015-02-02,8.75,8.75,8.72,8.74,56700,8.74
2015-01-30,8.81,8.81,8.70,8.75,273400,8.75
2015-01-29,8.80,8.83,8.79,8.80,73300,8.80
2015-01-28,8.80,8.83,8.80,8.80,85400,8.80
2015-01-27,8.80,8.82,8.79,8.81,138300,8.81
2015-01-26,8.80,8.82,8.79,8.80,59500,8.80
2015-01-23,8.77,8.83,8.77,8.80,98800,8.80
2015-01-22,8.82,8.83,8.79,8.80,139500,8.80
2015-01-21,8.83,8.85,8.81,8.83,153500,8.83
2015-01-20,8.84,8.85,8.83,8.85,62800,8.85
2015-01-19,8.84,8.84,8.84,8.84,000,8.84
2015-01-16,8.84,8.85,8.82,8.84,93800,8.84
2015-01-15,8.84,8.85,8.80,8.80,258000,8.80
2015-01-14,8.83,8.85,8.82,8.84,391300,8.84
2015-01-13,8.83,8.85,8.83,8.84,144300,8.84
2015-01-12,8.84,8.86,8.83,8.84,81800,8.84
2015-01-09,8.83,8.85,8.82,8.84,89700,8.84
2015-01-08,8.84,8.86,8.82,8.84,56500,8.84
2015-01-07,8.82,8.87,8.81,8.82,94600,8.82
2015-01-06,8.80,8.83,8.80,8.82,114000,8.82
2015-01-05,8.81,8.85,8.77,8.81,172100,8.81
2015-01-02,8.81,8.82,8.73,8.81,216400,8.81
2015-01-01,8.86,8.86,8.86,8.86,000,8.86
