Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,3.44,3.48,3.21,3.27,26500,3.27
2014-12-30,3.38,3.45,3.35,3.38,20400,3.38
2014-12-29,3.36,3.39,3.30,3.38,6600,3.38
2014-12-26,3.41,3.45,3.30,3.41,6700,3.41
2014-12-25,3.30,3.30,3.30,3.30,000,3.30
2014-12-24,3.42,3.42,3.30,3.30,4000,3.30
2014-12-23,3.40,3.46,3.30,3.35,17100,3.35
2014-12-22,3.49,3.49,3.39,3.43,11800,3.43
2014-12-19,3.50,3.57,3.41,3.47,9300,3.47
2014-12-18,3.55,3.57,3.41,3.48,5600,3.48
2014-12-17,3.52,3.75,3.43,3.51,13900,3.51
2014-12-16,3.58,3.74,3.33,3.43,31800,3.43
2014-12-15,3.84,3.84,3.55,3.59,23400,3.59
2014-12-12,3.75,3.89,3.66,3.79,24600,3.79
2014-12-11,3.84,4.00,3.70,3.95,24000,3.95
2014-12-10,3.64,4.64,3.64,3.90,262300,3.90
2014-12-09,3.52,3.92,3.52,3.79,8900,3.79
2014-12-08,3.68,3.94,3.60,3.73,16500,3.73
2014-12-05,3.66,4.00,3.62,3.67,18000,3.67
2014-12-04,4.05,4.06,3.68,3.91,20900,3.91
2014-12-03,4.08,4.11,3.87,4.00,7200,4.00
2014-12-02,4.25,4.46,4.01,4.02,52500,4.02
2014-12-01,4.02,4.02,3.87,3.94,18000,3.94
2014-11-28,4.18,4.18,3.97,3.97,14700,3.97
2014-11-27,4.08,4.08,4.08,4.08,000,4.08
2014-11-26,4.21,4.22,4.04,4.08,1900,4.08
2014-11-25,4.11,4.11,4.00,4.08,2700,4.08
2014-11-24,4.05,4.26,4.00,4.04,8700,4.04
2014-11-21,4.18,4.36,4.00,4.08,22400,4.08
2014-11-20,4.25,4.25,4.00,4.05,6900,4.05
2014-11-19,3.79,3.99,3.79,3.92,11100,3.92
2014-11-18,3.68,3.96,3.68,3.88,17000,3.88
2014-11-17,3.82,3.83,3.71,3.74,23700,3.74
2014-11-14,4.60,4.64,3.80,3.93,65300,3.93
2014-11-13,4.49,4.64,4.32,4.40,56900,4.40
2014-11-12,4.11,4.49,4.09,4.39,40800,4.39
2014-11-11,4.00,4.33,4.00,4.09,61600,4.09
2014-11-10,3.90,4.01,3.84,4.00,25600,4.00
2014-11-07,3.76,3.89,3.66,3.85,24900,3.85
2014-11-06,3.45,3.76,3.40,3.63,42500,3.63
2014-11-05,3.47,3.55,3.35,3.35,7000,3.35
2014-11-04,3.44,3.62,3.43,3.54,11200,3.54
2014-11-03,3.41,3.54,3.41,3.45,3600,3.45
2014-10-31,3.54,3.54,3.34,3.49,6100,3.49
2014-10-30,3.56,3.68,3.48,3.50,30600,3.50
2014-10-29,3.69,3.69,3.34,3.55,7600,3.55
2014-10-28,3.57,3.59,3.40,3.57,6600,3.57
2014-10-27,3.40,3.64,3.35,3.47,21700,3.47
2014-10-24,3.55,3.62,3.55,3.62,4300,3.62
2014-10-23,3.80,3.82,3.53,3.53,17100,3.53
2014-10-22,3.58,3.87,3.45,3.80,39000,3.80
2014-10-21,3.10,3.53,3.10,3.47,32300,3.47
2014-10-20,3.12,3.12,3.07,3.09,3900,3.09
2014-10-17,3.19,3.19,3.15,3.17,2000,3.17
2014-10-16,3.20,3.30,3.07,3.17,16700,3.17
2014-10-15,3.01,3.13,3.00,3.08,8400,3.08
2014-10-14,3.05,3.16,2.94,3.06,13800,3.06
2014-10-13,3.24,3.25,2.91,2.94,43200,2.94
2014-10-10,3.55,3.55,3.20,3.22,27400,3.22
2014-10-09,3.70,3.70,3.52,3.58,17600,3.58
2014-10-08,3.79,3.80,3.70,3.71,18000,3.71
2014-10-07,3.94,4.01,3.81,3.81,9500,3.81
2014-10-06,4.00,4.04,3.93,3.94,11600,3.94
2014-10-03,4.03,4.03,4.00,4.03,2900,4.03
2014-10-02,4.00,4.01,3.90,3.99,8500,3.99
2014-10-01,4.00,4.07,3.95,3.96,14700,3.96
2014-09-30,4.06,4.17,4.01,4.07,12800,4.07
2014-09-29,4.19,4.21,4.09,4.14,10500,4.14
2014-09-26,4.19,4.23,4.13,4.18,7800,4.18
2014-09-25,4.08,4.16,4.00,4.10,30400,4.10
2014-09-24,4.03,4.09,3.97,4.08,14700,4.08
2014-09-23,4.09,4.12,4.02,4.03,12700,4.03
2014-09-22,4.26,4.30,4.10,4.10,27100,4.10
2014-09-19,4.31,4.36,4.20,4.30,13400,4.30
2014-09-18,4.47,4.47,4.22,4.37,59400,4.37
2014-09-17,4.55,4.55,4.43,4.45,7300,4.45
2014-09-16,4.44,4.57,4.39,4.50,21700,4.50
2014-09-15,4.63,4.65,4.41,4.43,50000,4.43
2014-09-12,4.78,4.83,4.66,4.69,25800,4.69
2014-09-11,4.87,4.88,4.65,4.78,46100,4.78
2014-09-10,4.87,4.97,4.86,4.87,10400,4.87
2014-09-09,5.00,5.07,4.88,4.92,31200,4.92
2014-09-08,4.99,5.06,4.99,5.00,7200,5.00
2014-09-05,4.95,5.11,4.95,4.95,3900,4.95
2014-09-04,5.07,5.10,4.92,4.95,16400,4.95
2014-09-03,5.15,5.15,5.02,5.07,14300,5.07
2014-09-02,5.11,5.17,5.04,5.14,15200,5.14
2014-09-01,5.11,5.11,5.11,5.11,000,5.11
2014-08-29,5.00,5.11,4.96,5.11,6400,5.11
2014-08-28,5.20,5.20,4.98,5.10,11400,5.10
2014-08-27,4.99,5.18,4.96,5.17,52500,5.17
2014-08-26,4.88,4.98,4.85,4.96,11600,4.96
2014-08-25,4.94,4.98,4.88,4.88,30100,4.88
2014-08-22,4.83,4.97,4.80,4.87,38100,4.87
2014-08-21,4.85,4.98,4.80,4.87,48800,4.87
2014-08-20,4.82,5.00,4.80,4.85,34800,4.85
2014-08-19,5.10,5.19,4.90,4.90,33500,4.90
2014-08-18,5.05,5.09,5.00,5.04,18700,5.04
2014-08-15,5.00,5.11,4.75,5.01,125700,5.01
2014-08-14,5.54,5.54,4.90,5.10,153900,5.10
2014-08-13,5.60,5.70,5.50,5.50,38500,5.50
2014-08-12,5.51,5.57,5.41,5.56,19200,5.56
2014-08-11,5.50,5.62,5.44,5.53,15200,5.53
2014-08-08,5.37,5.62,5.32,5.50,44900,5.50
2014-08-07,5.34,5.50,5.34,5.38,12700,5.38
2014-08-06,5.38,5.42,5.34,5.38,9500,5.38
2014-08-05,5.31,5.48,5.31,5.42,12100,5.42
2014-08-04,5.40,5.40,5.31,5.39,29400,5.39
2014-08-01,5.42,5.68,5.36,5.42,14600,5.42
2014-07-31,5.46,5.46,5.33,5.38,20500,5.38
2014-07-30,5.67,5.67,5.40,5.51,48700,5.51
2014-07-29,5.62,5.66,5.51,5.60,9200,5.60
2014-07-28,5.66,5.67,5.46,5.56,13700,5.56
2014-07-25,5.67,5.70,5.55,5.61,8300,5.61
2014-07-24,5.75,5.78,5.58,5.62,28800,5.62
2014-07-23,5.78,5.80,5.70,5.76,36500,5.76
2014-07-22,5.58,5.80,5.58,5.72,63200,5.72
2014-07-21,5.47,5.57,5.42,5.55,42400,5.55
2014-07-18,5.46,5.47,5.42,5.46,8500,5.46
2014-07-17,5.58,5.58,5.40,5.40,25100,5.40
2014-07-16,5.37,5.43,5.33,5.38,11700,5.38
2014-07-15,5.49,5.63,5.28,5.36,92000,5.36
2014-07-14,5.40,5.51,5.30,5.46,51200,5.46
2014-07-11,5.48,5.48,5.36,5.41,16500,5.41
2014-07-10,5.37,5.52,5.37,5.46,16500,5.46
2014-07-09,5.52,5.52,5.40,5.42,40000,5.42
2014-07-08,5.47,5.54,5.40,5.48,11300,5.48
2014-07-07,5.53,5.66,5.50,5.60,15400,5.60
2014-07-04,5.54,5.54,5.54,5.54,000,5.54
2014-07-03,5.50,5.67,5.44,5.54,4500,5.54
2014-07-02,5.59,5.70,5.48,5.51,44400,5.51
2014-07-01,5.51,5.63,5.49,5.57,15700,5.57
2014-06-30,5.47,5.50,5.40,5.46,8500,5.46
2014-06-27,5.40,5.54,5.40,5.47,15600,5.47
2014-06-26,5.48,5.51,5.36,5.44,20100,5.44
2014-06-25,5.45,5.61,5.45,5.46,16300,5.46
2014-06-24,5.74,5.78,5.38,5.44,97300,5.44
2014-06-23,5.75,5.80,5.72,5.79,18400,5.79
2014-06-20,5.76,5.83,5.70,5.72,14500,5.72
2014-06-19,5.85,5.85,5.68,5.81,14500,5.81
2014-06-18,5.79,5.80,5.55,5.80,31300,5.80
2014-06-17,5.80,5.85,5.78,5.82,19900,5.82
2014-06-16,5.74,5.80,5.59,5.79,32300,5.79
2014-06-13,5.63,5.75,5.56,5.71,27700,5.71
2014-06-12,5.73,5.94,5.67,5.67,121200,5.67
2014-06-11,5.63,5.75,5.53,5.75,81700,5.75
2014-06-10,5.50,5.68,5.42,5.59,80700,5.59
2014-06-09,5.39,5.45,5.36,5.41,31200,5.41
2014-06-06,5.41,5.45,5.33,5.39,23100,5.39
2014-06-05,5.45,5.47,5.28,5.41,54400,5.41
2014-06-04,5.54,5.65,5.32,5.40,70300,5.40
2014-06-03,5.22,5.42,5.22,5.33,42400,5.33
2014-06-02,5.38,5.43,5.30,5.41,13800,5.41
2014-05-30,5.34,5.52,5.34,5.38,49800,5.38
2014-05-29,5.35,5.41,5.27,5.40,27300,5.40
2014-05-28,5.26,5.41,5.26,5.36,30000,5.36
2014-05-27,5.34,5.44,5.28,5.36,11100,5.36
2014-05-26,5.33,5.33,5.33,5.33,000,5.33
2014-05-23,5.40,5.41,5.31,5.33,12600,5.33
2014-05-22,5.37,5.45,5.34,5.38,16100,5.38
2014-05-21,5.29,5.45,5.25,5.41,8800,5.41
2014-05-20,5.37,5.39,5.23,5.25,40600,5.25
2014-05-19,5.45,5.46,5.30,5.44,30700,5.44
2014-05-16,5.61,5.73,5.29,5.43,65100,5.43
2014-05-15,5.87,6.02,5.51,5.58,189200,5.58
2014-05-14,5.48,5.59,5.40,5.55,49300,5.55
2014-05-13,5.56,5.56,5.35,5.49,20800,5.49
2014-05-12,5.35,5.60,5.35,5.53,25500,5.53
2014-05-09,5.32,5.40,5.25,5.35,6100,5.35
2014-05-08,5.21,5.43,5.21,5.33,10400,5.33
2014-05-07,5.39,5.39,5.23,5.26,26000,5.26
2014-05-06,5.46,5.54,5.34,5.40,10600,5.40
2014-05-05,5.50,5.50,5.35,5.48,16900,5.48
2014-05-02,5.35,5.49,5.28,5.46,12400,5.46
2014-05-01,5.37,5.38,5.22,5.33,23700,5.33
2014-04-30,5.39,5.42,5.35,5.40,5700,5.40
2014-04-29,5.40,5.48,5.39,5.39,14100,5.39
2014-04-28,5.50,5.50,5.35,5.40,33800,5.40
2014-04-25,5.58,5.66,5.45,5.53,29800,5.53
2014-04-24,5.49,5.68,5.49,5.58,27600,5.58
2014-04-23,5.53,5.63,5.52,5.57,12300,5.57
2014-04-22,5.63,5.63,5.52,5.57,21500,5.57
2014-04-21,5.45,5.50,5.41,5.48,21500,5.48
2014-04-18,5.42,5.42,5.42,5.42,000,5.42
2014-04-17,5.51,5.68,5.37,5.42,62600,5.42
2014-04-16,5.40,5.55,5.31,5.51,24800,5.51
2014-04-15,5.43,5.44,5.13,5.31,84400,5.31
2014-04-14,5.57,5.57,5.43,5.43,44400,5.43
2014-04-11,5.58,5.71,5.47,5.58,41600,5.58
2014-04-10,5.80,5.80,5.52,5.66,41500,5.66
2014-04-09,5.60,5.90,5.60,5.83,56000,5.83
2014-04-08,5.48,5.60,5.46,5.57,25500,5.57
2014-04-07,5.63,5.63,5.44,5.50,61300,5.50
2014-04-04,5.79,5.96,5.63,5.72,100200,5.72
2014-04-03,6.44,6.44,5.83,5.89,194600,5.89
2014-04-02,6.29,6.55,6.22,6.41,107200,6.41
2014-04-01,6.30,6.94,6.20,6.37,250200,6.37
2014-03-31,7.06,7.20,6.32,6.41,1344000,6.41
2014-03-28,5.20,5.49,5.11,5.43,77700,5.43
2014-03-27,5.34,5.37,5.12,5.16,61300,5.16
2014-03-26,5.45,5.51,5.27,5.30,48100,5.30
2014-03-25,5.58,5.67,5.45,5.45,23600,5.45
2014-03-24,5.61,5.61,5.37,5.46,42500,5.46
2014-03-21,5.45,5.71,5.40,5.56,40600,5.56
2014-03-20,5.43,5.58,5.35,5.40,20600,5.40
2014-03-19,5.53,5.60,5.35,5.45,40600,5.45
2014-03-18,5.64,5.65,5.57,5.57,18400,5.57
2014-03-17,5.40,5.62,5.40,5.54,27500,5.54
2014-03-14,5.57,5.58,5.40,5.42,31300,5.42
2014-03-13,5.69,5.96,5.58,5.58,50900,5.58
2014-03-12,6.00,6.02,5.65,5.72,67600,5.72
2014-03-11,5.94,6.35,5.93,6.04,117500,6.04
2014-03-10,6.09,6.09,5.80,6.04,50300,6.04
2014-03-07,6.29,6.29,5.95,6.09,44700,6.09
2014-03-06,6.67,6.69,6.17,6.30,181000,6.30
2014-03-05,6.02,6.60,5.86,6.34,260300,6.34
2014-03-04,5.97,5.99,5.85,5.88,51600,5.88
2014-03-03,5.90,6.10,5.85,5.98,55200,5.98
2014-02-28,6.15,6.25,5.73,5.92,305800,5.92
2014-02-27,5.47,6.19,5.47,6.05,347100,6.05
2014-02-26,5.57,5.67,5.54,5.57,33000,5.57
2014-02-25,5.62,5.67,5.51,5.57,15500,5.57
2014-02-24,5.61,5.70,5.54,5.68,28900,5.68
2014-02-21,5.74,5.74,5.52,5.58,19200,5.58
2014-02-20,5.60,5.74,5.45,5.68,30900,5.68
2014-02-19,5.82,6.00,5.34,5.60,102500,5.60
2014-02-18,5.63,5.95,5.63,5.79,98700,5.79
2014-02-17,5.62,5.62,5.62,5.62,000,5.62
2014-02-14,5.69,5.75,5.48,5.62,37900,5.62
2014-02-13,5.55,5.80,5.45,5.68,72500,5.68
2014-02-12,5.63,5.63,5.39,5.57,30500,5.57
2014-02-11,5.45,5.64,5.27,5.63,101800,5.63
2014-02-10,5.21,5.41,5.15,5.39,80800,5.39
2014-02-07,5.17,5.27,5.12,5.24,46000,5.24
2014-02-06,5.29,5.35,5.05,5.11,71100,5.11
2014-02-05,5.28,5.30,5.17,5.28,11100,5.28
2014-02-04,5.17,5.34,5.16,5.32,13800,5.32
2014-02-03,5.10,5.33,5.10,5.19,63500,5.19
2014-01-31,5.24,5.30,5.12,5.14,61300,5.14
2014-01-30,5.30,5.39,5.26,5.30,11300,5.30
2014-01-29,5.28,5.47,5.28,5.33,20100,5.33
2014-01-28,5.33,5.46,5.33,5.38,27400,5.38
2014-01-27,5.38,5.44,5.12,5.26,88200,5.26
2014-01-24,5.63,5.74,5.37,5.38,92200,5.38
2014-01-23,5.90,5.90,5.60,5.62,97100,5.62
2014-01-22,5.70,6.20,5.70,5.99,293700,5.99
2014-01-21,5.69,5.78,5.60,5.64,99700,5.64
2014-01-20,5.60,5.60,5.60,5.60,000,5.60
