Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,11.24,11.45,11.15,11.28,152500,11.28
2015-04-07,11.20,11.42,11.14,11.24,52100,11.24
2015-04-06,10.95,11.25,10.90,11.24,75900,11.24
2015-04-02,11.10,11.16,10.86,10.98,56600,10.98
2015-04-01,10.94,11.15,10.83,11.13,91700,11.13
2015-03-31,11.05,11.10,10.93,10.94,87400,10.94
2015-03-30,11.02,11.21,10.88,11.10,77900,11.10
2015-03-27,10.95,11.13,10.77,11.00,63700,11.00
2015-03-26,10.75,11.04,10.72,10.94,55300,10.94
2015-03-25,11.38,11.39,10.73,10.80,59300,10.80
2015-03-24,11.41,11.50,11.33,11.37,89500,11.37
2015-03-23,11.25,11.50,11.25,11.43,51900,11.43
2015-03-20,11.19,11.41,11.01,11.32,135600,11.32
2015-03-19,11.19,11.25,10.98,11.18,40000,11.18
2015-03-18,11.20,11.37,11.04,11.20,98900,11.20
2015-03-17,11.05,11.25,10.94,11.20,91300,11.20
2015-03-16,11.18,11.25,11.05,11.07,45100,11.07
2015-03-13,11.16,11.16,10.86,11.12,58100,11.12
2015-03-12,11.17,11.22,10.96,11.14,97900,11.14
2015-03-11,10.98,11.11,10.86,11.05,67600,11.05
2015-03-10,10.89,11.05,10.65,10.99,60400,10.99
2015-03-09,10.84,11.04,10.75,10.98,68800,10.98
2015-03-06,11.06,11.20,10.68,10.81,74700,10.81
2015-03-05,11.04,11.26,10.92,11.20,96900,11.20
2015-03-04,10.99,11.13,10.85,11.05,66400,11.05
2015-03-03,11.11,11.25,10.82,11.01,79400,11.01
2015-03-02,10.86,11.22,10.86,11.18,160000,11.18
2015-02-27,10.84,11.03,10.75,10.89,77000,10.89
2015-02-26,10.89,11.13,10.56,10.88,164000,10.82
2015-02-25,10.68,10.94,10.58,10.83,69700,10.77
2015-02-24,10.48,10.75,10.42,10.66,97300,10.60
2015-02-23,11.06,11.06,10.28,10.49,179700,10.43
2015-02-20,11.94,11.97,11.00,11.06,239900,11.00
2015-02-19,11.48,11.75,11.29,11.56,118700,11.50
2015-02-18,11.59,11.63,11.41,11.47,48000,11.41
2015-02-17,11.54,11.70,11.54,11.62,32600,11.56
2015-02-13,11.51,11.69,11.43,11.57,41900,11.51
2015-02-12,11.50,11.62,11.45,11.45,29000,11.39
2015-02-11,11.48,11.50,11.24,11.42,36000,11.36
2015-02-10,11.49,11.59,11.29,11.52,52400,11.46
2015-02-09,11.63,11.68,11.32,11.36,67900,11.30
2015-02-06,11.61,11.79,11.58,11.65,83100,11.59
2015-02-05,11.55,11.75,11.42,11.64,56100,11.58
2015-02-04,11.49,11.78,11.28,11.52,46000,11.46
2015-02-03,11.45,11.75,11.45,11.61,85900,11.55
2015-02-02,11.35,11.48,11.05,11.48,63300,11.42
2015-01-30,11.55,11.70,11.32,11.33,93200,11.27
2015-01-29,11.59,11.68,11.39,11.66,69500,11.60
2015-01-28,11.76,11.78,11.39,11.52,77200,11.46
2015-01-27,11.64,11.83,11.62,11.67,37500,11.61
2015-01-26,11.52,11.83,11.39,11.76,95400,11.70
2015-01-23,11.50,11.67,11.20,11.50,89400,11.44
2015-01-22,11.48,11.62,11.15,11.51,76600,11.45
2015-01-21,11.59,11.71,11.36,11.38,47800,11.32
2015-01-20,11.79,11.80,11.51,11.65,89600,11.59
2015-01-16,11.29,11.74,11.29,11.72,69600,11.66
2015-01-15,11.56,11.62,11.18,11.33,107600,11.27
2015-01-14,11.35,11.63,11.33,11.48,61400,11.42
2015-01-13,11.44,11.84,11.24,11.45,60000,11.39
2015-01-12,11.77,11.77,11.27,11.38,78800,11.32
2015-01-09,11.88,11.95,11.66,11.77,48200,11.71
2015-01-08,11.69,11.90,11.59,11.85,70800,11.78
2015-01-07,11.50,11.64,11.39,11.60,84400,11.54
2015-01-06,11.98,11.98,11.19,11.43,98300,11.37
2015-01-05,11.86,12.10,11.84,11.98,126900,11.91
2015-01-02,11.99,12.02,11.68,11.90,60600,11.83
