Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,5.91,6.08,5.91,5.98,27700,5.98
2014-12-30,6.01,6.02,5.83,5.95,12100,5.95
2014-12-29,6.00,6.18,5.92,6.08,22800,6.08
2014-12-26,6.13,6.20,6.01,6.02,9800,6.02
2014-12-24,5.78,6.09,5.78,6.05,16500,6.05
2014-12-23,5.49,5.92,5.49,5.72,63400,5.72
2014-12-22,5.37,5.48,5.30,5.44,16400,5.44
2014-12-19,5.48,5.48,5.32,5.32,15500,5.32
2014-12-18,5.36,5.50,5.35,5.42,13500,5.42
2014-12-17,5.39,5.49,5.31,5.35,27800,5.35
2014-12-16,5.43,5.45,5.33,5.36,24200,5.36
2014-12-15,5.30,5.45,5.28,5.40,17800,5.40
2014-12-12,5.25,5.44,5.08,5.27,21800,5.27
2014-12-11,5.26,5.30,5.19,5.23,20500,5.23
2014-12-10,5.28,5.29,5.15,5.16,14700,5.16
2014-12-09,5.26,5.29,5.18,5.20,19700,5.20
2014-12-08,5.19,5.29,5.15,5.28,14300,5.28
2014-12-05,5.23,5.29,5.22,5.22,12500,5.22
2014-12-04,5.29,5.29,5.21,5.21,24200,5.21
2014-12-03,5.19,5.32,5.15,5.28,13200,5.28
2014-12-02,5.20,5.30,5.19,5.22,20900,5.22
2014-12-01,5.25,5.25,5.16,5.19,29900,5.19
2014-11-28,5.16,5.17,5.15,5.15,10500,5.15
2014-11-26,5.20,5.21,5.16,5.16,39100,5.16
2014-11-25,5.19,5.27,5.09,5.25,36700,5.25
2014-11-24,5.08,5.33,5.06,5.06,270600,5.06
2014-11-21,5.13,5.21,5.10,5.11,137500,5.11
2014-11-20,5.15,5.17,5.06,5.13,48500,5.13
2014-11-19,5.16,5.17,5.12,5.12,17400,5.12
2014-11-18,5.02,5.19,5.02,5.10,16700,5.10
2014-11-17,5.00,5.04,4.94,4.99,17300,4.99
2014-11-14,5.00,5.04,4.95,4.99,34200,4.99
2014-11-13,5.08,5.08,5.00,5.00,13000,5.00
2014-11-12,4.93,5.03,4.93,5.03,12700,5.03
2014-11-11,5.02,5.13,4.94,5.04,12200,5.04
2014-11-10,5.05,5.10,5.03,5.04,12200,5.04
2014-11-07,5.10,5.16,5.00,5.03,21400,5.03
2014-11-06,5.10,5.12,5.00,5.11,10400,5.11
2014-11-05,5.10,5.19,5.00,5.02,328300,5.02
2014-11-04,4.63,4.91,4.63,4.71,6400,4.71
2014-11-03,4.88,4.98,4.70,4.86,8700,4.86
2014-10-31,4.87,4.91,4.85,4.90,12100,4.90
2014-10-30,4.85,4.85,4.85,4.85,000,4.85
2014-10-29,4.65,4.90,4.64,4.85,9600,4.85
2014-10-28,4.59,4.70,4.59,4.68,15900,4.68
2014-10-27,4.56,4.72,4.55,4.59,24500,4.59
2014-10-24,4.62,4.74,4.60,4.65,32900,4.65
2014-10-23,4.74,4.90,4.65,4.65,22200,4.65
2014-10-22,4.73,4.86,4.70,4.73,29900,4.73
2014-10-21,5.00,5.00,4.70,4.75,29900,4.75
2014-10-20,4.90,4.99,4.75,4.94,24700,4.94
2014-10-17,4.85,5.02,4.80,4.96,31300,4.96
2014-10-16,4.81,5.09,4.81,4.86,23100,4.86
2014-10-15,4.58,5.11,4.50,5.01,15700,5.01
2014-10-14,5.11,5.11,5.02,5.03,15200,5.03
2014-10-13,5.12,5.12,5.03,5.05,10000,5.05
2014-10-10,5.02,5.12,5.02,5.11,24800,5.11
2014-10-09,4.94,5.03,4.94,5.02,24200,5.02
2014-10-08,4.73,4.92,4.73,4.85,13300,4.85
2014-10-07,4.75,4.78,4.75,4.77,9600,4.77
2014-10-06,4.90,4.90,4.76,4.78,17800,4.78
2014-10-03,4.95,4.97,4.92,4.93,14400,4.93
2014-10-02,5.06,5.09,5.00,5.02,10100,5.02
2014-10-01,4.96,5.03,4.90,5.03,11000,5.03
2014-09-30,4.88,5.01,4.87,4.94,25000,4.94
2014-09-29,5.02,5.03,5.00,5.03,7200,5.03
2014-09-26,5.01,5.03,5.00,5.00,6100,5.00
2014-09-25,5.05,5.08,4.90,5.00,11500,5.00
2014-09-24,5.03,5.10,5.03,5.03,11000,5.03
2014-09-23,5.06,5.09,4.83,5.06,14200,5.06
2014-09-22,5.03,5.11,5.00,5.10,14400,5.10
2014-09-19,5.03,5.11,5.01,5.08,41900,5.08
2014-09-18,4.86,5.06,4.85,5.03,22300,5.03
2014-09-17,5.03,5.03,4.85,4.90,38300,4.90
2014-09-16,5.03,5.08,5.00,5.05,10700,5.05
2014-09-15,5.18,5.18,5.00,5.00,13500,5.00
