Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,0.01,0.01,0.01,0.01,325400,0.01
2015-04-07,0.02,0.02,0.01,0.01,469100,0.01
2015-04-06,0.02,0.02,0.02,0.02,143600,0.02
2015-04-03,0.02,0.02,0.02,0.02,000,0.02
2015-04-02,0.02,0.02,0.01,0.02,110400,0.02
2015-04-01,0.02,0.03,0.01,0.02,233600,0.02
2015-03-31,0.02,0.03,0.02,0.02,185700,0.02
2015-03-30,0.01,0.02,0.01,0.02,18600,0.02
2015-03-27,0.01,0.03,0.01,0.01,111200,0.01
2015-03-26,0.02,0.02,0.02,0.02,79600,0.02
2015-03-25,0.02,0.03,0.02,0.02,978400,0.02
2015-03-24,0.03,0.03,0.02,0.03,81400,0.03
2015-03-23,0.05,0.05,0.02,0.03,190000,0.03
2015-03-20,0.02,0.05,0.02,0.04,279700,0.04
2015-03-19,0.03,0.04,0.02,0.03,387300,0.03
2015-03-18,0.02,0.05,0.02,0.04,752600,0.04
2015-03-17,0.01,0.04,0.01,0.02,622700,0.02
2015-03-16,0.01,0.01,0.01,0.01,29700,0.01
2015-03-13,0.01,0.01,0.01,0.01,200,0.01
2015-03-12,0.01,0.01,0.01,0.01,200,0.01
2015-03-11,0.01,0.01,0.01,0.01,32700,0.01
2015-03-10,0.01,0.01,0.01,0.01,200,0.01
2015-03-09,0.01,0.01,0.01,0.01,700,0.01
2015-03-06,0.01,0.01,0.01,0.01,9400,0.01
2015-03-05,0.01,0.01,0.01,0.01,42000,0.01
2015-03-04,0.01,0.01,0.01,0.01,3000,0.01
2015-03-03,0.01,0.01,0.01,0.01,51900,0.01
2015-03-02,0.01,0.01,0.01,0.01,21000,0.01
2015-02-27,0.01,0.01,0.01,0.01,100,0.01
2015-02-26,0.01,0.01,0.01,0.01,11700,0.01
2015-02-25,0.01,0.01,0.01,0.01,26300,0.01
2015-02-24,0.01,0.01,0.01,0.01,000,0.01
2015-02-23,0.01,0.01,0.01,0.01,100,0.01
2015-02-20,0.01,0.01,0.01,0.01,000,0.01
2015-02-19,0.01,0.01,0.01,0.01,18100,0.01
2015-02-18,0.01,0.01,0.01,0.01,24000,0.01
2015-02-17,0.01,0.01,0.01,0.01,7100,0.01
2015-02-16,0.01,0.01,0.01,0.01,000,0.01
2015-02-13,0.01,0.01,0.01,0.01,12900,0.01
2015-02-12,0.01,0.01,0.01,0.01,28800,0.01
2015-02-11,0.01,0.01,0.01,0.01,42100,0.01
2015-02-10,0.01,0.01,0.01,0.01,000,0.01
2015-02-09,0.01,0.01,0.01,0.01,19100,0.01
2015-02-06,0.01,0.01,0.01,0.01,21500,0.01
2015-02-05,0.01,0.01,0.01,0.01,000,0.01
2015-02-04,0.01,0.01,0.01,0.01,4800,0.01
2015-02-03,0.01,0.01,0.01,0.01,11600,0.01
2015-02-02,0.01,0.01,0.01,0.01,19600,0.01
2015-01-30,0.01,0.01,0.01,0.01,72500,0.01
2015-01-29,0.01,0.01,0.01,0.01,000,0.01
2015-01-28,0.01,0.01,0.01,0.01,8900,0.01
2015-01-27,0.01,0.01,0.01,0.01,5000,0.01
2015-01-26,0.01,0.01,0.01,0.01,157600,0.01
2015-01-23,0.01,0.01,0.01,0.01,000,0.01
2015-01-22,0.01,0.02,0.01,0.01,204600,0.01
2015-01-21,0.01,0.01,0.01,0.01,10000,0.01
2015-01-20,0.01,0.01,0.01,0.01,2300,0.01
2015-01-19,0.01,0.01,0.01,0.01,000,0.01
2015-01-16,0.01,0.01,0.01,0.01,4000,0.01
2015-01-15,0.01,0.01,0.01,0.01,39000,0.01
2015-01-14,0.01,0.01,0.01,0.01,104800,0.01
2015-01-13,0.01,0.01,0.01,0.01,400,0.01
2015-01-12,0.01,0.01,0.01,0.01,19900,0.01
2015-01-09,0.01,0.01,0.01,0.01,100,0.01
2015-01-08,0.01,0.01,0.01,0.01,60200,0.01
2015-01-07,0.01,0.01,0.01,0.01,65000,0.01
2015-01-06,0.01,0.01,0.01,0.01,308700,0.01
2015-01-05,0.01,0.01,0.01,0.01,15000,0.01
2015-01-02,0.01,0.01,0.01,0.01,100,0.01
2015-01-01,0.01,0.01,0.01,0.01,000,0.01
