Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,1.42,1.52,1.39,1.50,1122300,1.50
2014-12-30,1.26,1.44,1.26,1.41,1190000,1.41
2014-12-29,1.30,1.35,1.26,1.26,612000,1.26
2014-12-26,1.28,1.31,1.26,1.29,237200,1.29
2014-12-24,1.27,1.33,1.27,1.29,158200,1.29
2014-12-23,1.32,1.32,1.20,1.25,743800,1.25
2014-12-22,1.18,1.39,1.18,1.31,894500,1.31
2014-12-19,1.15,1.28,1.14,1.17,3469800,1.17
2014-12-18,1.10,1.22,1.09,1.15,471100,1.15
2014-12-17,1.17,1.20,1.12,1.12,339300,1.12
2014-12-16,1.13,1.19,1.12,1.15,667700,1.15
2014-12-15,1.18,1.20,1.12,1.16,458000,1.16
2014-12-12,1.15,1.25,1.15,1.18,315400,1.18
2014-12-11,1.19,1.27,1.15,1.15,277300,1.15
2014-12-10,1.34,1.34,1.14,1.21,622600,1.21
2014-12-09,1.31,1.34,1.28,1.32,189200,1.32
2014-12-08,1.37,1.39,1.29,1.33,376600,1.33
2014-12-05,1.35,1.39,1.28,1.38,574800,1.38
2014-12-04,1.42,1.44,1.34,1.37,258000,1.37
2014-12-03,1.40,1.45,1.40,1.41,271000,1.41
2014-12-02,1.46,1.49,1.40,1.42,248600,1.42
2014-12-01,1.48,1.52,1.42,1.43,238200,1.43
2014-11-28,1.52,1.52,1.46,1.48,148600,1.48
2014-11-26,1.45,1.53,1.39,1.52,537500,1.52
2014-11-25,1.39,1.47,1.34,1.43,641200,1.43
2014-11-24,1.29,1.47,1.29,1.36,787400,1.36
2014-11-21,1.28,1.33,1.26,1.31,404100,1.31
2014-11-20,1.30,1.30,1.24,1.26,235000,1.26
2014-11-19,1.32,1.32,1.27,1.30,284000,1.30
2014-11-18,1.31,1.32,1.29,1.31,186200,1.31
2014-11-17,1.29,1.32,1.27,1.31,209100,1.31
2014-11-14,1.32,1.32,1.27,1.30,448700,1.30
2014-11-13,1.28,1.34,1.28,1.31,346900,1.31
2014-11-12,1.26,1.35,1.26,1.30,378900,1.30
2014-11-11,1.35,1.35,1.28,1.29,249900,1.29
2014-11-10,1.26,1.39,1.22,1.33,688200,1.33
2014-11-07,1.28,1.36,1.27,1.30,358100,1.30
2014-11-06,1.28,1.29,1.23,1.29,232000,1.29
