Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,2.35,2.44,2.33,2.36,720000,2.36
2014-12-30,2.34,2.37,2.32,2.35,449500,2.35
2014-12-29,2.37,2.39,2.34,2.36,527100,2.36
2014-12-26,2.38,2.44,2.35,2.40,742700,2.40
2014-12-24,2.30,2.38,2.29,2.36,351200,2.36
2014-12-23,2.39,2.40,2.28,2.31,1219100,2.31
2014-12-22,2.45,2.48,2.35,2.40,902200,2.40
2014-12-19,2.36,2.51,2.36,2.44,4212400,2.44
2014-12-18,2.35,2.46,2.34,2.43,1628800,2.43
2014-12-17,2.25,2.37,2.24,2.36,1910200,2.36
2014-12-16,2.23,2.34,2.21,2.21,1421500,2.21
2014-12-15,2.35,2.37,2.21,2.22,1602400,2.22
2014-12-12,2.37,2.44,2.34,2.40,1486000,2.40
2014-12-11,2.36,2.44,2.36,2.38,944400,2.38
2014-12-10,2.45,2.50,2.39,2.39,1743000,2.39
2014-12-09,2.37,2.51,2.32,2.50,2604700,2.50
2014-12-08,2.38,2.42,2.31,2.34,1428600,2.34
2014-12-05,2.28,2.33,2.24,2.32,1440000,2.32
2014-12-04,2.25,2.34,2.22,2.33,1523900,2.33
2014-12-03,2.15,2.20,2.13,2.17,1118400,2.17
2014-12-02,2.16,2.21,2.16,2.20,858800,2.20
2014-12-01,2.22,2.23,2.12,2.13,1632700,2.13
2014-11-28,2.33,2.35,2.19,2.19,1067300,2.19
2014-11-26,2.22,2.26,2.19,2.23,1237900,2.23
2014-11-25,2.24,2.26,2.19,2.24,761200,2.24
2014-11-24,2.19,2.25,2.19,2.24,1091300,2.24
2014-11-21,2.21,2.23,2.17,2.22,1540100,2.22
2014-11-20,2.21,2.21,2.15,2.17,1176000,2.17
2014-11-19,2.29,2.29,2.17,2.18,1202300,2.18
2014-11-18,2.25,2.29,2.24,2.28,1378200,2.28
2014-11-17,2.15,2.24,2.13,2.24,1801100,2.24
2014-11-14,2.14,2.17,2.12,2.13,653600,2.13
2014-11-13,2.17,2.22,2.15,2.15,961000,2.15
2014-11-12,2.14,2.18,2.10,2.18,1212900,2.18
2014-11-11,2.12,2.23,2.11,2.19,2802300,2.19
2014-11-10,2.15,2.16,2.09,2.14,2014800,2.14
2014-11-07,2.01,2.15,2.00,2.13,15369800,2.13
2014-11-06,2.37,2.40,2.36,2.36,873700,2.36
2014-11-05,2.41,2.42,2.37,2.38,510300,2.38
2014-11-04,2.37,2.43,2.37,2.42,446400,2.42
2014-11-03,2.41,2.41,2.34,2.38,1056000,2.38
2014-10-31,2.34,2.46,2.34,2.44,1232700,2.44
2014-10-30,2.33,2.40,2.30,2.39,1123100,2.39
2014-10-29,2.50,2.53,2.42,2.43,978900,2.43
2014-10-28,2.43,2.56,2.42,2.56,1356900,2.56
2014-10-27,2.42,2.42,2.35,2.41,532600,2.41
2014-10-24,2.40,2.43,2.37,2.40,623800,2.40
2014-10-23,2.33,2.40,2.31,2.37,897100,2.37
2014-10-22,2.34,2.39,2.28,2.29,528200,2.29
2014-10-21,2.36,2.40,2.32,2.37,743600,2.37
2014-10-20,2.27,2.40,2.27,2.39,836400,2.39
2014-10-17,2.33,2.33,2.25,2.27,918600,2.27
2014-10-16,2.10,2.32,2.10,2.28,1614000,2.28
2014-10-15,2.24,2.27,2.16,2.27,1605100,2.27
2014-10-14,2.25,2.32,2.24,2.29,1042000,2.29
2014-10-13,2.27,2.33,2.21,2.24,1252300,2.24
2014-10-10,2.25,2.32,2.20,2.20,1120100,2.20
2014-10-09,2.31,2.33,2.26,2.27,720800,2.27
2014-10-08,2.32,2.39,2.24,2.36,1310700,2.36
2014-10-07,2.37,2.39,2.29,2.29,1049600,2.29
2014-10-06,2.41,2.42,2.38,2.40,806300,2.40
2014-10-03,2.40,2.44,2.38,2.42,608100,2.42
2014-10-02,2.41,2.43,2.33,2.41,912500,2.41
2014-10-01,2.43,2.45,2.39,2.40,925400,2.40
2014-09-30,2.47,2.51,2.41,2.42,1044000,2.42
2014-09-29,2.49,2.50,2.46,2.49,862300,2.49
2014-09-26,2.50,2.54,2.47,2.54,634700,2.54
2014-09-25,2.57,2.57,2.48,2.48,1213600,2.48
2014-09-24,2.53,2.62,2.52,2.62,1291000,2.62
2014-09-23,2.54,2.58,2.50,2.50,1007800,2.50
2014-09-22,2.62,2.64,2.49,2.51,2181600,2.51
2014-09-19,2.66,2.84,2.57,2.68,3915800,2.68
2014-09-18,2.77,2.80,2.65,2.66,1592200,2.66
2014-09-17,2.77,2.93,2.77,2.79,6988200,2.79
2014-09-16,2.48,2.52,2.45,2.51,596400,2.51
2014-09-15,2.62,2.62,2.48,2.50,921900,2.50
2014-09-12,2.63,2.63,2.59,2.61,537100,2.61
2014-09-11,2.61,2.67,2.59,2.67,574700,2.67
2014-09-10,2.59,2.67,2.54,2.67,1143400,2.67
2014-09-09,2.69,2.72,2.57,2.59,2270500,2.59
2014-09-08,2.45,2.48,2.44,2.48,584000,2.48
2014-09-05,2.47,2.47,2.44,2.46,438000,2.46
2014-09-04,2.48,2.50,2.46,2.46,554600,2.46
2014-09-03,2.52,2.55,2.44,2.46,987100,2.46
2014-09-02,2.55,2.55,2.44,2.48,839700,2.48
2014-08-29,2.55,2.56,2.52,2.56,350700,2.56
2014-08-28,2.55,2.58,2.53,2.55,545700,2.55
2014-08-27,2.57,2.60,2.55,2.59,618100,2.59
2014-08-26,2.55,2.61,2.54,2.55,623900,2.55
2014-08-25,2.52,2.57,2.50,2.53,962900,2.53
2014-08-22,2.53,2.56,2.50,2.52,520500,2.52
2014-08-21,2.60,2.60,2.50,2.51,773000,2.51
2014-08-20,2.54,2.65,2.51,2.55,1076500,2.55
2014-08-19,2.56,2.59,2.54,2.56,478800,2.56
2014-08-18,2.57,2.61,2.54,2.57,730100,2.57
2014-08-15,2.57,2.66,2.51,2.57,1302600,2.57
2014-08-14,2.52,2.58,2.52,2.53,384500,2.53
2014-08-13,2.50,2.58,2.49,2.55,633900,2.55
2014-08-12,2.50,2.52,2.46,2.48,687900,2.48
2014-08-11,2.47,2.55,2.46,2.50,892600,2.50
2014-08-08,2.46,2.51,2.43,2.50,843500,2.50
2014-08-07,2.57,2.59,2.47,2.52,1731800,2.52
2014-08-06,2.40,2.46,2.38,2.45,945900,2.45
2014-08-05,2.37,2.46,2.35,2.42,1501500,2.42
2014-08-04,2.51,2.54,2.44,2.51,1225800,2.51
2014-08-01,2.56,2.57,2.38,2.44,1583600,2.44
2014-07-31,2.58,2.60,2.55,2.59,916400,2.59
2014-07-30,2.61,2.67,2.58,2.65,1020900,2.65
2014-07-29,2.59,2.64,2.56,2.60,852500,2.60
2014-07-28,2.60,2.62,2.55,2.55,872200,2.55
2014-07-25,2.65,2.65,2.59,2.59,859100,2.59
2014-07-24,2.67,2.70,2.63,2.66,773900,2.66
2014-07-23,2.64,2.70,2.62,2.65,858700,2.65
2014-07-22,2.68,2.70,2.65,2.66,776500,2.66
2014-07-21,2.76,2.83,2.66,2.74,2601900,2.74
2014-07-18,2.53,2.59,2.52,2.59,1532300,2.59
2014-07-17,2.68,2.68,2.50,2.50,1738200,2.50
2014-07-16,2.73,2.73,2.62,2.66,1126900,2.66
2014-07-15,2.79,2.79,2.68,2.71,1745200,2.71
2014-07-14,2.74,2.84,2.71,2.83,1369100,2.83
2014-07-11,2.73,2.76,2.68,2.69,970700,2.69
2014-07-10,2.71,2.79,2.65,2.70,1018300,2.70
2014-07-09,2.79,2.84,2.75,2.78,913800,2.78
2014-07-08,2.83,2.83,2.73,2.77,1772600,2.77
2014-07-07,2.96,2.96,2.81,2.81,1958200,2.81
2014-07-03,2.99,3.02,2.94,3.00,893900,3.00
2014-07-02,3.03,3.06,3.01,3.03,1474200,3.03
2014-07-01,2.99,3.10,2.98,3.09,4322100,3.09
2014-06-30,2.83,2.85,2.78,2.81,1879800,2.81
2014-06-27,2.87,2.89,2.83,2.86,1270200,2.86
2014-06-26,2.88,2.94,2.81,2.89,1176000,2.89
2014-06-25,2.83,2.91,2.83,2.90,1514800,2.90
2014-06-24,2.90,2.99,2.88,2.88,1553300,2.88
2014-06-23,2.98,3.00,2.92,2.92,1155900,2.92
2014-06-20,3.06,3.07,2.92,3.02,3010700,3.02
2014-06-19,3.05,3.11,3.05,3.08,1241700,3.08
2014-06-18,3.06,3.11,3.03,3.11,1425100,3.11
2014-06-17,3.06,3.12,3.03,3.11,1490100,3.11
2014-06-16,3.06,3.14,3.03,3.10,1645600,3.10
2014-06-13,3.07,3.11,3.01,3.09,1426000,3.09
2014-06-12,3.06,3.13,3.03,3.10,2412400,3.10
2014-06-11,3.10,3.13,3.00,3.04,2569600,3.04
2014-06-10,2.98,3.23,2.97,3.17,3262000,3.17
2014-06-09,2.95,3.04,2.95,3.02,1610200,3.02
2014-06-06,3.01,3.01,2.92,2.98,1185100,2.98
2014-06-05,3.00,3.05,2.95,3.02,1527100,3.02
2014-06-04,3.04,3.07,2.95,3.01,1986300,3.01
2014-06-03,2.91,3.00,2.86,2.94,1674200,2.94
2014-06-02,2.90,2.93,2.78,2.87,1512400,2.87
2014-05-30,3.04,3.06,2.87,2.94,2853500,2.94
2014-05-29,3.06,3.11,3.02,3.06,1135700,3.06
2014-05-28,3.09,3.12,3.00,3.09,2948300,3.09
2014-05-27,2.97,3.18,2.96,3.14,6225200,3.14
2014-05-23,2.87,2.88,2.77,2.86,2162700,2.86
2014-05-22,2.66,3.00,2.65,2.87,6056300,2.87
2014-05-21,2.63,2.65,2.53,2.54,1204800,2.54
2014-05-20,2.65,2.65,2.55,2.59,1362500,2.59
2014-05-19,2.53,2.67,2.53,2.65,1409300,2.65
2014-05-16,2.64,2.67,2.54,2.59,1704200,2.59
2014-05-15,2.71,2.72,2.58,2.68,1949700,2.68
2014-05-14,2.77,2.79,2.71,2.73,1511100,2.73
2014-05-13,2.78,2.84,2.75,2.75,1630200,2.75
2014-05-12,2.71,2.88,2.71,2.88,2273000,2.88
2014-05-09,2.66,2.72,2.60,2.71,1895000,2.71
2014-05-08,2.80,2.84,2.63,2.65,1986100,2.65
2014-05-07,2.87,2.88,2.73,2.79,2149700,2.79
2014-05-06,3.00,3.02,2.87,2.87,2495100,2.87
2014-05-05,2.97,3.04,2.90,3.03,1616000,3.03
2014-05-02,3.00,3.02,2.90,2.96,2020100,2.96
2014-05-01,2.93,2.96,2.81,2.95,2555000,2.95
2014-04-30,3.05,3.06,2.88,2.95,4067900,2.95
2014-04-29,3.19,3.21,3.05,3.07,3038300,3.07
2014-04-28,3.09,3.10,2.90,3.02,3238600,3.02
2014-04-25,3.18,3.20,3.00,3.03,2447500,3.03
2014-04-24,3.23,3.25,3.14,3.19,1754400,3.19
2014-04-23,3.30,3.31,3.15,3.18,2924600,3.18
2014-04-22,3.10,3.36,3.09,3.33,3717200,3.33
2014-04-21,3.04,3.11,2.93,2.99,2334800,2.99
2014-04-17,3.04,3.20,3.01,3.07,2692500,3.07
2014-04-16,3.07,3.09,2.95,2.99,2779800,2.99
2014-04-15,3.16,3.20,2.87,3.05,4405100,3.05
