Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,50.97,51.69,50.75,50.82,85700,50.82
2015-04-07,51.70,52.59,51.13,51.16,50200,51.16
2015-04-06,51.85,52.56,51.79,51.90,54500,51.90
2015-04-02,51.18,52.48,51.18,51.96,59700,51.96
2015-04-01,51.52,52.20,50.08,51.25,101000,51.25
2015-03-31,52.34,52.51,51.26,51.42,63800,51.42
2015-03-30,51.78,52.59,51.73,52.32,54000,52.32
2015-03-27,50.72,51.75,50.72,51.70,99100,51.70
2015-03-26,50.68,51.41,50.04,50.93,83900,50.93
2015-03-25,52.52,52.75,50.83,50.98,100900,50.98
2015-03-24,52.65,53.56,52.45,52.60,78900,52.60
2015-03-23,52.62,53.20,52.53,52.78,111400,52.78
2015-03-20,52.32,53.18,52.03,52.85,209500,52.85
2015-03-19,51.42,52.31,51.19,52.24,91400,52.24
2015-03-18,50.04,51.77,50.00,51.73,133600,51.73
2015-03-17,49.26,50.48,49.13,50.27,86800,50.27
2015-03-16,48.89,49.50,48.88,49.50,85700,49.50
2015-03-13,49.49,49.69,48.73,49.04,129800,49.04
2015-03-12,47.94,49.48,47.94,49.43,167100,49.43
2015-03-11,47.23,47.77,46.72,47.74,79100,47.74
2015-03-10,46.41,47.72,46.26,47.05,91500,47.05
2015-03-09,46.07,47.97,46.07,46.72,168100,46.72
2015-03-06,42.13,46.77,41.96,45.05,189900,45.05
2015-03-05,42.42,43.00,42.04,42.31,111200,42.31
2015-03-04,42.28,42.56,41.78,42.46,78400,42.46
2015-03-03,42.23,42.55,41.61,42.44,130500,42.44
2015-03-02,42.03,42.47,41.40,42.25,114700,42.25
2015-02-27,42.07,42.45,41.65,41.95,53000,41.95
2015-02-26,43.06,43.29,41.84,41.99,80200,41.99
2015-02-25,42.90,43.20,42.34,43.12,78100,43.12
2015-02-24,42.91,42.96,42.06,42.76,96800,42.76
2015-02-23,42.77,42.87,42.31,42.84,68500,42.84
2015-02-20,43.41,43.41,42.47,42.78,49200,42.78
2015-02-19,42.62,43.72,42.16,43.29,80100,43.29
2015-02-18,41.91,42.75,41.54,42.63,75600,42.63
2015-02-17,41.59,42.46,41.22,41.91,66300,41.91
2015-02-13,41.53,42.20,41.01,41.64,78400,41.64
2015-02-12,41.57,41.68,41.22,41.45,122400,41.45
2015-02-11,40.94,41.68,40.71,41.50,91400,41.50
2015-02-10,41.09,41.50,40.38,41.30,113800,41.30
2015-02-09,39.93,41.11,39.74,41.00,143600,41.00
2015-02-06,39.55,40.27,38.91,40.20,134400,40.20
2015-02-05,40.24,40.47,38.73,39.46,195600,39.46
2015-02-04,41.04,41.52,39.85,39.98,175200,39.98
2015-02-03,40.33,41.36,39.96,41.15,167900,41.15
2015-02-02,40.03,40.39,39.40,40.07,146400,40.07
2015-01-30,39.09,40.32,38.99,40.11,215300,40.11
2015-01-29,38.78,39.60,38.50,39.50,97500,39.50
2015-01-28,39.26,39.82,38.76,38.83,94800,38.83
2015-01-27,39.79,39.93,38.89,39.26,67600,39.26
2015-01-26,41.26,41.26,39.01,40.28,162100,40.28
2015-01-23,41.18,41.74,40.70,41.30,99500,41.30
2015-01-22,39.88,41.50,38.90,41.30,135400,41.30
2015-01-21,40.45,40.52,39.38,39.44,114600,39.44
2015-01-20,40.18,41.20,39.40,40.39,203100,40.39
2015-01-16,42.91,43.10,37.50,40.17,460100,40.17
2015-01-15,47.69,47.69,43.00,43.07,202000,43.07
2015-01-14,47.81,48.31,47.51,47.79,94800,47.79
2015-01-13,46.70,48.13,46.65,47.94,77300,47.94
2015-01-12,46.71,47.00,46.08,46.40,53800,46.40
2015-01-09,47.87,47.87,46.65,46.78,52300,46.78
2015-01-08,46.42,48.13,46.34,47.91,117900,47.91
2015-01-07,46.00,46.45,45.58,46.15,53700,46.15
2015-01-06,46.18,47.02,45.36,45.89,118200,45.89
2015-01-05,45.88,47.40,45.05,46.54,104600,46.54
2015-01-02,47.48,48.12,46.26,46.40,67000,46.40
