Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,61.00,62.98,58.59,58.73,4644700,58.73
2015-04-07,55.47,59.99,55.11,59.45,4174000,59.45
2015-04-06,52.59,55.30,51.16,54.98,1778200,54.98
2015-04-02,56.20,56.20,53.55,53.81,2118700,53.81
2015-04-01,55.65,56.95,53.33,55.41,1738600,55.41
2015-03-31,55.51,57.48,54.15,55.57,2373500,55.57
2015-03-30,53.47,55.73,53.18,54.82,1922500,54.82
2015-03-27,53.00,53.37,51.31,52.23,1160800,52.23
2015-03-26,49.62,53.05,49.05,52.87,1748200,52.87
2015-03-25,53.51,54.38,50.05,50.14,1741900,50.14
2015-03-24,55.00,55.00,52.61,53.05,2443000,53.05
2015-03-23,50.79,55.03,50.79,54.89,4813200,54.89
2015-03-20,50.51,51.17,48.56,48.69,1401100,48.69
2015-03-19,51.57,52.26,50.27,50.41,1098400,50.41
2015-03-18,53.06,54.19,51.54,51.57,2378100,51.57
2015-03-17,50.00,53.06,49.85,53.06,2426300,53.06
2015-03-16,50.40,50.78,47.51,50.50,2893300,50.50
2015-03-13,51.99,53.20,50.03,50.04,2073400,50.04
2015-03-12,51.99,53.30,50.55,51.72,8279300,51.72
2015-03-11,55.00,56.16,53.03,55.60,1321400,55.60
2015-03-10,56.68,57.55,54.00,54.70,1610800,54.70
2015-03-09,60.75,60.84,57.11,57.79,1126500,57.79
2015-03-06,62.15,63.40,59.63,59.78,1458400,59.78
2015-03-05,60.30,62.90,59.72,62.87,1535800,62.87
2015-03-04,57.86,61.50,57.61,59.31,1565000,59.31
2015-03-03,56.17,59.70,55.47,58.02,1365100,58.02
2015-03-02,59.80,60.20,56.07,57.74,2062800,57.74
2015-02-27,60.43,63.75,57.72,59.27,2415300,59.27
2015-02-26,62.88,63.90,61.01,62.46,1679600,62.46
2015-02-25,61.92,63.44,60.00,60.31,2017700,60.31
2015-02-24,58.17,63.01,58.11,60.11,4624600,60.11
2015-02-23,66.76,68.33,58.16,58.42,10895300,58.42
2015-02-20,64.95,70.48,64.00,70.35,6068700,70.35
2015-02-19,59.10,64.45,57.75,64.28,4197100,64.28
2015-02-18,60.25,63.32,58.60,60.32,5811600,60.32
2015-02-17,53.05,59.58,53.00,58.86,5282000,58.86
2015-02-13,53.84,55.40,52.30,52.52,7197200,52.52
2015-02-12,42.49,45.99,41.30,45.69,3455000,45.69
2015-02-11,41.94,41.94,40.01,41.79,1073800,41.79
2015-02-10,37.93,41.70,37.66,40.90,2431300,40.90
2015-02-09,37.00,37.64,36.00,36.09,417400,36.09
2015-02-06,37.59,37.95,36.06,37.07,597900,37.07
2015-02-05,35.00,37.00,35.00,36.82,689100,36.82
2015-02-04,34.51,34.66,33.51,34.05,246200,34.05
2015-02-03,34.21,35.17,34.06,34.93,241200,34.93
2015-02-02,34.26,34.68,33.01,34.00,226100,34.00
2015-01-30,33.55,34.64,33.55,33.87,292000,33.87
2015-01-29,34.58,34.89,33.00,33.78,575000,33.78
2015-01-28,36.16,36.16,34.63,34.65,342000,34.65
2015-01-27,35.97,36.42,35.10,35.80,310500,35.80
2015-01-26,37.00,37.36,35.89,36.06,343100,36.06
2015-01-23,35.91,37.98,35.88,36.99,619600,36.99
2015-01-22,36.15,36.48,35.50,36.12,287600,36.12
2015-01-21,36.78,37.16,35.90,36.22,240800,36.22
2015-01-20,36.67,37.44,35.51,36.85,413400,36.85
2015-01-16,35.43,36.79,35.05,36.65,388500,36.65
2015-01-15,37.99,37.99,35.60,35.71,385500,35.71
2015-01-14,36.90,37.90,36.26,37.75,423600,37.75
2015-01-13,38.75,39.95,36.56,37.45,979600,37.45
2015-01-12,37.22,38.42,35.05,38.37,847600,38.37
2015-01-09,38.84,38.84,36.90,37.06,530200,37.06
2015-01-08,38.41,38.91,37.58,38.55,457100,38.55
2015-01-07,37.68,38.49,37.45,37.95,349800,37.95
2015-01-06,39.01,39.49,36.42,37.15,933300,37.15
2015-01-05,38.50,39.75,38.03,39.05,350100,39.05
2015-01-02,39.78,40.60,38.00,38.88,479300,38.88
