Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,7.36,8.25,7.24,8.01,2964200,8.01
2014-12-30,6.68,7.00,6.67,6.90,824600,6.90
2014-12-29,6.49,6.93,6.25,6.67,1361600,6.67
2014-12-26,5.94,6.71,5.92,6.14,1208300,6.14
2014-12-24,5.57,6.14,5.57,5.87,853400,5.87
2014-12-23,5.58,5.58,5.25,5.52,1311300,5.52
2014-12-22,4.85,4.95,4.84,4.90,180400,4.90
2014-12-19,4.88,4.95,4.75,4.89,237700,4.89
2014-12-18,4.89,4.89,4.76,4.89,213100,4.89
2014-12-17,4.56,4.80,4.55,4.80,171600,4.80
2014-12-16,4.43,4.73,4.43,4.57,175500,4.57
2014-12-15,4.79,4.89,4.48,4.48,255000,4.48
2014-12-12,4.79,4.92,4.76,4.78,137600,4.78
2014-12-11,4.81,5.00,4.81,4.84,252100,4.84
2014-12-10,4.84,4.94,4.74,4.78,214100,4.78
2014-12-09,4.53,4.89,4.41,4.88,339600,4.88
2014-12-08,4.65,4.83,4.54,4.58,237900,4.58
2014-12-05,4.57,4.72,4.55,4.66,199300,4.66
2014-12-04,4.61,4.77,4.52,4.56,289100,4.56
2014-12-03,4.65,4.75,4.50,4.63,236300,4.63
2014-12-02,4.53,4.77,4.53,4.62,269400,4.62
2014-12-01,4.65,4.68,4.48,4.51,311600,4.51
2014-11-28,4.58,4.98,4.58,4.67,469100,4.67
2014-11-26,4.40,4.67,4.32,4.59,412400,4.59
2014-11-25,4.44,4.49,4.23,4.40,267100,4.40
2014-11-24,4.11,4.43,4.10,4.42,566100,4.42
2014-11-21,4.20,4.20,4.07,4.11,456800,4.11
2014-11-20,4.12,4.24,4.11,4.14,279700,4.14
2014-11-19,4.13,4.27,4.05,4.16,417500,4.16
2014-11-18,4.17,4.27,4.11,4.16,316700,4.16
2014-11-17,4.23,4.37,4.12,4.16,257500,4.16
2014-11-14,4.25,4.29,4.16,4.23,224700,4.23
2014-11-13,4.38,4.48,4.21,4.24,197800,4.24
2014-11-12,4.38,4.46,4.26,4.36,221600,4.36
2014-11-11,4.35,4.60,4.19,4.39,557000,4.39
2014-11-10,4.13,4.38,4.03,4.33,284800,4.33
2014-11-07,4.27,4.27,3.98,4.10,252300,4.10
2014-11-06,4.12,4.30,4.07,4.25,212500,4.25
2014-11-05,4.37,4.39,4.06,4.14,431100,4.14
2014-11-04,3.92,4.48,3.83,4.30,1112900,4.30
2014-11-03,3.62,3.77,3.53,3.70,240000,3.70
2014-10-31,3.90,3.90,3.56,3.67,431100,3.67
2014-10-30,3.66,3.85,3.55,3.80,410200,3.80
2014-10-29,3.59,3.73,3.45,3.65,314700,3.65
2014-10-28,3.46,3.59,3.40,3.57,224900,3.57
2014-10-27,3.51,3.51,3.30,3.43,176100,3.43
2014-10-24,3.46,3.50,3.37,3.50,119700,3.50
2014-10-23,3.37,3.54,3.31,3.45,179600,3.45
2014-10-22,3.44,3.47,3.30,3.33,168300,3.33
2014-10-21,3.49,3.49,3.35,3.41,171500,3.41
2014-10-20,3.28,3.49,3.27,3.47,276000,3.47
2014-10-17,3.50,3.59,3.25,3.26,243600,3.26
2014-10-16,3.27,3.49,3.27,3.40,206700,3.40
2014-10-15,3.20,3.45,3.15,3.41,198800,3.41
2014-10-14,3.33,3.41,3.18,3.27,309300,3.27
2014-10-13,3.10,3.43,3.05,3.29,301700,3.29
2014-10-10,3.25,3.38,3.06,3.07,248000,3.07
2014-10-09,3.45,3.45,3.24,3.28,213300,3.28
2014-10-08,3.43,3.48,3.18,3.45,360200,3.45
2014-10-07,3.53,3.58,3.40,3.45,206900,3.45
2014-10-06,3.60,3.66,3.46,3.57,249900,3.57
2014-10-03,3.57,3.62,3.42,3.61,218400,3.61
2014-10-02,3.43,3.54,3.40,3.51,159600,3.51
2014-10-01,3.56,3.62,3.42,3.45,265200,3.45
2014-09-30,3.67,3.67,3.49,3.52,528500,3.52
2014-09-29,3.64,3.75,3.53,3.70,307300,3.70
2014-09-26,3.62,3.72,3.51,3.70,371600,3.70
2014-09-25,3.73,3.82,3.60,3.61,328400,3.61
2014-09-24,3.65,3.87,3.60,3.73,256200,3.73
2014-09-23,3.81,3.86,3.59,3.64,451700,3.64
2014-09-22,4.07,4.10,3.81,3.81,400900,3.81
2014-09-19,3.86,4.16,3.86,4.14,951100,4.14
2014-09-18,3.88,3.94,3.73,3.86,257900,3.86
2014-09-17,3.79,3.95,3.71,3.87,262500,3.87
2014-09-16,3.76,3.91,3.71,3.75,269900,3.75
2014-09-15,3.80,3.88,3.67,3.78,312400,3.78
2014-09-12,3.93,4.06,3.77,3.80,238000,3.80
2014-09-11,4.25,4.25,3.85,3.96,694400,3.96
2014-09-10,3.66,4.43,3.66,4.29,1524200,4.29
2014-09-09,3.88,3.92,3.58,3.66,572400,3.66
2014-09-08,3.80,3.92,3.80,3.90,312600,3.90
2014-09-05,3.85,3.92,3.74,3.81,214100,3.81
