Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,4.73,4.85,4.73,4.85,500,4.85
2014-12-30,4.98,4.98,4.98,4.98,000,4.98
2014-12-29,4.98,4.98,4.98,4.98,000,4.98
2014-12-26,4.69,4.98,4.69,4.98,300,4.98
2014-12-24,4.74,4.98,4.69,4.69,4500,4.69
2014-12-23,4.65,4.65,4.65,4.65,100,4.65
2014-12-22,4.64,4.78,4.64,4.65,5200,4.65
2014-12-19,4.76,4.99,4.75,4.77,1000,4.77
2014-12-18,4.92,4.92,4.84,4.84,700,4.84
2014-12-17,4.80,4.80,4.77,4.80,2800,4.80
2014-12-16,4.85,4.85,4.85,4.85,200,4.85
2014-12-15,4.88,4.88,4.88,4.88,100,4.88
2014-12-12,4.89,4.89,4.89,4.89,000,4.89
2014-12-11,4.80,4.90,4.66,4.89,2000,4.89
2014-12-10,4.90,4.90,4.70,4.70,4300,4.70
2014-12-09,4.64,4.64,4.64,4.64,000,4.64
2014-12-08,4.64,4.64,4.64,4.64,000,4.64
2014-12-05,4.69,4.69,4.63,4.64,800,4.64
2014-12-04,4.76,4.76,4.76,4.76,000,4.76
2014-12-03,4.76,4.76,4.76,4.76,000,4.76
2014-12-02,4.56,4.77,4.56,4.76,700,4.76
2014-12-01,4.78,4.78,4.78,4.78,100,4.78
2014-11-28,5.00,5.00,4.88,4.97,4800,4.97
2014-11-26,4.89,4.89,4.89,4.89,000,4.89
2014-11-25,4.89,4.89,4.89,4.89,100,4.89
2014-11-24,4.89,4.89,4.89,4.89,000,4.89
2014-11-21,4.71,4.89,4.58,4.89,5800,4.89
2014-11-20,4.56,4.76,4.56,4.76,1900,4.76
2014-11-19,4.73,4.73,4.73,4.73,000,4.73
2014-11-18,4.45,4.74,4.45,4.73,4000,4.73
2014-11-17,4.56,4.80,4.29,4.40,32800,4.40
2014-11-14,4.83,4.83,4.83,4.83,2000,4.83
2014-11-13,4.53,4.63,4.53,4.63,3000,4.63
2014-11-12,4.63,4.63,4.63,4.63,100,4.63
2014-11-11,4.83,4.83,4.81,4.82,1000,4.82
2014-11-10,5.01,5.01,5.01,5.01,200,5.01
2014-11-07,5.00,5.01,4.80,5.01,5400,5.01
2014-11-06,5.03,5.03,4.93,5.00,5800,5.00
2014-11-05,5.00,5.00,5.00,5.00,2600,5.00
2014-11-04,4.90,4.90,4.90,4.90,000,4.90
2014-11-03,4.95,4.97,4.90,4.90,300,4.90
2014-10-31,5.03,5.09,5.03,5.09,400,5.09
2014-10-30,5.00,5.00,5.00,5.00,000,5.00
2014-10-29,5.00,5.00,5.00,5.00,2000,5.00
2014-10-28,5.00,5.00,4.98,4.98,20900,4.98
2014-10-27,5.14,5.14,5.14,5.14,000,5.14
2014-10-24,5.14,5.14,5.14,5.14,400,5.14
2014-10-23,4.91,4.91,4.90,4.90,700,4.90
2014-10-22,5.00,5.00,4.76,4.82,3000,4.82
2014-10-21,5.10,5.10,4.81,5.00,16600,5.00
2014-10-20,5.05,5.05,5.00,5.00,1700,5.00
2014-10-17,5.00,5.06,4.75,5.06,2700,5.06
2014-10-16,4.95,4.95,4.95,4.95,000,4.95
2014-10-15,4.82,4.96,4.82,4.95,4600,4.95
2014-10-14,4.95,5.05,4.95,5.05,900,5.05
2014-10-13,4.90,4.95,4.90,4.95,2100,4.95
2014-10-10,4.81,4.90,4.75,4.75,3600,4.75
2014-10-09,4.90,4.90,4.90,4.90,000,4.90
2014-10-08,4.90,4.98,4.76,4.90,10400,4.90
2014-10-07,5.07,5.07,5.07,5.07,1000,5.07
2014-10-06,5.02,5.02,4.75,4.80,4900,4.80
2014-10-03,4.94,5.00,4.94,5.00,1000,5.00
2014-10-02,4.83,4.83,4.65,4.71,10300,4.71
2014-10-01,4.95,4.95,4.82,4.82,1800,4.82
2014-09-30,5.14,5.14,5.14,5.14,2000,5.14
2014-09-29,4.94,5.01,4.91,5.00,1900,5.00
2014-09-26,4.89,4.89,4.66,4.89,18700,4.89
2014-09-25,4.83,4.83,4.83,4.83,000,4.83
2014-09-24,4.83,4.83,4.83,4.83,200,4.83
2014-09-23,5.10,5.10,4.91,4.93,7800,4.93
2014-09-22,5.12,5.14,5.03,5.14,7700,5.14
2014-09-19,4.99,5.12,4.83,5.12,3700,5.12
2014-09-18,5.05,5.14,4.97,5.14,5300,5.14
