Date,Open,High,Low,Close,Volume,Adj Close
2015-02-12,25.92,26.00,25.92,25.99,1030000,25.99
2015-02-11,25.90,25.94,25.90,25.93,305000,25.93
2015-02-10,25.86,25.91,25.86,25.91,304600,25.91
2015-02-09,25.85,25.88,25.80,25.86,263900,25.86
2015-02-06,25.81,25.88,25.78,25.86,421000,25.86
2015-02-05,25.76,25.87,25.75,25.84,289600,25.84
2015-02-04,25.77,25.85,25.70,25.83,408100,25.83
2015-02-03,25.64,25.81,25.64,25.80,431500,25.80
2015-02-02,25.55,25.68,25.53,25.66,350000,25.66
2015-01-30,25.60,25.68,25.53,25.53,444100,25.53
2015-01-29,25.62,25.69,25.60,25.66,444600,25.66
2015-01-28,25.65,25.70,25.61,25.65,353400,25.65
2015-01-27,25.52,25.72,25.50,25.66,283800,25.66
2015-01-26,25.56,25.60,25.49,25.60,482300,25.60
2015-01-23,25.64,25.64,25.51,25.54,456800,25.54
2015-01-22,25.53,25.66,25.45,25.62,305100,25.62
2015-01-21,25.46,25.59,25.41,25.55,285900,25.55
2015-01-20,25.55,25.55,25.42,25.43,201200,25.43
2015-01-19,25.56,25.56,25.56,25.56,000,25.56
2015-01-16,25.43,25.57,25.41,25.56,250600,25.56
2015-01-15,25.47,25.52,25.40,25.45,249900,25.45
2015-01-14,25.42,25.60,25.40,25.50,221000,25.50
2015-01-13,25.41,25.54,25.35,25.53,632900,25.53
2015-01-12,25.32,25.49,25.24,25.44,179000,25.44
2015-01-09,25.00,25.40,25.00,25.31,579800,25.31
2015-01-08,24.55,24.88,24.49,24.87,581300,24.87
2015-01-07,24.65,24.65,24.35,24.64,416700,24.64
2015-01-06,24.84,24.84,24.25,24.35,622200,24.35
2015-01-05,24.72,24.91,24.62,24.71,297300,24.71
2015-01-02,24.68,24.97,24.57,24.86,213100,24.86
2015-01-01,24.73,24.73,24.73,24.73,000,24.73
