Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,14.26,14.75,14.26,14.62,6600,14.62
2015-04-07,14.31,14.31,14.00,14.00,8100,14.00
2015-04-06,13.90,15.00,13.90,14.48,30700,14.48
2015-04-02,13.74,13.90,13.74,13.90,600,13.90
2015-04-01,13.85,13.90,13.76,13.81,4100,13.81
2015-03-31,13.81,13.85,13.77,13.85,6400,13.85
2015-03-30,13.13,13.95,11.70,13.76,14100,13.76
2015-03-27,13.01,13.25,13.01,13.25,1300,13.25
2015-03-26,12.36,13.25,12.36,13.20,1000,13.14
2015-03-25,13.00,13.25,13.00,13.20,15300,13.14
2015-03-24,12.85,13.00,12.16,12.95,11900,12.90
2015-03-23,12.78,12.84,12.58,12.74,3800,12.69
2015-03-20,13.00,13.00,12.56,12.56,1000,12.51
2015-03-19,13.17,13.17,12.61,13.16,4400,13.11
2015-03-18,13.18,13.18,12.26,13.07,3700,13.02
2015-03-17,13.18,13.18,12.72,12.77,3100,12.72
2015-03-16,13.21,13.43,12.82,12.95,5400,12.90
2015-03-13,12.86,13.26,12.71,13.15,4500,13.10
2015-03-12,13.05,13.48,12.73,12.91,17600,12.86
2015-03-11,12.50,13.28,12.01,12.84,15400,12.79
2015-03-10,11.79,12.50,11.75,12.50,20400,12.45
2015-03-09,11.03,11.85,11.03,11.52,10500,11.47
2015-03-06,10.69,11.33,10.42,11.02,10800,10.97
2015-03-05,10.60,10.60,10.06,10.42,1500,10.38
2015-03-04,10.49,10.49,10.22,10.42,1600,10.38
2015-03-03,10.11,10.40,10.11,10.39,7800,10.35
2015-03-02,10.65,10.65,10.08,10.20,2500,10.16
2015-02-27,10.16,10.68,10.16,10.68,4700,10.64
2015-02-26,10.04,10.39,10.00,10.36,1800,10.32
2015-02-25,10.45,10.45,10.05,10.05,1500,10.01
2015-02-24,10.64,10.64,10.31,10.31,15500,10.27
2015-02-23,10.67,10.67,10.13,10.15,20500,10.11
2015-02-20,10.68,10.90,9.77,10.11,32700,10.07
2015-02-19,10.05,10.96,9.87,10.33,19200,10.29
2015-02-18,10.18,10.24,10.00,10.00,800,9.96
2015-02-17,10.29,10.47,9.83,10.41,12400,10.37
2015-02-13,9.61,10.47,9.61,10.30,15500,10.26
2015-02-12,10.42,10.44,9.99,10.32,8800,10.28
2015-02-11,9.97,10.38,9.60,10.38,3100,10.34
2015-02-10,9.90,10.00,9.64,10.00,4400,9.96
2015-02-09,9.90,9.98,9.72,9.98,2000,9.94
2015-02-06,9.97,10.25,9.90,9.90,6200,9.86
2015-02-05,9.89,9.94,9.74,9.94,700,9.90
2015-02-04,9.39,9.88,9.30,9.88,1300,9.84
2015-02-03,8.98,9.42,8.98,9.42,3200,9.38
2015-02-02,8.91,9.08,8.82,9.06,4000,9.02
2015-01-30,8.80,9.12,8.80,8.91,2300,8.87
2015-01-29,9.32,9.32,8.92,8.93,1000,8.89
2015-01-28,8.87,9.23,8.60,9.01,23200,8.97
2015-01-27,9.05,9.45,9.05,9.23,36200,9.19
2015-01-26,9.77,9.99,9.30,9.30,3100,9.26
2015-01-23,9.78,10.08,9.77,9.78,2400,9.74
2015-01-22,9.92,9.93,9.01,9.80,9200,9.76
2015-01-21,9.28,9.96,9.25,9.45,3100,9.41
2015-01-20,9.95,9.95,9.25,9.30,5700,9.26
2015-01-16,8.61,9.49,8.61,9.49,48400,9.45
2015-01-15,8.80,9.20,8.50,8.79,21000,8.75
2015-01-14,9.01,9.14,8.46,8.57,6000,8.53
2015-01-13,9.05,9.22,9.03,9.22,2400,9.18
2015-01-12,9.20,9.20,9.00,9.02,3700,8.98
2015-01-09,9.25,9.25,9.10,9.10,5700,9.06
2015-01-08,9.49,9.49,9.03,9.15,10500,9.11
2015-01-07,9.50,9.50,9.05,9.25,4500,9.21
2015-01-06,9.06,9.55,9.00,9.26,14400,9.22
2015-01-05,9.13,9.35,9.00,9.05,3900,9.01
2015-01-02,9.70,9.70,8.78,9.00,13500,8.96
