Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,8.97,9.05,8.88,8.99,55700,8.99
2014-12-30,8.83,9.11,8.83,8.90,64100,8.90
2014-12-29,8.85,9.30,8.85,9.00,187500,9.00
2014-12-26,9.07,9.15,8.89,8.92,45700,8.92
2014-12-24,9.19,9.21,9.05,9.08,11800,9.08
2014-12-23,9.11,9.17,8.73,9.15,67000,9.15
2014-12-22,8.66,9.19,8.66,9.09,155400,9.09
2014-12-19,8.58,8.70,8.51,8.64,139500,8.64
2014-12-18,8.57,8.87,8.55,8.69,186200,8.69
2014-12-17,8.40,8.46,8.34,8.38,182800,8.38
2014-12-16,8.34,8.53,8.34,8.40,82400,8.40
2014-12-15,8.49,8.71,8.36,8.42,117900,8.42
2014-12-12,8.54,8.73,8.52,8.56,47600,8.56
2014-12-11,8.66,8.82,8.59,8.64,52200,8.64
2014-12-10,8.70,8.80,8.60,8.65,29700,8.65
2014-12-09,8.99,8.99,8.71,8.78,145500,8.78
2014-12-08,8.77,9.13,8.77,8.86,43500,8.86
2014-12-05,8.69,8.91,8.64,8.86,73300,8.86
2014-12-04,8.73,8.89,8.55,8.70,59300,8.70
2014-12-03,8.85,9.07,8.67,8.72,93300,8.72
2014-12-02,8.95,9.00,8.77,8.88,33700,8.88
2014-12-01,9.13,9.13,8.72,8.89,74600,8.89
2014-11-28,9.01,9.14,8.96,9.11,26400,9.11
2014-11-26,9.09,9.18,8.91,9.17,105600,9.17
2014-11-25,9.04,9.14,8.97,9.12,106600,9.12
2014-11-24,8.70,9.02,8.70,8.99,100900,8.99
2014-11-21,9.35,9.35,8.85,8.97,256300,8.97
2014-11-20,9.09,9.34,8.67,9.16,754000,9.16
2014-11-19,10.93,11.11,10.66,10.99,110100,10.99
2014-11-18,11.11,11.21,10.88,11.02,87800,11.02
2014-11-17,11.11,11.21,10.89,11.14,66400,11.14
2014-11-14,11.06,11.12,10.88,11.07,24800,11.07
2014-11-13,10.75,11.01,10.58,10.94,31200,10.94
2014-11-12,11.15,11.15,10.66,10.69,31200,10.69
2014-11-11,10.96,11.16,10.89,11.03,56000,11.03
2014-11-10,10.78,11.30,10.78,11.01,69500,11.01
2014-11-07,10.55,10.75,10.40,10.70,39500,10.70
2014-11-06,10.44,10.58,10.33,10.58,55700,10.58
2014-11-05,10.99,10.99,10.33,10.33,33600,10.33
2014-11-04,11.16,11.25,10.82,10.90,33200,10.90
2014-11-03,11.05,11.12,10.92,11.05,29800,11.05
2014-10-31,11.13,11.17,10.94,11.05,53400,11.05
2014-10-30,10.46,10.97,10.40,10.89,35300,10.89
2014-10-29,10.73,10.73,10.13,10.49,41900,10.49
2014-10-28,10.30,10.86,10.23,10.64,80300,10.64
2014-10-27,10.15,10.29,10.00,10.29,25000,10.29
2014-10-24,10.05,10.18,9.91,10.18,25600,10.18
2014-10-23,9.90,10.07,9.85,10.00,37000,10.00
2014-10-22,10.05,10.05,9.75,9.79,20800,9.79
2014-10-21,10.03,10.09,9.81,10.03,24300,10.03
2014-10-20,9.87,9.99,9.78,9.93,19100,9.93
2014-10-17,10.30,10.39,9.86,9.91,55900,9.91
2014-10-16,8.67,10.31,8.64,10.29,123800,10.29
2014-10-15,8.82,9.08,8.74,8.79,116500,8.79
2014-10-14,9.13,9.26,8.80,8.92,77200,8.92
2014-10-13,9.36,9.43,8.98,9.15,51400,9.15
2014-10-10,9.59,9.59,9.23,9.39,77700,9.39
2014-10-09,9.87,9.87,9.22,9.56,53900,9.56
2014-10-08,9.94,9.94,9.33,9.86,96000,9.86
2014-10-07,9.82,9.98,9.55,9.80,66000,9.80
2014-10-06,10.61,10.61,9.87,9.96,48700,9.96
2014-10-03,10.25,10.61,10.21,10.58,71800,10.58
2014-10-02,9.78,10.14,9.60,10.12,115200,10.12
2014-10-01,10.27,10.39,9.44,9.60,171700,9.60
2014-09-30,10.55,10.59,10.15,10.25,76800,10.25
2014-09-29,10.55,10.65,10.46,10.61,66100,10.61
2014-09-26,10.53,10.80,10.53,10.70,35800,10.70
2014-09-25,10.61,10.81,10.47,10.50,48600,10.50
2014-09-24,10.42,10.75,10.42,10.72,30600,10.72
2014-09-23,10.62,10.85,10.42,10.54,86500,10.54
2014-09-22,10.82,10.82,10.48,10.66,55100,10.66
2014-09-19,10.88,10.96,10.47,10.91,142500,10.91
2014-09-18,10.98,10.98,10.69,10.82,55900,10.82
2014-09-17,10.22,11.24,10.08,10.87,115200,10.87
2014-09-16,10.45,10.60,9.85,10.37,208700,10.37
2014-09-15,11.39,11.40,10.41,10.55,250500,10.55
2014-09-12,11.78,11.83,11.26,11.39,186100,11.39
2014-09-11,11.77,12.07,11.46,11.93,166000,11.93
2014-09-10,11.85,12.00,11.58,11.90,70700,11.90
2014-09-09,12.18,12.30,11.77,11.83,87800,11.83
2014-09-08,12.27,12.38,11.94,12.21,89400,12.21
2014-09-05,12.65,12.66,12.15,12.29,129200,12.29
2014-09-04,12.98,13.06,12.69,12.71,89700,12.71
2014-09-03,13.24,13.24,12.85,12.96,44300,12.96
2014-09-02,13.22,13.31,12.85,13.21,105200,13.21
2014-08-29,12.61,13.28,12.61,13.19,148900,13.19
2014-08-28,12.90,13.00,12.51,12.62,81400,12.62
2014-08-27,13.03,13.13,12.86,12.99,41200,12.99
2014-08-26,12.85,13.44,12.85,13.18,66600,13.18
2014-08-25,13.10,13.24,12.69,12.82,80100,12.82
2014-08-22,13.08,13.24,12.94,13.06,20100,13.06
2014-08-21,12.98,13.21,12.86,13.12,84400,13.12
2014-08-20,13.27,13.50,12.99,13.03,77000,13.03
2014-08-19,13.20,13.41,13.03,13.38,64300,13.38
2014-08-18,13.08,13.48,13.01,13.20,64900,13.20
2014-08-15,13.22,13.40,12.77,12.92,81900,12.92
2014-08-14,13.39,13.39,12.91,13.18,32800,13.18
2014-08-13,12.95,13.51,12.67,13.37,77000,13.37
2014-08-12,13.22,13.40,12.74,12.91,74500,12.91
2014-08-11,12.90,13.50,12.90,13.26,138600,13.26
2014-08-08,12.70,12.94,12.60,12.81,94700,12.81
2014-08-07,12.69,12.96,12.61,12.69,40500,12.69
2014-08-06,12.76,13.26,12.51,12.59,105900,12.59
2014-08-05,12.73,13.14,12.66,12.84,42400,12.84
2014-08-04,13.06,13.25,12.69,12.86,78500,12.86
2014-08-01,13.51,13.86,12.60,13.06,142500,13.06
2014-07-31,13.66,13.79,13.26,13.52,86300,13.52
2014-07-30,13.65,13.95,13.33,13.90,95200,13.90
2014-07-29,13.43,13.86,13.31,13.55,106800,13.55
2014-07-28,14.14,14.14,13.32,13.34,91800,13.34
2014-07-25,13.51,14.25,13.08,14.18,205200,14.18
2014-07-24,12.45,14.14,12.35,13.65,653800,13.65
2014-07-23,12.59,12.66,11.85,11.92,306300,11.92
2014-07-22,12.60,12.85,12.52,12.60,96400,12.60
2014-07-21,12.80,12.80,12.50,12.51,87000,12.51
2014-07-18,12.85,13.16,12.50,12.84,126600,12.84
2014-07-17,13.20,13.42,12.73,12.83,181800,12.83
2014-07-16,13.44,13.48,12.75,13.29,173900,13.29
2014-07-15,14.00,14.32,13.24,13.39,167700,13.39
2014-07-14,13.82,14.54,13.80,14.03,163900,14.03
2014-07-11,13.86,13.98,13.51,13.65,94000,13.65
2014-07-10,13.25,14.10,13.23,13.91,144200,13.91
2014-07-09,14.04,14.45,13.57,13.68,142000,13.68
2014-07-08,14.25,14.44,12.99,13.99,368700,13.99
2014-07-07,15.51,15.51,14.00,14.36,250200,14.36
2014-07-03,15.85,16.00,15.39,15.52,175300,15.52
2014-07-02,14.46,15.88,14.46,15.80,357300,15.80
2014-07-01,14.98,15.33,14.37,14.48,107900,14.48
2014-06-30,15.02,15.08,14.78,14.96,277100,14.96
2014-06-27,14.57,15.11,14.50,14.97,157700,14.97
2014-06-26,14.64,14.88,14.26,14.49,93500,14.49
2014-06-25,14.15,14.78,13.87,14.64,113900,14.64
2014-06-24,14.25,14.92,14.05,14.17,171000,14.17
