Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,9.14,9.25,8.89,8.97,109100,8.97
2014-12-30,9.41,9.61,8.88,9.09,127900,9.09
2014-12-29,9.16,9.47,9.16,9.44,110800,9.44
2014-12-26,9.12,9.39,9.12,9.18,94400,9.18
2014-12-24,8.89,9.28,8.89,9.06,86100,9.06
2014-12-23,8.90,9.07,8.61,8.94,147200,8.94
2014-12-22,8.72,8.98,8.72,8.90,122200,8.90
2014-12-19,9.09,9.14,8.64,8.68,479200,8.68
2014-12-18,9.33,9.33,8.99,9.02,138600,9.02
2014-12-17,9.14,9.29,8.99,9.19,96900,9.19
2014-12-16,9.20,9.40,9.05,9.14,121000,9.14
2014-12-15,9.48,9.57,9.03,9.18,161500,9.18
2014-12-12,9.41,9.96,9.37,9.47,304000,9.47
2014-12-11,9.00,9.77,8.84,9.69,495200,9.69
2014-12-10,8.90,9.08,8.83,8.90,205200,8.90
2014-12-09,8.62,8.99,8.50,8.90,141300,8.90
2014-12-08,8.88,9.09,8.45,8.67,180100,8.67
2014-12-05,8.89,9.05,8.69,8.89,138100,8.89
2014-12-04,8.88,9.09,8.84,8.90,155500,8.90
2014-12-03,8.90,8.92,8.77,8.88,150500,8.88
2014-12-02,8.64,8.96,8.58,8.86,333400,8.86
2014-12-01,8.60,8.75,8.41,8.61,151300,8.61
2014-11-28,8.64,8.75,8.55,8.56,37900,8.56
2014-11-26,8.48,8.75,8.48,8.66,67000,8.66
2014-11-25,8.50,8.73,8.35,8.51,61100,8.51
2014-11-24,8.23,8.62,8.23,8.52,168800,8.52
2014-11-21,8.32,8.49,8.16,8.18,87500,8.18
2014-11-20,8.19,8.36,8.07,8.26,93900,8.26
2014-11-19,8.39,8.42,8.01,8.26,114800,8.26
2014-11-18,8.44,8.53,8.23,8.42,128700,8.42
2014-11-17,8.44,8.59,8.26,8.40,250600,8.40
2014-11-14,8.51,8.56,8.35,8.48,129800,8.48
2014-11-13,8.86,8.87,8.39,8.54,186900,8.54
2014-11-12,8.68,8.92,8.50,8.87,137500,8.87
2014-11-11,9.09,9.14,8.52,8.77,296100,8.77
2014-11-10,9.06,9.37,8.91,9.15,182900,9.15
2014-11-07,9.30,9.71,8.99,9.06,304900,9.06
2014-11-06,8.98,9.43,8.70,9.35,280300,9.35
2014-11-05,7.95,9.07,7.83,9.02,485400,9.02
2014-11-04,7.50,7.90,7.38,7.86,586100,7.86
2014-11-03,7.80,8.04,7.40,7.50,467800,7.50
2014-10-31,7.88,8.00,7.76,7.79,176200,7.79
2014-10-30,7.75,7.80,7.67,7.70,148500,7.70
2014-10-29,7.86,7.99,7.66,7.80,106100,7.80
2014-10-28,7.80,8.02,7.73,7.88,170600,7.88
2014-10-27,7.92,7.99,7.68,7.79,113600,7.79
2014-10-24,8.00,8.10,7.86,7.99,154200,7.99
2014-10-23,7.90,8.28,7.79,8.03,128700,8.03
2014-10-22,8.26,8.31,7.66,7.85,213200,7.85
2014-10-21,8.10,8.66,8.02,8.25,164500,8.25
2014-10-20,8.01,8.50,7.97,8.05,117000,8.05
2014-10-17,8.35,8.84,8.02,8.05,212700,8.05
2014-10-16,7.78,8.68,7.78,8.14,156600,8.14
2014-10-15,7.40,7.97,7.24,7.93,341400,7.93
2014-10-14,7.60,7.85,7.09,7.54,351500,7.54
2014-10-13,7.87,7.97,7.56,7.60,199600,7.60
2014-10-10,8.50,8.72,7.68,7.91,307400,7.91
2014-10-09,8.73,8.78,8.43,8.55,660200,8.55
2014-10-08,8.60,8.80,8.30,8.77,244100,8.77
2014-10-07,8.88,8.96,8.64,8.65,177400,8.65
2014-10-06,9.06,9.24,8.89,8.98,217500,8.98
2014-10-03,8.96,9.17,8.89,8.99,158600,8.99
2014-10-02,8.79,9.12,8.69,8.90,247400,8.90
2014-10-01,9.53,9.53,8.78,8.81,441100,8.81
2014-09-30,9.54,9.69,9.37,9.56,515100,9.56
2014-09-29,8.87,9.74,8.82,9.59,347000,9.59
2014-09-26,9.34,9.44,8.85,8.98,547500,8.98
2014-09-25,10.22,10.26,9.34,9.40,672600,9.40
2014-09-24,10.40,10.46,10.11,10.28,204400,10.28
2014-09-23,10.50,10.80,10.40,10.42,196600,10.42
2014-09-22,11.25,11.33,10.51,10.59,397000,10.59
2014-09-19,11.33,11.48,11.02,11.33,335300,11.33
2014-09-18,11.26,11.49,11.03,11.32,203300,11.32
2014-09-17,11.29,11.50,11.26,11.28,135800,11.28
2014-09-16,11.35,11.70,11.21,11.35,251100,11.35
2014-09-15,11.39,11.58,11.06,11.39,221200,11.39
2014-09-12,11.48,11.63,11.14,11.45,171700,11.45
2014-09-11,11.59,11.85,11.37,11.53,193000,11.53
2014-09-10,11.74,12.13,11.47,11.69,294400,11.69
2014-09-09,11.82,11.84,11.50,11.77,232800,11.77
2014-09-08,11.95,12.23,11.64,11.87,280500,11.87
2014-09-05,11.46,12.02,11.43,11.99,191600,11.99
2014-09-04,11.18,11.49,11.01,11.47,204300,11.47
2014-09-03,11.44,11.49,11.20,11.20,142300,11.20
2014-09-02,11.42,11.74,11.23,11.38,148800,11.38
2014-08-29,11.25,11.49,11.15,11.41,170100,11.41
2014-08-28,11.35,11.42,11.14,11.29,169500,11.29
2014-08-27,11.53,11.56,11.30,11.38,291000,11.38
2014-08-26,11.49,11.69,11.38,11.56,204700,11.56
2014-08-25,11.80,12.04,11.41,11.46,353200,11.46
2014-08-22,11.91,11.91,11.55,11.74,271100,11.74
2014-08-21,12.12,12.12,11.54,11.92,415900,11.92
2014-08-20,12.33,12.39,12.04,12.14,268200,12.14
2014-08-19,12.58,12.58,12.15,12.36,231500,12.36
2014-08-18,13.10,13.24,12.39,12.53,272000,12.53
2014-08-15,13.38,13.44,12.76,12.99,312100,12.99
2014-08-14,13.47,13.47,13.19,13.27,266900,13.27
2014-08-13,13.31,13.56,13.19,13.47,275800,13.47
2014-08-12,12.79,13.59,12.79,13.31,504900,13.31
2014-08-11,13.03,13.74,12.70,12.89,604600,12.89
2014-08-08,12.45,12.90,12.24,12.66,397000,12.66
2014-08-07,12.71,12.85,12.21,12.47,152400,12.47
2014-08-06,12.39,12.76,12.23,12.67,164100,12.67
2014-08-05,12.62,12.62,12.27,12.48,201500,12.48
2014-08-04,12.51,12.72,12.24,12.68,249700,12.68
2014-08-01,12.75,13.00,12.12,12.48,328900,12.48
2014-07-31,12.68,13.00,12.44,12.79,265600,12.79
2014-07-30,12.88,13.03,12.53,12.90,324600,12.90
2014-07-29,12.94,13.22,12.51,12.79,358600,12.79
2014-07-28,12.65,13.10,12.46,12.94,428100,12.94
2014-07-25,12.52,12.79,12.41,12.65,241500,12.65
2014-07-24,12.27,12.74,12.06,12.59,283600,12.59
2014-07-23,12.39,12.47,12.06,12.22,146900,12.22
2014-07-22,12.22,12.50,12.00,12.34,488500,12.34
2014-07-21,12.31,12.40,12.02,12.16,240600,12.16
2014-07-18,12.11,12.38,12.08,12.37,148100,12.37
2014-07-17,11.99,12.57,11.91,12.06,377300,12.06
2014-07-16,12.31,12.34,11.99,12.05,188400,12.05
2014-07-15,12.19,12.61,11.91,12.25,243000,12.25
2014-07-14,11.69,12.27,11.57,12.15,373000,12.15
2014-07-11,11.69,11.69,11.20,11.50,141100,11.50
2014-07-10,11.45,11.87,11.20,11.66,200100,11.66
2014-07-09,11.87,11.93,11.50,11.72,204900,11.72
2014-07-08,11.76,11.99,11.37,11.86,244400,11.86
2014-07-07,12.17,12.55,11.78,11.83,436600,11.83
2014-07-03,11.87,12.41,11.76,11.95,173400,11.95
2014-07-02,11.61,11.86,11.55,11.81,139700,11.81
2014-07-01,11.16,11.85,11.14,11.62,494300,11.62
2014-06-30,11.27,11.34,11.00,11.14,941200,11.14
2014-06-27,11.07,11.53,10.92,11.35,749200,11.35
2014-06-26,11.21,11.33,10.83,11.19,363200,11.19
2014-06-25,11.70,11.96,11.22,11.26,387500,11.26
2014-06-24,12.00,12.06,11.50,11.82,329300,11.82
2014-06-23,12.03,12.18,11.62,11.99,478600,11.99
2014-06-20,11.88,12.15,11.76,12.03,273000,12.03
2014-06-19,11.94,12.11,11.86,11.88,296000,11.88
2014-06-18,11.58,12.24,11.45,11.85,543300,11.85
2014-06-17,10.68,11.60,10.63,11.54,291000,11.54
2014-06-16,11.27,11.46,10.56,10.69,214900,10.69
2014-06-13,11.03,11.32,10.79,11.27,177900,11.27
