Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,2.17,2.34,2.05,2.07,84700,2.07
2015-04-07,2.20,2.26,2.20,2.20,16800,2.20
2015-04-06,2.18,2.42,2.17,2.20,47700,2.20
2015-04-02,2.00,2.20,2.00,2.18,34000,2.18
2015-04-01,2.04,2.15,2.01,2.01,69800,2.01
2015-03-31,2.39,2.48,2.03,2.13,105500,2.13
2015-03-30,2.35,2.53,2.35,2.39,40000,2.39
2015-03-27,2.62,2.62,2.41,2.41,52500,2.41
2015-03-26,2.51,2.62,2.40,2.60,55500,2.60
2015-03-25,2.50,2.67,2.50,2.59,25000,2.59
2015-03-24,2.46,2.60,2.46,2.56,22400,2.56
2015-03-23,2.61,2.65,2.40,2.51,38000,2.51
2015-03-20,2.70,2.70,2.59,2.59,33500,2.59
2015-03-19,2.70,2.76,2.62,2.66,17700,2.66
2015-03-18,2.74,2.82,2.61,2.68,43200,2.68
2015-03-17,2.69,2.76,2.65,2.71,19400,2.71
2015-03-16,2.86,2.86,2.75,2.77,21400,2.77
2015-03-13,2.70,2.95,2.65,2.82,111900,2.82
2015-03-12,2.42,2.81,2.40,2.68,165400,2.68
2015-03-11,2.47,2.47,2.41,2.43,29100,2.43
2015-03-10,2.58,2.59,2.40,2.54,42200,2.54
2015-03-09,2.75,2.75,2.51,2.59,99100,2.59
2015-03-06,2.47,2.80,2.43,2.79,109800,2.79
2015-03-05,2.45,2.48,2.29,2.46,29500,2.46
2015-03-04,2.47,2.47,2.28,2.41,51400,2.41
2015-03-03,2.50,2.50,2.35,2.43,52400,2.43
2015-03-02,2.38,2.50,2.34,2.50,67400,2.50
2015-02-27,2.35,2.41,2.33,2.34,27800,2.34
2015-02-26,2.25,2.41,2.21,2.41,105000,2.41
2015-02-25,2.59,2.67,2.30,2.30,209700,2.30
2015-02-24,2.84,2.84,2.55,2.65,70300,2.65
2015-02-23,2.76,2.90,2.76,2.78,34500,2.78
2015-02-20,2.95,2.95,2.73,2.89,81900,2.89
2015-02-19,2.95,3.00,2.81,2.93,79600,2.93
2015-02-18,2.77,2.95,2.70,2.95,84300,2.95
2015-02-17,2.73,2.82,2.62,2.80,77700,2.80
2015-02-13,2.69,2.69,2.52,2.62,66300,2.62
2015-02-12,2.70,2.80,2.52,2.56,124700,2.56
2015-02-11,2.43,2.79,2.43,2.68,242700,2.68
2015-02-10,2.29,2.46,2.25,2.42,87900,2.42
2015-02-09,2.15,2.26,2.14,2.25,43100,2.25
2015-02-06,2.07,2.15,2.04,2.13,74700,2.13
2015-02-05,2.01,2.13,2.01,2.07,33400,2.07
2015-02-04,2.06,2.13,2.00,2.04,21800,2.04
2015-02-03,2.08,2.14,2.06,2.09,17300,2.09
2015-02-02,2.02,2.14,2.02,2.08,44000,2.08
2015-01-30,2.09,2.10,2.03,2.06,31400,2.06
2015-01-29,2.04,2.09,2.04,2.09,25100,2.09
2015-01-28,2.07,2.07,1.98,2.02,32300,2.02
2015-01-27,1.98,2.09,1.97,2.01,53800,2.01
2015-01-26,2.06,2.06,1.95,2.04,77700,2.04
2015-01-23,2.06,2.16,1.95,2.07,67400,2.07
2015-01-22,2.08,2.20,2.02,2.05,111900,2.05
2015-01-21,2.23,2.23,1.98,2.12,107300,2.12
2015-01-20,2.20,2.22,1.94,2.14,141900,2.14
2015-01-16,2.24,2.27,2.09,2.20,138100,2.20
2015-01-15,2.25,2.35,2.10,2.16,113800,2.16
2015-01-14,2.10,2.22,1.91,2.20,122600,2.20
2015-01-13,2.38,2.47,2.12,2.12,212600,2.12
2015-01-12,2.15,2.32,2.02,2.27,170400,2.27
2015-01-09,1.86,2.15,1.81,2.06,161800,2.06
2015-01-08,1.77,1.88,1.70,1.84,99000,1.84
2015-01-07,1.66,1.80,1.59,1.71,99400,1.71
2015-01-06,1.51,1.64,1.51,1.62,73100,1.62
2015-01-05,1.44,1.57,1.40,1.48,29100,1.48
2015-01-02,1.38,1.49,1.35,1.48,70400,1.48
