Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,35.95,36.02,35.49,35.52,57600,35.52
2014-12-30,35.78,36.00,35.72,35.95,38000,35.95
2014-12-29,36.03,36.06,35.65,35.75,66000,35.75
2014-12-26,35.83,36.03,35.73,36.00,27400,36.00
2014-12-24,35.92,36.04,35.44,35.96,20400,35.96
2014-12-23,36.00,36.05,35.50,35.84,74400,35.84
2014-12-22,35.61,36.00,35.55,35.82,64200,35.82
2014-12-19,36.40,36.60,35.59,35.68,470500,35.68
2014-12-18,36.29,36.70,36.06,36.50,102100,36.50
2014-12-17,35.03,36.23,34.85,35.74,156600,35.74
2014-12-16,34.78,35.66,34.68,34.98,71400,34.98
2014-12-15,34.45,35.02,33.96,34.74,68900,34.74
2014-12-12,34.59,34.98,34.14,34.19,65800,34.19
2014-12-11,35.29,35.75,35.00,35.07,61200,35.07
2014-12-10,35.93,36.12,35.01,35.08,54000,35.08
2014-12-09,35.11,36.23,34.66,36.12,78900,36.12
2014-12-08,35.70,36.40,35.10,35.54,72400,35.54
2014-12-05,35.01,36.21,35.01,35.90,57700,35.90
2014-12-04,34.80,35.25,34.70,35.01,52200,35.01
2014-12-03,34.70,35.00,34.64,34.93,54900,34.93
2014-12-02,34.10,34.97,34.10,34.58,103200,34.58
2014-12-01,34.29,34.57,33.94,33.99,64700,33.99
2014-11-28,34.92,35.68,34.18,34.32,26900,34.32
2014-11-26,35.24,35.24,34.92,35.03,38100,35.03
2014-11-25,35.00,35.10,34.65,35.07,68100,35.07
2014-11-24,34.84,35.05,34.78,35.02,60200,35.02
2014-11-21,35.19,35.82,34.45,34.86,119000,34.86
2014-11-20,34.15,34.85,34.01,34.78,78600,34.78
2014-11-19,34.62,34.63,33.79,34.37,59800,34.37
2014-11-18,34.71,34.94,34.25,34.72,62700,34.72
2014-11-17,34.59,34.81,34.45,34.60,106200,34.60
2014-11-14,35.20,35.27,34.50,34.74,62500,34.74
2014-11-13,36.00,36.00,34.94,35.12,60300,35.12
2014-11-12,35.40,36.06,35.30,35.94,103700,35.94
2014-11-11,35.34,35.62,34.94,35.40,120700,35.40
2014-11-10,34.98,35.23,34.83,35.17,64100,35.17
2014-11-07,35.10,35.22,34.71,34.81,61600,34.81
2014-11-06,35.70,35.92,35.20,35.22,70900,35.22
2014-11-05,35.78,35.93,35.13,35.74,45400,35.74
2014-11-04,35.48,35.67,35.23,35.54,31700,35.54
2014-11-03,35.92,36.24,35.47,35.71,84600,35.71
2014-10-31,36.18,36.18,35.38,35.93,65700,35.93
2014-10-30,35.17,35.67,34.73,35.34,76200,35.34
2014-10-29,35.25,35.41,34.35,35.18,73400,35.18
2014-10-28,34.08,35.13,34.08,35.11,105000,35.11
2014-10-27,33.61,33.92,33.35,33.87,81900,33.87
2014-10-24,33.07,34.03,32.80,33.73,235500,33.73
2014-10-23,32.89,33.32,32.47,33.11,122000,33.11
2014-10-22,33.42,33.51,32.58,32.68,113100,32.68
2014-10-21,32.93,33.55,32.63,33.41,135100,33.41
2014-10-20,32.46,32.79,32.37,32.74,108000,32.74
2014-10-17,32.80,33.03,32.48,32.60,112500,32.60
2014-10-16,31.39,32.65,31.26,32.35,168800,32.35
2014-10-15,31.50,31.93,30.94,31.54,82600,31.54
2014-10-14,31.78,32.68,31.70,31.93,88800,31.93
2014-10-13,31.38,32.40,31.38,31.73,67500,31.73
2014-10-10,31.55,31.93,31.33,31.43,121100,31.43
2014-10-09,32.59,32.59,31.64,31.76,106500,31.76
2014-10-08,32.15,32.71,31.83,32.62,151400,32.62
2014-10-07,32.26,32.65,32.17,32.27,131000,32.27
2014-10-06,32.91,33.04,32.50,32.57,50600,32.57
2014-10-03,32.96,33.24,32.80,32.85,41800,32.85
2014-10-02,32.10,33.04,32.10,32.61,42100,32.61
2014-10-01,31.88,32.85,31.83,32.19,84500,32.19
2014-09-30,32.42,32.59,31.79,31.82,100300,31.82
2014-09-29,31.81,32.92,31.81,32.47,47500,32.47
2014-09-26,32.01,32.53,31.86,32.26,64000,32.26
2014-09-25,32.37,32.37,31.61,31.98,59300,31.98
2014-09-24,32.58,32.75,32.24,32.52,44000,32.52
2014-09-23,32.46,32.89,32.23,32.40,51800,32.40
2014-09-22,32.47,32.76,32.26,32.61,51100,32.61
2014-09-19,33.33,33.48,32.19,32.80,94100,32.80
2014-09-18,33.07,33.50,33.01,33.27,21300,33.27
2014-09-17,33.21,33.32,32.68,33.04,21100,33.04
2014-09-16,33.00,33.56,32.89,33.29,38300,33.29
2014-09-15,33.55,33.63,32.95,33.16,53900,33.16
2014-09-12,34.09,34.64,33.31,33.56,45200,33.56
2014-09-11,33.30,34.20,33.10,34.13,35800,34.13
2014-09-10,33.00,33.77,32.79,33.56,30800,33.56
2014-09-09,33.53,33.53,32.94,33.09,28900,33.09
2014-09-08,33.97,34.19,33.49,33.66,27100,33.66
2014-09-05,33.50,34.05,33.47,34.01,24500,34.01
2014-09-04,33.99,34.20,33.54,33.63,18600,33.63
2014-09-03,34.18,34.44,33.74,33.81,31200,33.81
2014-09-02,33.77,34.24,33.38,34.11,84300,34.11
2014-08-29,33.71,35.13,33.42,33.53,75400,33.53
2014-08-28,34.03,34.21,33.30,33.71,59500,33.71
2014-08-27,34.31,34.31,33.84,34.11,30100,34.11
2014-08-26,34.40,34.67,34.01,34.35,57800,34.35
2014-08-25,34.46,34.73,33.91,34.40,43700,34.40
2014-08-22,34.23,34.44,33.98,34.20,43800,34.20
2014-08-21,34.15,34.41,33.41,34.23,39100,34.23
2014-08-20,34.02,34.36,33.63,34.13,33700,34.13
2014-08-19,34.18,34.39,34.11,34.14,32900,34.14
2014-08-18,34.16,35.48,33.96,34.37,42300,34.37
2014-08-15,34.75,34.79,33.62,33.81,117700,33.81
2014-08-14,34.18,34.58,34.18,34.40,73400,34.40
2014-08-13,33.87,34.42,33.87,34.22,41800,34.22
2014-08-12,33.86,34.01,33.52,33.86,51400,33.86
2014-08-11,33.82,34.22,33.49,34.11,74700,34.11
2014-08-08,33.40,33.87,33.36,33.70,49900,33.70
2014-08-07,33.56,33.69,32.96,33.40,82300,33.40
2014-08-06,32.90,33.82,32.90,33.56,42000,33.56
2014-08-05,32.86,33.36,32.85,33.11,60600,33.11
2014-08-04,32.87,33.07,32.59,32.99,60700,32.99
2014-08-01,33.39,33.65,32.55,32.71,103600,32.71
2014-07-31,33.55,33.81,33.18,33.31,74500,33.31
2014-07-30,33.39,33.81,33.38,33.67,37600,33.67
2014-07-29,33.21,33.45,33.20,33.26,45400,33.26
2014-07-28,33.32,33.32,33.00,33.16,106300,33.16
2014-07-25,33.24,33.38,33.00,33.25,92400,33.25
2014-07-24,33.75,33.92,33.57,33.61,89300,33.61
2014-07-23,33.25,33.76,31.81,33.60,109100,33.60
2014-07-22,32.69,33.06,32.50,33.00,93300,33.00
2014-07-21,32.60,32.60,32.15,32.42,97700,32.42
2014-07-18,32.40,32.70,32.23,32.61,85100,32.61
2014-07-17,32.38,32.55,31.80,32.30,136300,32.30
2014-07-16,32.85,32.85,32.41,32.59,60900,32.59
2014-07-15,32.60,32.80,32.49,32.75,84500,32.75
2014-07-14,32.69,32.91,32.36,32.65,51000,32.65
2014-07-11,32.51,32.51,32.07,32.38,48300,32.38
2014-07-10,32.49,33.05,32.28,32.50,69000,32.50
2014-07-09,33.96,33.96,33.05,33.17,54700,33.17
2014-07-08,34.06,34.20,33.59,33.78,124000,33.78
2014-07-07,34.36,34.36,33.81,34.18,78800,34.18
2014-07-03,34.31,34.65,34.14,34.65,34000,34.65
2014-07-02,34.49,34.70,34.00,34.30,98900,34.30
2014-07-01,34.13,34.59,34.00,34.39,156000,34.39
2014-06-30,33.27,34.37,33.27,33.75,244400,33.75
2014-06-27,33.50,33.71,33.32,33.41,533000,33.41
2014-06-26,33.36,33.60,32.95,33.52,41500,33.52
2014-06-25,32.69,33.46,32.59,33.45,78200,33.45
2014-06-24,32.55,33.20,32.33,32.95,156700,32.95
2014-06-23,32.47,32.90,32.29,32.52,62500,32.52
2014-06-20,32.69,32.82,32.40,32.56,124900,32.56
2014-06-19,32.60,32.62,32.23,32.50,42500,32.50
2014-06-18,32.41,32.60,32.38,32.50,48400,32.50
2014-06-17,32.26,32.80,32.10,32.47,80600,32.47
2014-06-16,32.02,32.49,31.85,32.40,140000,32.40
2014-06-13,32.55,32.55,32.06,32.16,40200,32.16
2014-06-12,32.37,32.43,32.05,32.33,133200,32.33
2014-06-11,31.94,32.53,31.81,32.29,126500,32.29
2014-06-10,33.50,33.50,31.91,32.00,108400,32.00
2014-06-09,32.76,33.50,32.76,33.42,87400,33.42
2014-06-06,32.93,33.13,32.39,32.92,121500,32.92
2014-06-05,32.18,33.08,31.72,32.66,125500,32.66
2014-06-04,32.23,32.44,31.76,31.98,144900,31.98
2014-06-03,32.50,32.67,32.03,32.28,56300,32.28
2014-06-02,32.19,32.88,32.09,32.75,61300,32.75
2014-05-30,32.60,32.94,31.81,31.97,198900,31.97
2014-05-29,32.44,32.75,32.07,32.49,46600,32.49
2014-05-28,32.67,34.48,32.23,32.52,46200,32.52
2014-05-27,32.74,33.36,32.44,32.85,77700,32.85
2014-05-23,31.82,32.56,31.48,32.43,88100,32.43
2014-05-22,31.66,32.11,31.06,31.69,38700,31.69
2014-05-21,31.85,31.91,30.22,31.46,50300,31.46
2014-05-20,32.96,33.00,31.24,31.67,123800,31.67
2014-05-19,32.49,33.31,32.49,33.21,30200,33.21
2014-05-16,32.17,32.81,32.01,32.70,82600,32.70
2014-05-15,32.57,32.73,31.80,32.29,76100,32.29
2014-05-14,33.50,33.50,32.41,32.82,82400,32.82
2014-05-13,33.79,33.89,33.08,33.54,115800,33.54
2014-05-12,34.03,34.56,33.77,33.87,80100,33.87
2014-05-09,33.06,34.03,33.03,33.95,101900,33.95
2014-05-08,32.90,33.67,32.90,33.29,92900,33.29
2014-05-07,31.85,33.16,31.16,33.11,107300,33.11
2014-05-06,32.27,32.45,31.00,31.24,126600,31.24
2014-05-05,32.44,32.71,31.74,32.52,65900,32.52
2014-05-02,32.91,33.39,32.53,32.78,55600,32.78
2014-05-01,33.23,33.30,32.32,32.95,95900,32.95
2014-04-30,33.14,34.02,32.58,33.39,63400,33.39
2014-04-29,33.93,34.23,33.14,33.30,48800,33.30
2014-04-28,34.01,34.11,33.01,33.65,63500,33.65
2014-04-25,35.79,35.79,33.99,33.99,85400,33.99
2014-04-24,36.60,36.60,35.70,35.82,42500,35.82
2014-04-23,36.49,36.67,36.01,36.26,51200,36.26
2014-04-22,36.50,36.70,36.07,36.57,48900,36.57
2014-04-21,36.15,36.65,35.88,36.37,112300,36.37
2014-04-17,36.13,36.48,35.79,36.14,46700,36.14
2014-04-16,35.61,36.33,35.50,36.20,86900,36.20
2014-04-15,35.33,35.83,34.71,35.29,44700,35.29
2014-04-14,35.00,35.73,34.78,35.27,62200,35.27
2014-04-11,34.21,35.11,34.01,34.60,68000,34.60
2014-04-10,35.50,35.50,34.40,34.55,68100,34.55
2014-04-09,35.72,35.72,35.23,35.56,66800,35.56
2014-04-08,35.16,36.09,34.87,35.71,58400,35.71
2014-04-07,35.23,36.66,35.02,35.38,61600,35.38
