Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,10.18,10.36,10.13,10.30,230900,10.30
2015-04-07,9.94,10.34,9.86,10.21,319500,10.21
2015-04-06,9.57,10.17,9.50,9.98,187100,9.98
2015-04-02,9.35,9.73,9.20,9.68,150900,9.68
2015-04-01,9.39,9.49,9.17,9.31,158700,9.31
2015-03-31,9.63,9.73,9.25,9.38,222200,9.38
2015-03-30,9.63,10.01,9.60,9.69,261300,9.69
2015-03-27,9.52,9.62,9.20,9.59,141800,9.59
2015-03-26,9.59,9.73,9.45,9.53,109300,9.53
2015-03-25,10.51,10.51,9.62,9.67,230700,9.67
2015-03-24,10.45,10.70,10.30,10.44,362500,10.44
2015-03-23,10.21,10.59,10.15,10.45,153500,10.45
2015-03-20,10.11,10.38,9.96,10.24,338000,10.24
2015-03-19,10.22,10.30,10.11,10.18,165400,10.18
2015-03-18,10.15,10.33,9.94,10.25,234000,10.25
2015-03-17,10.03,10.31,10.03,10.17,172200,10.17
2015-03-16,10.27,10.34,10.02,10.03,271200,10.03
2015-03-13,9.96,10.77,9.69,10.20,653500,10.20
2015-03-12,9.40,9.63,9.21,9.29,134600,9.29
2015-03-11,9.28,9.43,9.09,9.37,182700,9.37
2015-03-10,9.28,9.37,9.10,9.26,222200,9.26
2015-03-09,9.52,9.52,8.96,9.39,276800,9.39
2015-03-06,9.32,9.76,9.32,9.52,212500,9.52
2015-03-05,9.27,9.46,9.07,9.38,199600,9.38
2015-03-04,9.11,9.29,8.81,9.22,281100,9.22
2015-03-03,9.08,9.37,9.08,9.15,295500,9.15
2015-03-02,9.09,9.31,8.96,9.15,300000,9.15
2015-02-27,9.43,9.45,9.00,9.10,571500,9.10
2015-02-26,9.65,10.04,9.26,9.41,544600,9.41
2015-02-25,9.71,10.16,9.63,10.13,460300,10.13
2015-02-24,9.72,10.23,9.64,9.76,212700,9.76
2015-02-23,10.40,10.56,9.27,9.53,575700,9.53
2015-02-20,10.70,10.75,10.33,10.47,219400,10.47
2015-02-19,10.91,10.92,10.66,10.74,155200,10.74
2015-02-18,10.93,11.14,10.82,10.94,206000,10.94
2015-02-17,11.00,11.11,10.81,11.01,160600,11.01
2015-02-13,10.95,11.11,10.78,10.91,192600,10.91
2015-02-12,11.06,11.18,10.81,10.95,174700,10.95
2015-02-11,10.64,11.01,10.47,10.99,270600,10.99
2015-02-10,11.00,11.04,10.54,10.64,407800,10.64
2015-02-09,11.17,11.30,10.82,10.92,243400,10.92
2015-02-06,11.30,11.60,11.07,11.26,214900,11.26
2015-02-05,10.96,11.37,10.89,11.29,216500,11.29
2015-02-04,10.86,11.21,10.84,10.90,181200,10.90
2015-02-03,10.62,11.10,10.62,10.92,259800,10.92
2015-02-02,10.30,10.90,10.17,10.80,354700,10.80
2015-01-30,10.70,10.98,10.24,10.24,444800,10.24
2015-01-29,10.43,10.79,10.28,10.78,373400,10.78
2015-01-28,10.88,11.02,10.31,10.41,446000,10.41
2015-01-27,11.00,11.13,10.75,10.79,618600,10.79
2015-01-26,11.00,11.32,10.83,11.22,542900,11.22
2015-01-23,10.96,11.20,10.81,10.98,473000,10.98
2015-01-22,10.80,11.06,10.54,11.05,940000,11.05
2015-01-21,10.52,10.89,10.37,10.75,1140100,10.75
2015-01-20,10.04,11.04,10.04,10.70,3008600,10.70
2015-01-16,9.13,9.75,8.88,9.68,2043800,9.68
2015-01-15,10.30,10.50,9.31,9.42,7435000,9.42
2015-01-14,19.74,21.02,19.62,20.80,1556100,20.80
2015-01-13,22.02,22.16,19.84,19.99,251900,19.99
2015-01-12,22.01,22.01,21.51,21.73,229200,21.73
2015-01-09,22.42,22.62,21.85,22.08,192000,22.08
2015-01-08,22.22,22.88,21.97,22.38,423400,22.38
2015-01-07,22.11,22.29,21.40,22.07,135400,22.07
2015-01-06,23.19,23.19,21.36,21.94,185900,21.94
2015-01-05,24.03,24.32,22.88,23.15,175700,23.15
2015-01-02,25.15,25.35,23.81,24.23,140700,24.23
