Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,19.88,20.10,19.67,20.00,1214400,20.00
2015-04-07,19.85,20.09,19.69,19.78,1278000,19.78
2015-04-06,19.64,20.05,19.42,19.90,1073700,19.90
2015-04-02,19.74,19.84,19.54,19.71,1274600,19.71
2015-04-01,18.91,19.84,18.62,19.66,3177300,19.66
2015-03-31,18.69,19.41,18.55,19.06,1124700,19.06
2015-03-30,18.28,18.89,18.28,18.83,625400,18.83
2015-03-27,18.07,18.35,17.78,18.25,705400,18.25
2015-03-26,17.90,18.15,17.71,18.05,452700,18.05
2015-03-25,18.62,18.75,17.74,18.04,558100,18.04
2015-03-24,18.76,19.04,18.56,18.64,572300,18.64
2015-03-23,19.13,19.13,18.50,18.75,555500,18.75
2015-03-20,19.65,19.87,19.10,19.10,2071400,19.10
2015-03-19,18.70,19.75,18.70,19.67,1436100,19.67
2015-03-18,18.51,18.85,18.45,18.84,414200,18.84
2015-03-17,17.82,18.68,17.70,18.66,1119700,18.66
2015-03-16,18.17,18.24,17.72,17.98,587600,17.98
2015-03-13,18.58,18.79,17.81,18.00,1225900,18.00
2015-03-12,18.35,18.60,17.95,18.54,869300,18.54
2015-03-11,19.26,19.42,17.70,18.11,1259000,18.11
2015-03-10,19.09,19.66,18.17,19.19,1337300,19.19
2015-03-09,19.25,19.39,18.79,19.37,490100,19.37
2015-03-06,19.20,19.28,18.95,19.20,3423200,19.20
2015-03-05,19.45,19.88,19.38,19.54,375400,19.54
2015-03-04,19.12,19.85,19.10,19.39,455000,19.39
2015-03-03,19.25,19.49,18.75,19.17,265900,19.17
2015-03-02,18.55,19.36,18.20,19.28,706900,19.28
2015-02-27,19.06,19.42,18.60,18.62,229000,18.62
2015-02-26,19.44,19.47,18.81,19.00,441700,19.00
2015-02-25,19.25,19.80,19.25,19.47,471000,19.47
2015-02-24,19.77,20.21,18.42,19.20,1391500,19.20
2015-02-23,20.15,20.45,19.03,19.09,665900,19.09
2015-02-20,19.87,20.37,19.70,19.89,1143000,19.89
2015-02-19,19.74,19.98,19.46,19.81,529300,19.81
2015-02-18,19.49,20.04,19.28,19.74,364800,19.74
2015-02-17,19.63,19.98,19.51,19.56,536200,19.56
2015-02-13,18.14,19.96,18.01,19.49,1112000,19.49
2015-02-12,18.11,18.19,17.87,18.05,1026800,18.05
2015-02-11,18.02,18.05,17.89,18.01,496000,18.01
2015-02-10,18.04,18.22,17.70,18.10,558100,18.10
2015-02-09,18.04,18.45,17.65,17.98,484100,17.98
2015-02-06,16.69,18.25,16.69,18.06,2421800,18.06
2015-02-05,16.78,17.09,16.52,16.57,391400,16.57
2015-02-04,16.86,17.30,16.58,16.67,272000,16.67
2015-02-03,16.50,17.13,16.40,17.00,280300,17.00
2015-02-02,16.82,16.88,15.92,16.21,463900,16.21
2015-01-30,17.45,17.92,16.66,16.81,584400,16.81
2015-01-29,17.73,18.02,17.59,17.92,278000,17.92
2015-01-28,18.00,18.08,17.42,17.68,192000,17.68
2015-01-27,17.98,18.26,17.76,17.95,339400,17.95
2015-01-26,17.63,18.25,17.59,18.25,389900,18.25
2015-01-23,17.15,17.92,17.08,17.64,171300,17.64
2015-01-22,17.25,17.57,16.99,17.13,582200,17.13
2015-01-21,16.92,17.31,16.92,17.16,245000,17.16
2015-01-20,17.01,17.11,16.63,17.04,241700,17.04
2015-01-16,16.07,17.10,16.03,17.05,302300,17.05
2015-01-15,17.49,17.51,16.06,16.13,687000,16.13
2015-01-14,17.60,17.83,17.40,17.51,236600,17.51
2015-01-13,17.51,17.98,17.09,17.83,253500,17.83
2015-01-12,17.50,17.72,17.06,17.34,168000,17.34
2015-01-09,17.59,17.69,17.23,17.56,193200,17.56
2015-01-08,17.95,17.95,17.20,17.54,407300,17.54
2015-01-07,17.93,18.23,17.21,17.84,351600,17.84
2015-01-06,17.95,18.07,16.87,17.85,314600,17.85
2015-01-05,18.12,18.48,17.67,17.92,217000,17.92
2015-01-02,18.50,18.57,17.69,18.34,290400,18.34
