Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,17.72,17.92,17.59,17.92,378100,17.92
2015-04-07,17.71,17.88,17.56,17.73,430300,17.73
2015-04-06,17.45,18.07,17.27,17.75,1135300,17.75
2015-04-02,17.08,17.58,16.97,17.36,681200,17.36
2015-04-01,17.03,17.12,16.93,17.10,443100,17.10
2015-03-31,16.78,17.15,16.70,17.07,494300,17.07
2015-03-30,16.53,16.88,16.44,16.83,332000,16.83
2015-03-27,16.37,16.59,16.25,16.52,188700,16.52
2015-03-26,16.46,16.48,16.20,16.35,356400,16.35
2015-03-25,16.79,16.79,16.39,16.50,478400,16.50
2015-03-24,16.72,16.78,16.56,16.76,228900,16.76
2015-03-23,16.50,16.91,16.41,16.65,366900,16.65
2015-03-20,16.49,16.51,16.20,16.49,440300,16.49
2015-03-19,16.15,16.55,16.00,16.42,358400,16.42
2015-03-18,16.34,16.43,16.06,16.23,349400,16.23
2015-03-17,16.38,16.41,16.09,16.35,219600,16.35
2015-03-16,16.05,16.65,16.05,16.40,598800,16.40
2015-03-13,15.69,16.04,15.57,16.00,560900,16.00
2015-03-12,15.51,15.92,15.17,15.64,656000,15.64
2015-03-11,15.25,15.39,15.07,15.35,880600,15.35
2015-03-10,15.42,15.54,15.23,15.26,357200,15.26
2015-03-09,15.51,15.70,15.40,15.53,478900,15.53
2015-03-06,15.84,16.09,15.55,15.55,392600,15.55
2015-03-05,16.07,16.11,15.85,15.96,440000,15.96
2015-03-04,15.90,16.10,15.75,16.04,534600,16.04
2015-03-03,15.84,16.00,15.68,15.93,563400,15.93
2015-03-02,15.75,16.05,15.63,16.00,581000,16.00
2015-02-27,15.69,15.93,15.64,15.77,639100,15.77
2015-02-26,14.84,16.60,14.74,15.68,2146100,15.68
2015-02-25,14.24,14.91,14.24,14.62,811000,14.62
2015-02-24,14.59,14.69,14.28,14.52,527400,14.52
2015-02-23,14.74,14.92,14.24,14.62,594600,14.62
2015-02-20,14.93,14.97,14.68,14.82,234900,14.82
2015-02-19,14.69,14.94,14.54,14.89,318700,14.89
2015-02-18,14.48,14.77,14.32,14.75,340300,14.75
2015-02-17,14.48,14.58,14.32,14.47,360700,14.47
2015-02-13,14.33,14.73,14.33,14.51,318600,14.51
2015-02-12,14.36,14.44,14.22,14.30,206500,14.30
2015-02-11,14.32,14.49,14.18,14.27,259100,14.27
2015-02-10,14.26,14.42,14.01,14.38,309500,14.38
2015-02-09,14.20,14.32,14.01,14.16,349700,14.16
2015-02-06,14.29,14.41,14.15,14.27,301300,14.27
2015-02-05,14.19,14.44,14.08,14.33,308900,14.33
2015-02-04,14.16,14.19,14.05,14.13,217900,14.13
2015-02-03,14.27,14.45,14.06,14.21,376800,14.21
2015-02-02,13.93,14.28,13.70,14.23,710700,14.23
2015-01-30,14.24,14.37,13.91,13.93,481900,13.93
2015-01-29,14.29,14.42,14.03,14.37,375300,14.37
2015-01-28,14.60,14.66,14.21,14.23,495200,14.23
2015-01-27,14.46,14.71,14.40,14.50,362700,14.50
2015-01-26,14.48,14.65,14.38,14.57,442600,14.57
2015-01-23,14.52,14.60,14.36,14.47,608200,14.47
2015-01-22,14.37,14.57,14.09,14.54,552200,14.54
2015-01-21,14.43,14.63,14.18,14.27,380800,14.27
2015-01-20,14.10,14.51,13.87,14.43,748900,14.43
2015-01-16,13.87,14.29,13.71,14.10,476800,14.10
2015-01-15,14.35,14.35,13.84,13.93,538400,13.93
2015-01-14,14.37,14.57,14.27,14.35,565200,14.35
2015-01-13,14.95,15.03,14.39,14.46,1343300,14.46
2015-01-12,15.17,15.31,14.98,15.10,530500,15.10
2015-01-09,14.99,15.12,14.76,15.10,606700,15.10
2015-01-08,14.86,15.31,14.75,15.01,624400,15.01
2015-01-07,14.91,15.38,14.68,15.16,865900,15.16
2015-01-06,15.09,15.32,14.68,14.84,433800,14.84
2015-01-05,14.88,15.54,14.75,15.06,417800,15.06
2015-01-02,15.42,15.66,14.79,14.97,648500,14.97
