Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,1.83,1.90,1.83,1.87,111400,1.87
2014-12-30,1.89,1.90,1.80,1.82,103100,1.82
2014-12-29,1.84,1.90,1.84,1.89,80500,1.89
2014-12-26,1.86,1.88,1.84,1.85,62200,1.85
2014-12-24,1.85,1.88,1.84,1.85,87700,1.85
2014-12-23,1.87,1.87,1.84,1.85,51900,1.85
2014-12-22,1.89,1.90,1.85,1.86,45400,1.86
2014-12-19,1.91,1.92,1.88,1.88,46000,1.88
2014-12-18,1.92,1.94,1.90,1.90,115300,1.90
2014-12-17,1.92,1.92,1.90,1.91,42500,1.91
2014-12-16,1.95,1.95,1.92,1.93,38800,1.93
2014-12-15,1.98,1.98,1.92,1.95,74200,1.95
2014-12-12,1.94,1.99,1.91,1.99,33100,1.99
2014-12-11,1.91,1.99,1.91,1.96,52600,1.96
2014-12-10,1.98,2.00,1.88,1.88,28600,1.88
2014-12-09,1.99,2.01,1.98,1.98,15300,1.98
2014-12-08,2.02,2.07,1.98,1.99,68700,1.99
2014-12-05,2.03,2.08,2.01,2.02,92500,2.02
2014-12-04,2.02,2.06,2.01,2.02,66700,2.02
2014-12-03,2.06,2.07,2.02,2.02,52800,2.02
2014-12-02,2.05,2.09,2.04,2.07,7400,2.07
2014-12-01,2.10,2.10,1.84,2.05,138500,2.05
2014-11-28,2.08,2.09,2.05,2.07,15000,2.07
2014-11-26,2.12,2.12,2.05,2.08,30600,2.08
2014-11-25,2.04,2.15,2.03,2.09,50500,2.09
2014-11-24,2.01,2.11,2.01,2.05,76800,2.05
2014-11-21,2.00,2.04,2.00,2.01,42800,2.01
2014-11-20,2.03,2.04,1.96,2.04,16700,2.04
2014-11-19,1.95,2.07,1.90,2.07,36500,2.07
2014-11-18,1.99,2.04,1.93,1.98,38600,1.98
2014-11-17,1.96,2.05,1.93,1.96,44800,1.96
2014-11-14,1.92,1.95,1.83,1.91,25400,1.91
2014-11-13,1.90,1.95,1.90,1.94,22500,1.94
2014-11-12,1.90,1.96,1.88,1.94,87000,1.94
2014-11-11,1.99,1.99,1.81,1.88,189900,1.88
2014-11-10,1.98,2.04,1.98,1.99,18200,1.99
2014-11-07,2.05,2.05,1.99,2.01,20800,2.01
2014-11-06,2.08,2.08,1.97,2.02,53600,2.02
2014-11-05,2.07,2.10,2.04,2.08,17600,2.08
2014-11-04,2.13,2.14,2.05,2.07,39400,2.07
2014-11-03,2.18,2.20,2.11,2.13,30800,2.13
2014-10-31,2.08,2.20,1.98,2.18,85500,2.18
2014-10-30,2.06,2.06,2.00,2.04,23500,2.04
2014-10-29,2.14,2.14,2.06,2.06,21500,2.06
2014-10-28,2.12,2.15,2.12,2.13,24000,2.13
2014-10-27,2.16,2.17,2.06,2.13,30100,2.13
2014-10-24,2.10,2.13,2.10,2.12,15400,2.12
2014-10-23,2.15,2.15,2.07,2.11,30000,2.11
2014-10-22,2.14,2.19,2.08,2.10,26600,2.10
2014-10-21,2.22,2.24,2.07,2.12,46000,2.12
2014-10-20,2.17,2.19,2.12,2.18,45700,2.18
2014-10-17,2.05,2.20,2.00,2.18,23700,2.18
2014-10-16,1.95,2.02,1.94,2.01,20500,2.01
2014-10-15,1.86,1.97,1.85,1.95,92500,1.95
2014-10-14,1.87,1.90,1.85,1.87,53300,1.87
2014-10-13,1.94,1.95,1.84,1.88,84300,1.88
2014-10-10,1.66,2.00,1.66,1.94,159400,1.94
2014-10-09,1.98,2.03,1.98,2.02,76900,2.02
2014-10-08,1.90,1.95,1.88,1.93,34500,1.93
2014-10-07,1.91,1.94,1.88,1.90,56600,1.90
2014-10-06,1.98,1.99,1.87,1.94,112700,1.94
2014-10-03,2.00,2.01,1.77,1.98,388200,1.98
2014-10-02,2.00,2.03,1.95,2.00,236900,2.00
2014-10-01,2.10,2.11,2.00,2.00,101600,2.00
2014-09-30,2.17,2.17,2.09,2.11,28500,2.11
2014-09-29,2.12,2.22,2.05,2.16,44100,2.16
2014-09-26,2.12,2.14,2.08,2.10,55400,2.10
2014-09-25,2.17,2.24,2.12,2.14,132600,2.14
2014-09-24,2.05,2.17,2.05,2.15,348700,2.15
2014-09-23,2.38,2.38,2.17,2.18,225800,2.18
2014-09-22,2.36,2.52,2.34,2.39,100500,2.39
2014-09-19,2.46,2.49,2.30,2.34,78400,2.34
2014-09-18,2.49,2.53,2.47,2.47,12200,2.47
2014-09-17,2.51,2.51,2.48,2.49,14900,2.49
2014-09-16,2.55,2.63,2.49,2.50,36500,2.50
2014-09-15,2.50,2.56,2.50,2.54,48300,2.54
2014-09-12,2.56,2.59,2.52,2.55,18600,2.55
2014-09-11,2.60,2.61,2.52,2.58,46800,2.58
2014-09-10,2.59,2.63,2.56,2.59,47800,2.59
2014-09-09,2.60,2.64,2.59,2.61,18300,2.61
2014-09-08,2.61,2.70,2.60,2.61,35200,2.61
2014-09-05,2.62,2.66,2.56,2.61,16300,2.61
2014-09-04,2.57,2.63,2.54,2.61,25800,2.61
2014-09-03,2.52,2.55,2.50,2.52,23500,2.52
2014-09-02,2.55,2.55,2.50,2.50,62000,2.50
2014-08-29,2.56,2.58,2.52,2.56,39000,2.56
2014-08-28,2.50,2.59,2.48,2.57,46000,2.57
2014-08-27,2.55,2.55,2.48,2.53,42600,2.53
2014-08-26,2.50,2.57,2.50,2.57,29700,2.57
