Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,9.30,9.43,9.29,9.37,13000,9.25
2014-12-30,9.29,9.47,9.29,9.34,11900,9.22
2014-12-29,9.56,9.68,9.30,9.37,36500,9.25
2014-12-26,9.67,9.79,9.53,9.63,9000,9.51
2014-12-24,9.60,9.91,9.58,9.61,7700,9.49
2014-12-23,9.28,9.77,9.28,9.61,50800,9.49
2014-12-22,9.46,9.67,9.30,9.34,29600,9.22
2014-12-19,9.62,9.70,9.49,9.49,24400,9.37
2014-12-18,9.41,9.60,9.41,9.59,78100,9.47
2014-12-17,9.50,9.63,9.30,9.38,35100,9.26
2014-12-16,10.00,10.07,9.50,9.50,35700,9.38
2014-12-15,10.19,10.36,9.92,10.06,36800,9.93
2014-12-12,10.49,10.50,10.14,10.19,16400,10.06
2014-12-11,10.43,10.58,10.22,10.49,21900,10.36
2014-12-10,10.30,10.75,10.19,10.36,62000,10.23
2014-12-09,10.57,10.57,10.28,10.40,37700,10.27
2014-12-08,10.68,10.68,10.50,10.50,75400,10.37
2014-12-05,10.23,10.60,10.23,10.56,64600,10.43
2014-12-04,10.10,10.49,9.94,10.12,33000,9.99
2014-12-03,10.06,10.16,9.92,10.01,16800,9.88
2014-12-02,9.76,10.24,9.76,10.05,38200,9.92
2014-12-01,9.80,9.86,9.65,9.65,25200,9.53
2014-11-28,9.86,9.95,9.74,9.76,3200,9.64
2014-11-26,9.82,9.96,9.77,9.87,8900,9.75
2014-11-25,9.94,9.99,9.75,9.75,24100,9.63
2014-11-24,10.00,10.15,9.69,9.85,53500,9.73
2014-11-21,9.96,10.50,9.82,10.04,54500,9.91
2014-11-20,10.30,10.45,10.02,10.07,17700,9.94
2014-11-19,10.47,10.47,10.26,10.29,24700,10.16
2014-11-18,10.27,10.58,9.84,10.39,61600,10.26
2014-11-17,9.94,10.58,9.69,10.19,120500,10.06
2014-11-14,9.92,10.09,9.86,10.01,17500,9.88
2014-11-13,10.20,10.39,9.80,10.08,47300,9.85
2014-11-12,10.03,10.32,10.00,10.24,24000,10.00
2014-11-11,10.02,10.20,9.70,10.19,39700,9.95
2014-11-10,10.20,10.30,10.03,10.10,37500,9.86
2014-11-07,10.44,10.58,10.00,10.09,50100,9.86
2014-11-06,10.64,10.85,10.21,10.34,49600,10.10
2014-11-05,10.60,10.90,10.29,10.65,85700,10.40
2014-11-04,10.78,10.91,10.49,10.59,57300,10.34
2014-11-03,11.00,11.02,10.69,10.87,58600,10.62
2014-10-31,11.15,11.20,10.60,10.90,56300,10.65
2014-10-30,11.19,11.35,10.52,11.09,143800,10.83
2014-10-29,10.80,11.39,10.79,11.38,104300,11.11
2014-10-28,10.74,10.83,10.49,10.78,84000,10.53
