Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,1.29,1.36,1.21,1.34,138400,1.34
2014-12-30,1.29,1.33,1.24,1.30,93500,1.30
2014-12-29,1.35,1.35,1.26,1.32,84900,1.32
2014-12-26,1.32,1.38,1.32,1.36,108400,1.36
2014-12-24,1.40,1.40,1.31,1.34,45100,1.34
2014-12-23,1.36,1.38,1.32,1.37,76800,1.37
2014-12-22,1.30,1.40,1.30,1.33,170600,1.33
2014-12-19,1.25,1.45,1.25,1.30,306600,1.30
2014-12-18,1.28,1.31,1.20,1.27,302800,1.27
2014-12-17,1.27,1.29,1.23,1.28,71800,1.28
2014-12-16,1.20,1.29,1.20,1.27,124200,1.27
2014-12-15,1.30,1.30,1.23,1.25,63700,1.25
2014-12-12,1.25,1.32,1.25,1.30,272100,1.30
2014-12-11,1.25,1.30,1.22,1.27,182200,1.27
2014-12-10,1.27,1.30,1.24,1.24,75600,1.24
2014-12-09,1.21,1.29,1.15,1.29,172000,1.29
2014-12-08,1.19,1.26,1.19,1.21,53400,1.21
2014-12-05,1.15,1.25,1.13,1.25,52800,1.25
2014-12-04,1.17,1.18,1.13,1.18,32800,1.18
2014-12-03,1.16,1.22,1.13,1.20,189200,1.20
2014-12-02,1.15,1.18,1.08,1.18,89600,1.18
2014-12-01,1.04,1.18,1.02,1.18,247000,1.18
2014-11-28,1.04,1.07,1.01,1.04,116900,1.04
2014-11-26,1.04,1.04,0.99,1.03,37000,1.03
2014-11-25,0.99,1.05,0.99,1.02,122800,1.02
2014-11-24,1.01,1.02,1.00,1.01,34100,1.01
2014-11-21,1.00,1.03,0.98,1.03,101600,1.03
2014-11-20,1.04,1.04,0.99,1.01,114000,1.01
2014-11-19,1.02,1.10,0.99,1.05,150900,1.05
2014-11-18,1.06,1.10,1.03,1.05,43700,1.05
2014-11-17,1.02,1.10,1.00,1.10,134100,1.10
2014-11-14,1.02,1.03,1.00,1.02,50700,1.02
2014-11-13,1.05,1.08,1.02,1.06,150000,1.06
2014-11-12,1.02,1.10,0.99,1.10,190300,1.10
2014-11-11,1.07,1.11,1.02,1.07,138400,1.07
2014-11-10,1.12,1.14,1.06,1.08,135800,1.08
2014-11-07,1.15,1.15,1.10,1.14,34300,1.14
2014-11-06,1.18,1.18,1.12,1.17,21400,1.17
2014-11-05,1.13,1.19,1.12,1.18,24400,1.18
2014-11-04,1.15,1.19,1.15,1.16,84000,1.16
2014-11-03,1.11,1.17,1.11,1.17,15800,1.17
2014-10-31,1.15,1.19,1.01,1.13,118500,1.13
2014-10-30,1.02,1.12,0.99,1.11,101200,1.11
2014-10-29,1.10,1.10,1.04,1.04,53400,1.04
2014-10-28,1.07,1.10,1.06,1.10,35600,1.10
2014-10-27,1.07,1.07,1.03,1.03,40900,1.03
2014-10-24,1.11,1.11,1.02,1.07,107300,1.07
2014-10-23,1.09,1.13,1.05,1.07,105200,1.07
2014-10-22,1.11,1.11,1.07,1.09,1100,1.09
2014-10-21,1.11,1.11,1.06,1.09,29600,1.09
2014-10-20,1.05,1.10,1.00,1.09,165500,1.09
2014-10-17,1.09,1.13,1.00,1.07,69400,1.07
2014-10-16,1.08,1.13,1.01,1.10,58500,1.10
2014-10-15,1.02,1.12,1.00,1.11,17200,1.11
2014-10-14,1.08,1.10,0.96,1.06,129900,1.06
2014-10-13,1.14,1.14,1.10,1.10,124300,1.10
2014-10-10,1.13,1.14,1.10,1.14,11300,1.14
2014-10-09,1.14,1.17,1.11,1.13,59100,1.13
2014-10-08,1.15,1.19,1.13,1.13,24500,1.13
2014-10-07,1.18,1.20,1.14,1.19,46500,1.19
2014-10-06,1.20,1.22,1.18,1.19,47900,1.19
2014-10-03,1.16,1.20,1.16,1.19,37400,1.19
2014-10-02,1.17,1.17,1.15,1.16,13600,1.16
2014-10-01,1.14,1.19,1.13,1.19,21000,1.19
2014-09-30,1.14,1.17,1.12,1.15,30100,1.15
2014-09-29,1.15,1.17,1.11,1.15,25700,1.15
2014-09-26,1.11,1.17,1.11,1.15,46600,1.15
2014-09-25,1.21,1.21,1.11,1.12,147200,1.12
2014-09-24,1.22,1.25,1.21,1.22,41600,1.22
2014-09-23,1.19,1.24,1.19,1.24,70900,1.24
2014-09-22,1.25,1.28,1.21,1.22,90800,1.22
2014-09-19,1.26,1.29,1.17,1.28,93700,1.28
2014-09-18,1.29,1.32,1.23,1.26,78000,1.26
2014-09-17,1.17,1.34,1.16,1.29,90800,1.29
2014-09-16,1.20,1.24,1.16,1.20,18900,1.20
2014-09-15,1.22,1.24,1.17,1.23,39000,1.23
2014-09-12,1.22,1.22,1.20,1.20,63500,1.20
2014-09-11,1.16,1.25,1.13,1.23,171600,1.23
2014-09-10,1.18,1.18,1.14,1.17,84700,1.17
2014-09-09,1.20,1.20,1.14,1.16,136500,1.16
2014-09-08,1.16,1.19,1.12,1.19,129900,1.19
2014-09-05,1.25,1.25,1.15,1.17,163000,1.17
2014-09-04,1.33,1.33,1.20,1.21,127800,1.21
2014-09-03,1.35,1.35,1.26,1.29,36300,1.29
2014-09-02,1.34,1.36,1.29,1.31,24400,1.31
2014-08-29,1.33,1.38,1.33,1.36,11400,1.36
2014-08-28,1.34,1.34,1.31,1.34,5100,1.34
2014-08-27,1.37,1.37,1.34,1.34,5300,1.34
2014-08-26,1.38,1.39,1.33,1.34,15000,1.34
2014-08-25,1.35,1.39,1.33,1.36,96200,1.36
2014-08-22,1.33,1.38,1.33,1.36,34400,1.36
2014-08-21,1.38,1.38,1.30,1.35,33000,1.35
2014-08-20,1.37,1.42,1.35,1.35,17000,1.35
2014-08-19,1.43,1.43,1.36,1.40,15900,1.40
2014-08-18,1.38,1.43,1.36,1.40,15700,1.40
2014-08-15,1.38,1.43,1.33,1.37,30500,1.37
2014-08-14,1.36,1.40,1.35,1.40,13400,1.40
2014-08-13,1.35,1.40,1.32,1.38,40900,1.38
2014-08-12,1.34,1.38,1.31,1.36,20800,1.36
2014-08-11,1.25,1.34,1.25,1.32,76100,1.32
2014-08-08,1.25,1.27,1.23,1.27,87600,1.27
2014-08-07,1.35,1.36,1.27,1.28,84700,1.28
2014-08-06,1.39,1.39,1.35,1.37,7000,1.37
2014-08-05,1.42,1.42,1.37,1.37,32500,1.37
2014-08-04,1.46,1.46,1.33,1.40,147000,1.40
2014-08-01,1.50,1.50,1.42,1.44,116900,1.44
2014-07-31,1.50,1.58,1.47,1.51,58400,1.51
2014-07-30,1.63,1.63,1.52,1.58,29900,1.58
2014-07-29,1.61,1.61,1.54,1.59,12000,1.59
2014-07-28,1.59,1.59,1.52,1.56,53500,1.56
2014-07-25,1.60,1.61,1.56,1.58,26100,1.58
2014-07-24,1.65,1.67,1.61,1.63,46300,1.63
2014-07-23,1.60,1.64,1.59,1.61,70800,1.61
2014-07-22,1.61,1.67,1.60,1.65,52000,1.65
2014-07-21,1.61,1.64,1.57,1.57,61700,1.57
2014-07-18,1.55,1.64,1.55,1.61,66700,1.61
2014-07-17,1.65,1.67,1.60,1.65,52600,1.65
2014-07-16,1.66,1.68,1.64,1.68,13700,1.68
2014-07-15,1.68,1.68,1.65,1.68,31800,1.68
2014-07-14,1.65,1.68,1.63,1.68,33500,1.68
2014-07-11,1.64,1.68,1.62,1.66,35300,1.66
2014-07-10,1.67,1.68,1.62,1.68,11500,1.68
2014-07-09,1.67,1.68,1.65,1.67,24900,1.67
2014-07-08,1.66,1.70,1.64,1.65,27100,1.65
2014-07-07,1.68,1.70,1.65,1.70,36500,1.70
2014-07-03,1.70,1.73,1.68,1.69,10900,1.69
2014-07-02,1.69,1.69,1.67,1.69,2900,1.69
2014-07-01,1.69,1.70,1.66,1.70,42400,1.70
2014-06-30,1.72,1.72,1.68,1.70,33800,1.70
2014-06-27,1.67,1.73,1.67,1.73,12100,1.73
2014-06-26,1.68,1.70,1.66,1.69,12300,1.69
2014-06-25,1.67,1.71,1.67,1.67,8000,1.67
2014-06-24,1.67,1.71,1.63,1.68,60100,1.68
2014-06-23,1.67,1.70,1.65,1.67,9700,1.67
2014-06-20,1.68,1.70,1.65,1.65,27700,1.65
2014-06-19,1.67,1.68,1.64,1.68,12600,1.68
2014-06-18,1.67,1.67,1.63,1.67,130700,1.67
2014-06-17,1.65,1.68,1.62,1.68,67800,1.68
2014-06-16,1.73,1.73,1.65,1.68,73800,1.68
2014-06-13,1.79,1.79,1.70,1.72,50600,1.72
2014-06-12,1.78,1.80,1.70,1.76,62000,1.76
2014-06-11,1.79,1.79,1.75,1.79,67400,1.79
2014-06-10,1.78,1.80,1.74,1.79,148100,1.79
2014-06-09,1.72,1.78,1.67,1.73,186700,1.73
2014-06-06,1.73,1.79,1.65,1.72,237800,1.72
2014-06-05,1.68,1.75,1.63,1.72,236700,1.72
2014-06-04,1.60,1.73,1.54,1.66,417000,1.66
2014-06-03,1.58,1.61,1.55,1.57,199800,1.57
2014-06-02,1.58,1.58,1.54,1.55,28500,1.55
2014-05-30,1.48,1.56,1.48,1.55,70300,1.55
2014-05-29,1.49,1.52,1.47,1.50,56600,1.50
2014-05-28,1.52,1.52,1.48,1.51,19100,1.51
2014-05-27,1.59,1.60,1.48,1.52,212800,1.52
2014-05-23,1.60,1.60,1.44,1.60,317300,1.60
2014-05-22,1.56,1.62,1.54,1.57,41200,1.57
2014-05-21,1.51,1.62,1.45,1.58,173400,1.58
2014-05-20,1.60,1.60,1.50,1.52,100800,1.52
2014-05-19,1.45,1.54,1.42,1.53,241900,1.53
2014-05-16,1.46,1.46,1.41,1.46,18800,1.46
