Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,15.50,15.64,15.45,15.64,8000,15.64
2015-04-07,15.49,15.65,15.41,15.53,15800,15.53
2015-04-06,15.32,15.68,15.32,15.42,7400,15.42
2015-04-02,15.43,15.56,15.25,15.37,13700,15.37
2015-04-01,15.25,15.69,15.16,15.43,28200,15.43
2015-03-31,15.50,15.56,15.21,15.37,28900,15.37
2015-03-30,15.53,15.70,15.38,15.58,8200,15.58
2015-03-27,15.58,15.68,15.46,15.51,20600,15.51
2015-03-26,15.44,15.52,15.42,15.52,11800,15.52
2015-03-25,15.66,15.69,15.42,15.49,28400,15.49
2015-03-24,15.49,15.73,15.49,15.65,31900,15.65
2015-03-23,15.59,15.72,15.58,15.66,12700,15.66
2015-03-20,15.33,15.69,15.33,15.67,57900,15.67
2015-03-19,15.18,15.33,15.08,15.31,6200,15.31
2015-03-18,15.21,15.32,14.98,15.26,22400,15.26
2015-03-17,15.05,15.33,15.05,15.26,7900,15.26
2015-03-16,15.23,15.24,15.13,15.23,11400,15.23
2015-03-13,15.21,15.24,14.92,15.09,14700,15.09
2015-03-12,14.94,15.25,14.80,15.24,22400,15.24
2015-03-11,14.92,15.20,14.75,14.76,28400,14.76
2015-03-10,14.83,14.97,14.83,14.85,16400,14.85
2015-03-09,14.81,15.01,14.81,14.97,10400,14.97
2015-03-06,14.75,15.00,14.75,14.76,17700,14.76
2015-03-05,14.82,14.94,14.75,14.79,14800,14.79
2015-03-04,14.78,14.85,14.73,14.81,23800,14.81
2015-03-03,14.98,14.98,14.88,14.88,3100,14.83
2015-03-02,14.89,15.09,14.88,15.06,17400,15.01
2015-02-27,14.86,15.00,14.86,14.86,22100,14.81
2015-02-26,14.90,14.99,14.89,14.92,12800,14.87
2015-02-25,15.00,15.01,14.87,14.87,9500,14.82
2015-02-24,14.95,15.00,14.92,15.00,16800,14.95
2015-02-23,14.93,14.93,14.86,14.92,16100,14.87
2015-02-20,15.04,15.04,14.86,14.95,14200,14.90
2015-02-19,15.02,15.05,15.00,15.00,8500,14.95
2015-02-18,14.97,15.08,14.93,15.07,15600,15.02
2015-02-17,15.24,15.24,14.95,15.01,10800,14.96
2015-02-13,15.21,15.24,15.11,15.20,10700,15.15
2015-02-12,15.00,15.11,14.97,15.09,11100,15.04
2015-02-11,15.07,15.09,14.96,14.96,13900,14.91
2015-02-10,15.20,15.32,15.01,15.14,12800,15.09
2015-02-09,15.31,15.41,15.02,15.04,13800,14.99
2015-02-06,15.47,15.51,15.27,15.41,20400,15.36
2015-02-05,14.95,15.56,14.95,15.40,19600,15.35
2015-02-04,14.93,15.17,14.93,15.02,24100,14.97
2015-02-03,14.93,15.30,14.90,14.95,45900,14.90
2015-02-02,14.75,15.00,14.75,14.94,114600,14.89
2015-01-30,15.10,15.36,14.43,14.75,31100,14.70
2015-01-29,14.75,15.39,14.75,15.25,32300,15.20
2015-01-28,15.33,15.33,14.95,14.99,27200,14.94
2015-01-27,15.11,15.33,15.11,15.23,18600,15.18
2015-01-26,15.34,15.60,15.25,15.26,12900,15.21
2015-01-23,15.71,15.71,15.22,15.39,6600,15.34
2015-01-22,15.21,15.75,15.11,15.75,20100,15.70
2015-01-21,15.21,15.30,14.98,15.13,15400,15.08
2015-01-20,15.51,15.51,15.22,15.27,12400,15.22
2015-01-16,14.93,15.55,14.93,15.51,24900,15.46
2015-01-15,15.25,15.25,14.93,14.99,29900,14.94
2015-01-14,15.24,15.46,15.22,15.29,14200,15.24
2015-01-13,15.31,15.78,15.25,15.40,17000,15.35
2015-01-12,15.26,15.47,15.15,15.31,30600,15.26
2015-01-09,15.69,15.69,15.26,15.31,8500,15.26
2015-01-08,15.63,15.85,15.61,15.73,12500,15.68
2015-01-07,15.64,15.64,15.48,15.55,13600,15.50
2015-01-06,15.80,15.91,15.50,15.50,15700,15.45
2015-01-05,15.99,16.05,15.81,15.83,14100,15.78
2015-01-02,16.41,16.44,16.00,16.09,23300,16.04
