Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,18.45,18.45,18.45,18.45,100,18.32
2014-12-30,18.65,19.70,18.65,19.70,2300,19.56
2014-12-29,19.70,19.70,19.70,19.70,300,19.56
2014-12-26,19.60,19.60,19.60,19.60,000,19.41
2014-12-24,18.43,18.43,18.43,18.43,000,18.25
2014-12-23,19.60,19.60,19.60,19.60,700,19.41
2014-12-22,19.60,19.60,19.60,19.60,000,19.41
2014-12-19,19.60,19.60,19.60,19.60,000,19.41
2014-12-18,19.60,19.60,19.60,19.60,600,19.41
2014-12-17,18.43,19.60,18.43,19.02,1600,18.84
2014-12-16,18.71,18.71,18.71,18.71,000,18.53
2014-12-15,18.71,18.71,18.71,18.71,800,18.53
2014-12-12,19.20,19.49,19.20,19.49,1000,19.30
2014-12-11,18.70,19.20,18.70,19.20,600,19.02
2014-12-10,18.70,19.59,18.70,19.59,1200,19.40
2014-12-09,18.55,19.55,18.55,19.55,1100,19.24
2014-12-08,19.59,19.60,19.59,19.60,1600,19.29
2014-12-05,18.62,18.66,18.62,18.66,400,18.37
2014-12-04,18.60,18.65,18.60,18.62,500,18.33
2014-12-03,19.00,19.00,18.60,18.60,2000,18.31
2014-12-02,19.54,19.54,18.64,19.18,1000,18.88
2014-12-01,19.00,19.00,19.00,19.00,300,18.70
2014-11-28,19.68,19.68,19.68,19.68,200,19.37
2014-11-26,18.61,18.61,18.61,18.61,100,18.32
2014-11-25,19.70,19.70,19.70,19.70,600,19.39
2014-11-24,18.68,18.68,18.68,18.68,100,18.39
2014-11-21,19.70,19.70,19.70,19.70,1100,19.39
2014-11-20,19.70,19.70,19.70,19.70,600,19.39
2014-11-19,19.70,19.70,19.59,19.59,500,19.28
2014-11-18,19.76,19.76,19.50,19.50,1100,19.19
2014-11-17,18.67,20.00,18.67,19.80,1000,19.49
2014-11-14,19.00,19.00,18.75,18.75,900,18.46
2014-11-13,19.78,19.78,19.75,19.75,900,19.44
2014-11-12,18.75,20.00,18.75,19.73,2100,19.42
2014-11-11,18.41,18.41,18.41,18.41,000,18.12
2014-11-10,18.41,18.41,18.41,18.41,000,18.12
