Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,78.09,78.57,77.78,78.54,168400,78.54
2015-04-07,78.59,78.91,77.84,78.09,173100,78.09
2015-04-06,77.72,79.28,77.65,78.91,247000,78.91
2015-04-02,77.60,78.82,77.43,78.26,245500,78.01
2015-04-01,76.00,77.78,75.56,77.56,439800,77.31
2015-03-31,75.87,76.50,75.53,76.34,215300,76.10
2015-03-30,77.00,77.00,75.82,76.24,206200,76.00
2015-03-27,75.57,75.98,74.66,75.45,361200,75.21
2015-03-26,76.72,77.18,74.99,75.53,211600,75.29
2015-03-25,78.65,78.94,77.11,77.24,352600,76.99
2015-03-24,78.11,78.75,77.39,78.45,320400,78.20
2015-03-23,77.93,78.55,77.31,78.31,361400,78.06
2015-03-20,77.90,78.62,77.83,78.12,596100,77.87
2015-03-19,77.24,77.73,76.83,77.61,205500,77.36
2015-03-18,76.61,78.05,76.17,77.62,273100,77.37
2015-03-17,76.91,77.35,76.22,76.57,272300,76.33
2015-03-16,75.80,77.51,75.61,77.31,241400,77.06
2015-03-13,75.30,75.64,74.59,75.31,217400,75.07
2015-03-12,75.94,76.11,74.17,75.17,374000,74.93
2015-03-11,74.64,76.66,73.98,75.42,357800,75.18
2015-03-10,74.16,76.00,73.80,74.68,372900,74.44
2015-03-09,75.72,75.99,73.95,74.84,404800,74.60
2015-03-06,76.75,77.15,75.21,75.70,485200,75.46
2015-03-05,77.74,78.21,76.06,77.02,423200,76.77
2015-03-04,78.54,79.05,77.52,77.73,359300,77.48
2015-03-03,79.67,80.33,78.81,78.94,281800,78.69
2015-03-02,79.22,80.56,79.22,79.91,220000,79.65
2015-02-27,79.87,80.12,78.94,78.99,309000,78.74
2015-02-26,78.71,79.98,78.35,79.82,264500,79.57
2015-02-25,79.69,80.28,78.46,78.71,514800,78.46
2015-02-24,80.82,81.22,80.05,80.44,156700,80.18
2015-02-23,80.38,81.03,79.39,80.97,234700,80.71
2015-02-20,80.13,80.77,79.20,80.52,284100,80.26
2015-02-19,80.28,80.73,79.81,79.93,239300,79.67
2015-02-18,80.34,80.84,79.79,80.27,399500,80.01
2015-02-17,80.01,80.88,79.45,80.49,258300,80.23
2015-02-13,79.34,80.29,78.48,79.99,208800,79.73
2015-02-12,80.00,80.00,78.60,79.12,523800,78.87
2015-02-11,79.25,80.32,79.22,79.79,251100,79.54
2015-02-10,80.19,80.19,78.41,79.25,584000,79.00
2015-02-09,79.69,80.00,78.66,79.10,308200,78.85
2015-02-06,79.85,80.62,79.16,79.84,441900,79.58
2015-02-05,82.00,83.94,77.72,79.89,1474700,79.63
2015-02-04,86.51,89.07,85.04,86.35,444300,86.07
2015-02-03,84.55,87.00,84.47,86.91,395000,86.63
2015-02-02,82.56,84.60,82.09,84.52,308800,84.25
2015-01-30,82.57,83.58,81.90,82.22,315400,81.96
2015-01-29,82.15,83.10,82.04,83.05,298700,82.78
2015-01-28,83.86,84.26,81.70,81.95,234500,81.69
2015-01-27,83.45,84.04,82.80,83.46,227900,83.19
2015-01-26,82.77,84.48,82.00,84.35,238300,84.08
2015-01-23,81.23,83.36,80.80,82.63,340600,82.37
2015-01-22,80.44,81.58,80.02,81.46,474400,81.20
2015-01-21,79.82,80.09,78.80,79.96,336200,79.70
2015-01-20,80.27,80.77,79.30,80.17,243700,79.91
2015-01-16,78.94,80.18,78.71,80.07,456200,79.81
2015-01-15,81.02,81.47,77.34,78.82,435200,78.57
2015-01-14,81.39,82.95,80.82,80.87,188300,80.61
2015-01-13,81.96,84.77,81.25,82.29,228500,82.03
2015-01-12,84.64,84.77,81.41,81.54,258300,81.28
2015-01-09,85.51,85.92,84.40,84.44,132100,84.17
2015-01-08,84.93,86.24,84.19,85.72,126100,85.45
2015-01-07,84.54,84.54,82.78,84.06,149100,83.79
2015-01-06,86.65,87.28,83.28,84.10,329400,83.83
2015-01-05,88.19,88.91,86.29,86.77,293200,86.49
2015-01-02,91.05,91.05,88.50,89.27,188800,88.74
