Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,3.24,3.25,2.96,3.00,188300,3.00
2015-04-07,3.25,3.29,3.20,3.21,85200,3.21
2015-04-06,3.25,3.34,3.15,3.26,166000,3.26
2015-04-02,3.08,3.42,3.05,3.25,427000,3.25
2015-04-01,2.82,2.87,2.81,2.86,35300,2.86
2015-03-31,2.77,2.86,2.77,2.83,106800,2.83
2015-03-30,2.81,2.84,2.78,2.80,91000,2.80
2015-03-27,2.85,2.88,2.79,2.82,73400,2.82
2015-03-26,2.91,2.94,2.85,2.85,57300,2.85
2015-03-25,3.06,3.06,2.91,2.93,68000,2.93
2015-03-24,3.02,3.09,2.96,3.05,89600,3.05
2015-03-23,2.90,3.05,2.88,3.04,69200,3.04
2015-03-20,2.96,2.99,2.88,2.90,95000,2.90
2015-03-19,2.94,2.96,2.82,2.94,35800,2.94
2015-03-18,2.96,3.05,2.89,2.94,125700,2.94
2015-03-17,2.88,3.03,2.88,2.95,103400,2.95
2015-03-16,2.92,2.96,2.82,2.90,69400,2.90
2015-03-13,2.95,2.95,2.89,2.92,54700,2.92
2015-03-12,2.96,2.99,2.92,2.95,82600,2.95
2015-03-11,2.94,3.03,2.93,2.94,167900,2.94
2015-03-10,3.07,3.07,2.95,2.99,104800,2.99
2015-03-09,3.07,3.17,3.05,3.11,164100,3.11
2015-03-06,3.14,3.16,3.10,3.12,102800,3.12
2015-03-05,3.20,3.24,3.14,3.18,84100,3.18
2015-03-04,3.27,3.28,3.20,3.21,62100,3.21
2015-03-03,3.29,3.43,3.25,3.30,134600,3.30
2015-03-02,3.42,3.51,3.12,3.35,302600,3.35
2015-02-27,3.55,3.60,3.45,3.47,93900,3.47
2015-02-26,3.58,3.65,3.52,3.56,75100,3.56
2015-02-25,3.60,3.62,3.53,3.57,59300,3.57
2015-02-24,3.63,3.67,3.60,3.61,31400,3.61
2015-02-23,3.69,3.76,3.61,3.65,59100,3.65
2015-02-20,3.70,3.74,3.67,3.71,72200,3.71
2015-02-19,3.74,3.79,3.67,3.69,85200,3.69
2015-02-18,3.75,3.83,3.70,3.78,63200,3.78
2015-02-17,3.85,3.90,3.75,3.75,71200,3.75
2015-02-13,3.78,3.89,3.78,3.82,41600,3.82
2015-02-12,3.89,3.96,3.77,3.78,96300,3.78
2015-02-11,3.81,3.97,3.81,3.85,120400,3.85
2015-02-10,3.80,3.87,3.77,3.85,136000,3.85
2015-02-09,3.75,3.80,3.75,3.80,62500,3.80
2015-02-06,3.85,3.87,3.76,3.76,52700,3.76
2015-02-05,3.92,3.92,3.78,3.84,82600,3.84
2015-02-04,3.87,3.93,3.67,3.92,155100,3.92
2015-02-03,3.81,3.98,3.78,3.90,191100,3.90
2015-02-02,3.85,4.00,3.81,3.81,72400,3.81
2015-01-30,3.87,3.99,3.79,3.79,63000,3.79
2015-01-29,3.87,3.94,3.82,3.92,37800,3.92
2015-01-28,3.93,4.00,3.83,3.84,68800,3.84
2015-01-27,3.75,3.97,3.75,3.90,64400,3.90
2015-01-26,3.70,3.88,3.70,3.77,106900,3.77
2015-01-23,3.68,3.69,3.59,3.61,81600,3.61
2015-01-22,3.70,3.73,3.60,3.68,78600,3.68
2015-01-21,3.67,3.79,3.65,3.65,40100,3.65
2015-01-20,3.80,3.85,3.68,3.70,75500,3.70
2015-01-16,3.75,3.85,3.75,3.84,42900,3.84
2015-01-15,3.87,3.90,3.71,3.76,73900,3.76
2015-01-14,3.87,4.06,3.67,3.85,91100,3.85
2015-01-13,3.83,3.92,3.75,3.82,96400,3.82
2015-01-12,3.74,3.86,3.65,3.78,75000,3.78
2015-01-09,3.85,3.90,3.69,3.72,65500,3.72
2015-01-08,3.73,3.93,3.73,3.84,52800,3.84
2015-01-07,3.77,3.91,3.58,3.68,138300,3.68
2015-01-06,3.91,3.95,3.76,3.76,49100,3.76
2015-01-05,3.89,4.03,3.82,3.88,79400,3.88
2015-01-02,3.96,3.96,3.82,3.90,58500,3.90
