Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,41.23,41.23,41.12,41.16,1000,41.16
2015-04-07,41.01,41.07,40.95,40.95,2900,40.95
2015-04-06,40.70,41.04,40.70,40.87,900,40.87
2015-04-02,40.41,40.58,40.41,40.58,1100,40.58
2015-04-01,40.20,40.20,40.20,40.20,000,40.20
2015-03-31,40.39,40.39,40.20,40.20,400,40.20
2015-03-30,40.51,40.70,40.40,40.70,2500,40.70
2015-03-27,39.92,40.00,39.92,40.00,900,40.00
2015-03-26,39.85,40.00,39.85,40.00,700,40.00
2015-03-25,41.12,41.12,40.14,40.15,3700,40.15
2015-03-24,41.13,41.13,40.92,41.11,2000,41.11
2015-03-23,40.83,40.83,40.83,40.83,000,40.83
2015-03-20,40.96,40.99,40.83,40.83,600,40.83
2015-03-19,40.55,40.55,40.37,40.37,800,40.37
2015-03-18,40.25,40.25,40.12,40.12,1400,40.12
2015-03-17,40.00,40.00,40.00,40.00,300,40.00
2015-03-16,40.08,40.08,39.98,40.00,900,40.00
2015-03-13,39.61,39.61,39.61,39.61,000,39.61
2015-03-12,39.61,39.61,39.61,39.61,000,39.61
2015-03-11,39.35,39.67,39.35,39.61,2600,39.61
2015-03-10,39.79,39.79,39.25,39.27,3300,39.27
2015-03-09,40.00,40.22,39.95,40.21,2800,40.21
2015-03-06,40.57,40.57,40.04,40.17,1200,40.17
2015-03-05,40.52,40.56,40.51,40.56,1000,40.56
2015-03-04,40.43,40.65,40.43,40.65,1600,40.65
2015-03-03,40.78,40.78,40.51,40.72,700,40.72
2015-03-02,40.72,40.89,40.72,40.89,800,40.89
2015-02-27,40.73,40.74,40.72,40.74,1300,40.74
2015-02-26,40.73,40.73,40.72,40.73,2000,40.73
2015-02-25,40.47,40.55,40.35,40.35,800,40.35
2015-02-24,40.41,40.41,40.41,40.41,300,40.41
2015-02-23,40.12,40.12,39.82,39.82,1600,39.82
2015-02-20,40.00,40.29,40.00,40.29,700,40.29
2015-02-19,39.99,40.14,39.99,39.99,500,39.99
2015-02-18,39.86,39.92,39.86,39.92,300,39.92
2015-02-17,39.95,39.99,39.91,39.91,1700,39.91
2015-02-13,39.86,39.86,39.76,39.76,400,39.76
2015-02-12,39.30,39.66,39.30,39.66,1900,39.66
2015-02-11,39.06,39.06,39.06,39.06,000,39.06
2015-02-10,38.89,39.06,38.89,39.06,800,39.06
2015-02-09,38.77,38.77,38.77,38.77,100,38.77
2015-02-06,39.21,39.21,39.21,39.21,000,39.21
2015-02-05,39.00,39.21,38.82,39.21,2500,39.21
2015-02-04,38.52,38.52,38.52,38.52,000,38.52
2015-02-03,38.39,38.60,38.39,38.52,1100,38.52
2015-02-02,37.65,37.65,37.65,37.65,200,37.65
2015-01-30,38.28,38.28,38.28,38.28,400,38.28
2015-01-29,38.07,38.58,38.07,38.51,1100,38.51
2015-01-28,38.69,38.69,38.49,38.49,700,38.49
2015-01-27,38.57,38.57,38.36,38.36,500,38.36
2015-01-26,38.62,38.94,38.62,38.75,2800,38.75
2015-01-23,38.56,38.87,38.56,38.72,1700,38.72
2015-01-22,38.26,38.60,38.26,38.60,2800,38.60
2015-01-21,38.09,38.13,37.90,37.90,1200,37.90
2015-01-20,37.79,37.79,37.79,37.79,000,37.79
2015-01-16,37.65,37.79,37.60,37.79,1900,37.79
2015-01-15,37.95,37.95,37.41,37.41,500,37.41
2015-01-14,37.64,37.68,37.52,37.68,2200,37.68
2015-01-13,38.23,38.23,37.56,37.56,2100,37.56
2015-01-12,37.63,37.77,37.61,37.61,300,37.61
2015-01-09,37.94,38.00,37.94,38.00,600,38.00
2015-01-08,37.52,37.91,37.52,37.91,1500,37.91
2015-01-07,37.18,37.42,37.18,37.40,2800,37.40
2015-01-06,37.00,37.00,36.79,36.91,1000,36.91
2015-01-05,37.66,37.66,37.17,37.25,3200,37.25
2015-01-02,38.20,38.20,38.20,38.20,000,38.20
