Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,23.35,23.35,22.75,22.75,106500,22.67
2014-12-30,23.25,23.39,23.12,23.21,35300,23.13
2014-12-29,23.02,23.34,23.02,23.23,56200,23.15
2014-12-26,22.99,23.07,22.90,22.94,23900,22.86
2014-12-24,23.24,23.24,22.80,22.96,36000,22.88
2014-12-23,22.85,23.17,22.82,23.10,57200,23.02
2014-12-22,22.53,22.87,22.47,22.86,34900,22.78
2014-12-19,22.75,22.94,22.37,22.58,214400,22.50
2014-12-18,22.50,22.84,22.31,22.81,82600,22.73
2014-12-17,21.85,22.50,21.59,22.49,103800,22.41
2014-12-16,21.70,22.23,21.67,21.84,71900,21.76
2014-12-15,21.84,21.98,21.40,21.75,85700,21.67
2014-12-12,21.78,22.30,21.68,21.77,68800,21.69
2014-12-11,21.78,22.32,21.78,22.09,56300,22.01
2014-12-10,22.34,22.49,21.66,21.69,66900,21.61
2014-12-09,21.65,22.50,21.57,22.49,75400,22.41
2014-12-08,22.14,22.35,21.85,21.92,42500,21.84
2014-12-05,21.79,22.29,21.79,22.15,78100,22.07
2014-12-04,21.80,22.06,21.60,21.80,59300,21.72
2014-12-03,21.65,22.06,21.43,21.88,59200,21.80
2014-12-02,21.35,21.93,21.35,21.72,57200,21.56
2014-12-01,21.45,21.61,21.35,21.35,91200,21.20
2014-11-28,22.00,22.00,21.42,21.45,48600,21.30
2014-11-26,21.99,22.03,21.52,21.92,71700,21.76
2014-11-25,21.98,22.12,21.87,21.97,41100,21.81
2014-11-24,21.66,22.01,21.64,22.00,54200,21.84
2014-11-21,22.07,22.07,21.52,21.55,64800,21.39
2014-11-20,21.45,21.87,21.38,21.83,35900,21.67
2014-11-19,22.04,22.04,21.39,21.66,59600,21.50
2014-11-18,22.12,22.38,22.01,22.11,42100,21.95
2014-11-17,22.24,22.26,21.98,22.06,46300,21.90
2014-11-14,22.22,22.36,21.94,22.27,75600,22.11
2014-11-13,22.59,22.59,22.08,22.15,35200,21.99
2014-11-12,22.26,22.57,22.26,22.51,40200,22.35
2014-11-11,22.27,22.42,22.26,22.30,52500,22.14
2014-11-10,22.25,22.47,22.11,22.45,63500,22.29
2014-11-07,22.32,22.54,22.07,22.22,55300,22.06
2014-11-06,22.33,22.44,22.07,22.33,107800,22.17
2014-11-05,22.19,22.41,22.01,22.34,91200,22.18
2014-11-04,22.37,22.65,21.92,21.99,99800,21.83
2014-11-03,22.72,22.80,22.24,22.47,86600,22.31
2014-10-31,22.57,22.71,22.06,22.65,129500,22.49
2014-10-30,21.79,22.18,21.42,22.14,109300,21.98
2014-10-29,22.00,22.09,21.64,21.93,130800,21.77
2014-10-28,21.21,22.00,21.00,21.97,170100,21.81
2014-10-27,20.97,21.23,20.77,21.21,43200,21.06
2014-10-24,21.09,21.20,20.98,21.06,70500,20.91
2014-10-23,21.01,21.19,20.79,20.98,84900,20.83
