Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,28.90,28.90,28.90,28.90,000,28.90
2015-04-07,28.90,28.90,28.90,28.90,200,28.90
2015-04-06,29.02,29.10,28.78,28.78,2300,28.78
2015-04-02,29.43,29.65,29.00,29.65,4900,29.65
2015-04-01,29.58,29.60,29.50,29.50,4100,29.50
2015-03-31,29.55,29.56,28.95,28.95,600,28.95
2015-03-30,29.57,29.57,29.00,29.00,900,29.00
2015-03-27,29.53,29.53,29.40,29.40,3100,29.40
2015-03-26,28.52,28.52,28.05,28.16,500,28.16
2015-03-25,28.05,28.30,28.05,28.30,2600,28.30
2015-03-24,27.50,27.50,27.50,27.50,500,27.50
2015-03-23,27.94,27.94,27.94,27.94,000,27.94
2015-03-20,27.94,27.94,27.94,27.94,400,27.94
2015-03-19,27.20,27.20,27.20,27.20,000,27.20
2015-03-18,27.35,27.35,27.20,27.20,300,27.20
2015-03-17,27.55,27.55,26.80,26.80,10300,26.80
2015-03-16,28.00,28.00,28.00,28.00,000,28.00
2015-03-13,28.00,28.00,28.00,28.00,000,28.00
2015-03-12,28.00,28.00,28.00,28.00,200,28.00
2015-03-11,27.87,27.87,27.64,27.64,200,27.64
2015-03-10,27.87,27.87,27.78,27.86,1300,27.86
2015-03-09,27.79,27.79,27.79,27.79,300,27.79
2015-03-06,27.65,27.65,27.65,27.65,000,27.65
2015-03-05,27.65,27.65,27.65,27.65,000,27.65
2015-03-04,27.65,27.65,27.65,27.65,000,27.65
2015-03-03,27.65,27.65,27.65,27.65,2000,27.53
2015-03-02,27.40,27.87,27.40,27.47,1300,27.35
2015-02-27,27.46,27.46,27.40,27.40,1100,27.28
2015-02-26,26.89,26.89,26.89,26.89,000,26.77
2015-02-25,26.89,26.89,26.89,26.89,1200,26.77
2015-02-24,26.89,26.89,26.89,26.89,000,26.77
2015-02-23,26.89,26.89,26.89,26.89,000,26.77
2015-02-20,26.80,26.89,26.80,26.89,2000,26.77
2015-02-19,26.80,26.80,26.20,26.45,4000,26.34
2015-02-18,26.75,26.99,26.65,26.99,5700,26.87
2015-02-17,26.80,26.80,26.80,26.80,200,26.68
2015-02-13,26.77,26.77,26.77,26.77,000,26.65
2015-02-12,26.77,26.77,26.77,26.77,400,26.65
2015-02-11,26.51,26.51,26.51,26.51,000,26.39
2015-02-10,26.51,26.51,26.51,26.51,000,26.39
2015-02-09,26.51,26.51,26.51,26.51,000,26.39
2015-02-06,27.87,27.87,26.51,26.51,1000,26.39
2015-02-05,27.50,27.50,27.50,27.50,400,27.38
2015-02-04,27.00,27.85,27.00,27.82,400,27.70
2015-02-03,26.25,26.25,26.25,26.25,200,26.14
2015-02-02,26.05,26.07,26.05,26.07,400,25.96
2015-01-30,26.25,26.25,26.05,26.07,1400,25.96
2015-01-29,26.25,26.25,26.10,26.10,1700,25.99
2015-01-28,26.24,26.24,26.24,26.24,100,26.13
2015-01-27,26.25,26.25,26.25,26.25,200,26.14
2015-01-26,26.24,26.24,26.24,26.24,300,26.13
2015-01-23,26.24,26.25,26.20,26.20,3800,26.09
2015-01-22,26.00,26.00,26.00,26.00,1000,25.89
2015-01-21,26.01,26.01,26.01,26.01,400,25.90
2015-01-20,25.90,26.05,25.90,26.00,1300,25.89
2015-01-16,25.95,25.95,25.95,25.95,300,25.84
2015-01-15,26.25,26.25,26.25,26.25,000,26.14
2015-01-14,26.25,26.25,26.25,26.25,400,26.14
2015-01-13,26.00,26.00,26.00,26.00,300,25.89
2015-01-12,26.00,26.00,26.00,26.00,300,25.89
2015-01-09,25.83,25.83,25.83,25.83,200,25.72
2015-01-08,25.71,25.71,25.71,25.71,3000,25.60
2015-01-07,25.55,25.55,25.55,25.55,000,25.44
2015-01-06,25.55,25.55,25.55,25.55,400,25.44
2015-01-05,25.94,25.94,25.91,25.91,1500,25.80
2015-01-02,25.70,26.46,25.70,26.30,11200,26.19
