Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,3.08,3.15,3.06,3.09,27200,3.09
2015-04-07,3.06,3.14,3.06,3.11,31100,3.11
2015-04-06,3.10,3.10,3.02,3.04,55400,3.04
2015-04-02,3.10,3.15,3.09,3.15,10900,3.15
2015-04-01,3.09,3.16,3.03,3.10,114000,3.10
2015-03-31,3.08,3.20,3.08,3.13,46600,3.13
2015-03-30,3.08,3.12,3.04,3.12,44800,3.12
2015-03-27,3.01,3.09,3.01,3.05,16800,3.05
2015-03-26,3.04,3.05,3.01,3.03,14000,3.03
2015-03-25,3.11,3.11,3.01,3.01,64400,3.01
2015-03-24,3.17,3.17,3.09,3.10,26700,3.10
2015-03-23,3.15,3.20,3.15,3.15,23100,3.15
2015-03-20,3.15,3.20,3.15,3.16,60800,3.16
2015-03-19,3.11,3.20,3.11,3.20,109000,3.20
2015-03-18,3.02,3.17,3.00,3.13,68000,3.13
2015-03-17,3.11,3.16,3.03,3.05,438800,3.05
2015-03-16,3.11,3.20,3.08,3.18,60400,3.18
2015-03-13,3.16,3.19,3.08,3.19,21200,3.19
2015-03-12,3.15,3.16,3.12,3.14,17500,3.14
2015-03-11,3.09,3.13,3.09,3.10,24700,3.10
2015-03-10,3.14,3.15,3.10,3.10,35800,3.10
2015-03-09,3.17,3.18,3.13,3.13,33100,3.13
2015-03-06,3.20,3.20,3.15,3.16,28500,3.16
2015-03-05,3.17,3.20,3.15,3.20,38400,3.20
2015-03-04,3.20,3.20,3.14,3.20,24200,3.20
2015-03-03,3.22,3.22,3.15,3.19,68800,3.19
2015-03-02,3.25,3.30,3.19,3.19,44700,3.19
2015-02-27,3.20,3.31,3.20,3.24,67700,3.24
2015-02-26,3.21,3.26,3.16,3.22,48600,3.22
2015-02-25,3.14,3.20,3.14,3.19,33800,3.19
2015-02-24,3.17,3.21,3.17,3.19,27600,3.19
2015-02-23,3.17,3.22,3.17,3.20,39500,3.20
2015-02-20,3.20,3.31,3.17,3.20,111100,3.20
2015-02-19,3.15,3.20,3.15,3.20,49900,3.20
2015-02-18,3.22,3.22,3.13,3.20,35600,3.20
2015-02-17,3.27,3.28,3.20,3.25,41300,3.25
2015-02-13,3.29,3.34,3.23,3.31,26100,3.31
2015-02-12,3.20,3.37,3.20,3.30,32700,3.30
2015-02-11,3.22,3.22,3.15,3.18,38300,3.18
2015-02-10,3.31,3.40,3.20,3.21,33500,3.21
2015-02-09,3.34,3.37,3.31,3.32,42000,3.32
2015-02-06,3.31,3.37,3.28,3.37,35100,3.37
2015-02-05,3.24,3.32,3.24,3.28,38900,3.28
2015-02-04,3.24,3.32,3.24,3.25,22600,3.25
2015-02-03,3.20,3.37,3.20,3.28,85700,3.28
2015-02-02,3.20,3.24,3.20,3.21,43000,3.21
2015-01-30,3.26,3.28,3.21,3.23,23100,3.23
2015-01-29,3.28,3.35,3.22,3.24,30000,3.24
2015-01-28,3.31,3.33,3.20,3.30,179300,3.30
2015-01-27,3.36,3.38,3.26,3.33,66100,3.33
2015-01-26,3.30,3.43,3.27,3.41,53900,3.41
2015-01-23,3.32,3.36,3.30,3.30,77500,3.30
2015-01-22,3.46,3.54,3.30,3.35,94300,3.35
2015-01-21,3.55,3.55,3.44,3.47,42100,3.47
2015-01-20,3.46,3.54,3.46,3.52,32400,3.52
2015-01-16,3.46,3.49,3.44,3.47,34200,3.47
2015-01-15,3.53,3.64,3.40,3.46,84400,3.46
2015-01-14,3.50,3.56,3.50,3.52,58500,3.52
2015-01-13,3.55,3.63,3.50,3.50,48900,3.50
2015-01-12,3.66,3.67,3.50,3.57,116300,3.57
2015-01-09,3.66,3.72,3.64,3.66,10700,3.66
2015-01-08,3.70,3.70,3.66,3.66,67300,3.66
2015-01-07,3.70,3.70,3.66,3.67,27200,3.67
2015-01-06,3.63,3.76,3.63,3.68,55900,3.68
2015-01-05,3.73,3.74,3.62,3.63,79500,3.63
2015-01-02,3.83,3.86,3.71,3.73,34000,3.73
