Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,3.63,3.70,3.62,3.68,667400,3.68
2015-04-07,3.52,3.62,3.51,3.62,158400,3.62
2015-04-06,3.53,3.55,3.51,3.53,45600,3.53
2015-04-02,3.48,3.55,3.47,3.55,199800,3.55
2015-04-01,3.53,3.53,3.49,3.51,230300,3.51
2015-03-31,3.51,3.56,3.50,3.52,104300,3.52
2015-03-30,3.48,3.56,3.48,3.55,131900,3.55
2015-03-27,3.51,3.54,3.50,3.54,136700,3.54
2015-03-26,3.55,3.56,3.52,3.55,117900,3.48
2015-03-25,3.53,3.55,3.52,3.55,67500,3.48
2015-03-24,3.53,3.55,3.52,3.55,78200,3.48
2015-03-23,3.56,3.57,3.50,3.55,99600,3.48
2015-03-20,3.60,3.60,3.50,3.55,105300,3.48
2015-03-19,3.57,3.60,3.51,3.58,105300,3.51
2015-03-18,3.59,3.61,3.56,3.59,72100,3.52
2015-03-17,3.56,3.59,3.56,3.59,21600,3.52
2015-03-16,3.59,3.63,3.56,3.59,94900,3.52
2015-03-13,3.58,3.62,3.56,3.57,94600,3.50
2015-03-12,3.58,3.62,3.56,3.56,27300,3.49
2015-03-11,3.59,3.60,3.50,3.58,128200,3.51
2015-03-10,3.72,3.75,3.54,3.58,164200,3.51
2015-03-09,3.78,3.80,3.72,3.73,92400,3.66
2015-03-06,3.79,3.82,3.75,3.79,148900,3.72
2015-03-05,3.80,3.84,3.77,3.78,147200,3.71
2015-03-04,3.85,3.85,3.78,3.80,158100,3.73
2015-03-03,3.81,3.95,3.79,3.90,188200,3.83
2015-03-02,3.85,3.85,3.78,3.81,280600,3.74
2015-02-27,3.75,3.90,3.75,3.88,197100,3.81
2015-02-26,3.79,3.85,3.73,3.79,139600,3.72
2015-02-25,3.88,3.90,3.75,3.83,192700,3.76
2015-02-24,3.86,3.98,3.77,3.92,307200,3.78
2015-02-23,4.68,4.69,3.76,3.92,884200,3.78
2015-02-20,4.68,4.68,4.59,4.66,119900,4.49
2015-02-19,4.63,4.64,4.51,4.60,45700,4.44
2015-02-18,4.55,4.63,4.55,4.58,60700,4.42
2015-02-17,4.41,4.58,4.41,4.53,92400,4.37
2015-02-13,4.39,4.53,4.35,4.40,114200,4.24
2015-02-12,4.30,4.40,4.30,4.34,41400,4.19
2015-02-11,4.38,4.38,4.26,4.32,48600,4.17
2015-02-10,4.45,4.45,4.22,4.33,190500,4.18
2015-02-09,4.43,4.45,4.37,4.42,84500,4.26
2015-02-06,4.37,4.42,4.36,4.37,57000,4.21
2015-02-05,4.31,4.41,4.29,4.35,48100,4.19
2015-02-04,4.34,4.45,4.32,4.32,47100,4.17
2015-02-03,4.47,4.48,4.26,4.35,253900,4.19
2015-02-02,4.60,4.60,4.38,4.45,112300,4.29
2015-01-30,4.60,4.65,4.54,4.55,41100,4.39
2015-01-29,4.59,4.69,4.57,4.62,80900,4.46
2015-01-28,4.72,4.77,4.64,4.64,60200,4.47
2015-01-27,4.74,4.84,4.74,4.81,81700,4.57
2015-01-26,4.80,4.83,4.73,4.78,99700,4.55
2015-01-23,4.77,4.82,4.77,4.78,59700,4.55
2015-01-22,4.76,4.88,4.70,4.73,149300,4.50
2015-01-21,4.80,4.90,4.71,4.74,110700,4.51
2015-01-20,4.80,4.85,4.70,4.79,110900,4.55
2015-01-16,4.77,5.00,4.65,4.77,141800,4.54
2015-01-15,4.77,4.78,4.70,4.77,91000,4.54
2015-01-14,4.68,4.73,4.63,4.72,65300,4.49
2015-01-13,4.80,4.80,4.67,4.73,64500,4.50
2015-01-12,4.75,4.79,4.72,4.79,50200,4.55
2015-01-09,4.74,4.79,4.63,4.71,42200,4.48
2015-01-08,4.88,4.90,4.70,4.73,96000,4.50
2015-01-07,4.69,4.88,4.66,4.88,61900,4.64
2015-01-06,4.83,4.83,4.63,4.63,54800,4.40
2015-01-05,4.67,4.90,4.64,4.81,144800,4.57
2015-01-02,4.53,4.64,4.53,4.63,51900,4.40
