Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,12.54,12.56,12.35,12.36,805100,12.27
2014-12-30,12.40,12.57,12.30,12.48,495200,12.39
2014-12-29,12.45,12.67,12.44,12.57,590900,12.40
2014-12-26,12.47,12.56,12.44,12.47,464900,12.30
2014-12-24,12.49,12.49,12.32,12.40,295800,12.23
2014-12-23,12.49,12.60,12.35,12.52,785100,12.35
2014-12-22,12.36,12.49,12.22,12.44,1010600,12.27
2014-12-19,12.35,12.46,12.24,12.36,3026200,12.19
2014-12-18,12.36,12.44,12.26,12.37,1050300,12.20
2014-12-17,11.87,12.26,11.87,12.24,1416700,12.07
2014-12-16,11.79,12.05,11.72,11.86,1069600,11.70
2014-12-15,11.93,12.04,11.76,11.84,1353400,11.68
2014-12-12,11.82,12.02,11.81,11.87,1284400,11.71
2014-12-11,11.99,12.06,11.87,11.90,1819300,11.74
2014-12-10,12.29,12.35,11.87,11.89,1300000,11.73
2014-12-09,12.15,12.41,12.12,12.34,1337300,12.17
2014-12-08,12.16,12.49,12.12,12.31,1111100,12.14
2014-12-05,12.12,12.43,12.12,12.25,1531600,12.08
2014-12-04,12.02,12.10,11.95,12.06,530700,11.89
2014-12-03,11.94,12.09,11.89,12.07,688000,11.90
2014-12-02,11.78,12.10,11.78,11.95,641300,11.79
2014-12-01,11.93,11.97,11.70,11.80,759700,11.64
2014-11-28,12.15,12.22,11.91,11.94,254900,11.78
2014-11-26,12.21,12.23,12.07,12.16,624300,11.99
2014-11-25,12.22,12.30,12.17,12.27,771700,12.08
2014-11-24,12.14,12.23,12.08,12.22,540000,12.03
2014-11-21,12.30,12.33,12.07,12.09,780800,11.90
2014-11-20,12.03,12.22,12.00,12.22,739400,12.03
2014-11-19,12.12,12.21,11.98,12.07,1030400,11.89
2014-11-18,12.23,12.27,12.13,12.15,746000,11.96
2014-11-17,12.24,12.27,12.17,12.21,660200,12.02
2014-11-14,12.29,12.37,12.22,12.27,897300,12.08
2014-11-13,12.59,12.60,12.29,12.29,957900,12.10
2014-11-12,11.99,12.52,11.99,12.46,2222800,12.27
2014-11-11,12.07,12.12,12.03,12.06,256700,11.88
2014-11-10,12.00,12.10,11.89,12.10,527300,11.91
2014-11-07,12.00,12.09,11.90,12.01,602800,11.83
2014-11-06,11.88,12.02,11.85,12.00,708500,11.82
2014-11-05,11.83,11.91,11.71,11.90,2092300,11.72
2014-11-04,11.77,11.89,11.67,11.74,612600,11.56
2014-11-03,11.88,11.95,11.74,11.81,800500,11.63
2014-10-31,11.84,11.94,11.74,11.88,817000,11.70
2014-10-30,11.70,11.80,11.60,11.73,613800,11.55
2014-10-29,11.47,11.76,11.43,11.74,1092100,11.56
2014-10-28,11.32,11.54,11.32,11.49,821300,11.31
2014-10-27,11.20,11.33,11.15,11.30,930600,11.13
2014-10-24,11.21,11.36,11.21,11.28,1088100,11.11
2014-10-23,11.44,11.50,11.23,11.24,863300,11.07
2014-10-22,11.44,11.54,11.20,11.30,1136600,11.13
2014-10-21,10.84,11.10,10.84,11.03,673000,10.86
2014-10-20,10.72,10.82,10.68,10.82,705600,10.65
2014-10-17,10.83,10.86,10.69,10.77,573600,10.61
2014-10-16,10.47,10.77,10.45,10.74,1188700,10.58
2014-10-15,10.75,10.76,10.43,10.58,1275600,10.42
2014-10-14,10.86,11.01,10.80,10.88,752600,10.71
2014-10-13,10.73,10.90,10.73,10.82,833800,10.65
2014-10-10,10.85,10.96,10.71,10.72,989200,10.56
2014-10-09,11.11,11.11,10.84,10.84,1033400,10.67
2014-10-08,10.85,11.15,10.85,11.13,799100,10.96
2014-10-07,10.99,11.03,10.86,10.87,659900,10.70
2014-10-06,11.14,11.20,11.00,11.05,726500,10.88
2014-10-03,11.20,11.26,11.10,11.11,585400,10.94
2014-10-02,10.98,11.16,10.96,11.10,715800,10.93
