Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,24.10,24.24,24.00,24.21,1937100,24.21
2015-04-07,23.96,24.20,23.92,23.94,2446700,23.94
2015-04-06,23.86,24.07,23.75,23.97,1539900,23.97
2015-04-02,23.90,23.96,23.77,23.89,2080000,23.89
2015-04-01,24.05,24.05,23.59,23.84,2677900,23.84
2015-03-31,24.21,24.26,23.99,24.01,2460900,24.01
2015-03-30,24.25,24.30,24.13,24.29,2809500,24.29
2015-03-27,23.75,24.06,23.75,24.03,1556600,24.03
2015-03-26,23.51,23.88,23.45,23.71,1790900,23.71
2015-03-25,24.44,24.47,23.78,23.80,1810600,23.80
2015-03-24,24.54,24.61,24.38,24.39,1228200,24.39
2015-03-23,24.64,24.64,24.45,24.51,1837700,24.51
2015-03-20,24.86,24.86,24.58,24.66,1789100,24.66
2015-03-19,24.40,24.59,24.39,24.58,1820000,24.58
2015-03-18,24.25,24.50,24.05,24.41,1590800,24.41
2015-03-17,24.16,24.29,24.08,24.26,1862000,24.26
2015-03-16,24.02,24.25,24.00,24.25,1436400,24.25
2015-03-13,23.99,24.05,23.73,23.89,1495100,23.89
2015-03-12,23.78,23.95,23.73,23.95,2282000,23.95
2015-03-11,23.68,23.69,23.52,23.64,1691200,23.64
2015-03-10,23.68,23.72,23.48,23.60,1265100,23.60
2015-03-09,23.86,23.86,23.66,23.81,1043900,23.81
2015-03-06,24.03,24.03,23.71,23.77,1541600,23.77
2015-03-05,23.95,24.14,23.95,24.08,1455500,24.08
2015-03-04,23.80,23.89,23.64,23.86,927200,23.86
2015-03-03,23.93,23.93,23.64,23.81,1488700,23.81
2015-03-02,23.74,23.91,23.73,23.91,2148300,23.91
2015-02-27,23.84,23.85,23.67,23.71,1344900,23.71
2015-02-26,23.78,23.81,23.65,23.80,1130100,23.80
2015-02-25,23.61,23.83,23.50,23.75,1564500,23.75
2015-02-24,23.68,23.68,23.46,23.57,1394900,23.57
2015-02-23,23.63,23.75,23.59,23.65,1311900,23.65
2015-02-20,23.39,23.60,23.31,23.60,1494600,23.60
2015-02-19,23.28,23.41,23.26,23.38,1662500,23.38
2015-02-18,23.15,23.29,23.10,23.29,1857100,23.29
2015-02-17,23.12,23.19,23.05,23.15,1688000,23.15
2015-02-13,23.03,23.10,22.86,23.10,1564500,23.10
2015-02-12,22.77,22.93,22.71,22.93,1958900,22.93
2015-02-11,22.65,22.76,22.54,22.68,1721400,22.68
2015-02-10,22.52,22.67,22.43,22.64,2073100,22.64
2015-02-09,22.45,22.51,22.31,22.36,896600,22.36
2015-02-06,22.69,22.75,22.43,22.52,1229800,22.52
2015-02-05,22.53,22.64,22.42,22.63,1115200,22.63
2015-02-04,22.38,22.46,22.17,22.36,1462700,22.36
2015-02-03,22.38,22.46,22.13,22.46,910500,22.46
2015-02-02,22.38,22.38,21.91,22.32,982100,22.32
2015-01-30,22.42,22.64,22.25,22.27,1894000,22.27
2015-01-29,22.40,22.52,22.12,22.51,1227200,22.51
2015-01-28,22.85,22.85,22.28,22.33,1718600,22.33
2015-01-27,22.77,22.81,22.48,22.66,1692500,22.66
2015-01-26,22.64,22.82,22.55,22.82,1461400,22.82
2015-01-23,22.62,22.67,22.51,22.61,1440400,22.61
2015-01-22,22.40,22.59,22.08,22.59,2104800,22.59
2015-01-21,22.20,22.41,22.12,22.27,1458200,22.27
2015-01-20,22.28,22.28,21.93,22.21,1204800,22.21
2015-01-16,21.81,22.12,21.74,22.12,2157700,22.12
2015-01-15,22.20,22.21,21.75,21.78,1371800,21.78
2015-01-14,21.94,22.11,21.90,22.09,1292700,22.09
2015-01-13,22.30,22.49,21.93,22.14,1297600,22.14
2015-01-12,22.33,22.33,22.05,22.12,1461300,22.12
2015-01-09,22.41,22.41,22.07,22.17,1709900,22.17
2015-01-08,22.24,22.32,22.15,22.32,2240300,22.32
2015-01-07,21.80,21.99,21.71,21.99,1753900,21.99
2015-01-06,21.98,21.98,21.37,21.55,1072500,21.55
2015-01-05,21.92,21.92,21.69,21.78,1146600,21.78
2015-01-02,22.17,22.22,21.83,21.98,892100,21.98
