Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,7.46,7.49,7.41,7.41,90900,7.41
2015-04-07,7.46,7.50,7.45,7.47,108900,7.47
2015-04-06,7.47,7.50,7.46,7.48,95500,7.48
2015-04-02,7.44,7.49,7.41,7.48,92800,7.48
2015-04-01,7.43,7.46,7.37,7.42,104500,7.42
2015-03-31,7.51,7.58,7.37,7.40,356000,7.40
2015-03-30,7.50,7.51,7.46,7.50,183300,7.50
2015-03-27,7.45,7.50,7.43,7.48,118300,7.48
2015-03-26,7.44,7.52,7.41,7.44,140800,7.44
2015-03-25,7.46,7.54,7.40,7.43,187100,7.43
2015-03-24,7.40,7.45,7.36,7.44,169700,7.44
2015-03-23,7.40,7.40,7.35,7.38,102400,7.38
2015-03-20,7.43,7.44,7.35,7.40,127700,7.40
2015-03-19,7.41,7.41,7.36,7.40,124600,7.40
2015-03-18,7.37,7.42,7.34,7.41,155600,7.41
2015-03-17,7.40,7.42,7.36,7.41,174600,7.35
2015-03-16,7.44,7.45,7.36,7.39,174100,7.33
2015-03-13,7.40,7.43,7.36,7.42,133200,7.36
2015-03-12,7.38,7.40,7.35,7.39,150500,7.33
2015-03-11,7.31,7.39,7.30,7.37,258600,7.31
2015-03-10,7.32,7.39,7.30,7.31,1162400,7.25
2015-03-09,7.74,7.78,7.60,7.60,190800,7.54
2015-03-06,7.70,7.73,7.60,7.72,162600,7.66
2015-03-05,7.78,7.82,7.69,7.70,150100,7.64
2015-03-04,7.78,7.80,7.71,7.78,140800,7.72
2015-03-03,7.95,7.95,7.73,7.80,166500,7.74
2015-03-02,8.01,8.04,7.88,7.94,177600,7.88
2015-02-27,7.94,8.01,7.90,7.96,228100,7.90
2015-02-26,7.89,7.92,7.85,7.91,119000,7.85
2015-02-25,7.85,7.89,7.78,7.88,113400,7.82
2015-02-24,7.85,7.86,7.74,7.83,117600,7.77
2015-02-23,7.81,7.84,7.78,7.83,137500,7.77
2015-02-20,7.75,7.80,7.69,7.80,81700,7.74
2015-02-19,7.78,7.80,7.73,7.75,89500,7.69
2015-02-18,7.77,7.79,7.68,7.78,79100,7.72
2015-02-17,7.69,7.77,7.62,7.77,138600,7.71
2015-02-13,7.58,7.73,7.56,7.69,97100,7.63
2015-02-12,7.66,7.69,7.55,7.64,175000,7.52
2015-02-11,7.85,7.86,7.60,7.64,160100,7.52
2015-02-10,7.80,7.87,7.66,7.86,163700,7.74
2015-02-09,7.62,7.77,7.58,7.77,183400,7.65
2015-02-06,7.50,7.65,7.48,7.65,164000,7.53
2015-02-05,7.41,7.50,7.37,7.50,119800,7.38
2015-02-04,7.30,7.42,7.30,7.37,66400,7.25
2015-02-03,7.35,7.40,7.31,7.37,92500,7.25
2015-02-02,7.33,7.35,7.28,7.35,42900,7.23
2015-01-30,7.33,7.35,7.31,7.32,50300,7.20
2015-01-29,7.30,7.34,7.26,7.33,49000,7.21
2015-01-28,7.36,7.36,7.28,7.30,66400,7.18
2015-01-27,7.26,7.35,7.25,7.35,45600,7.23
2015-01-26,7.34,7.35,7.28,7.30,80100,7.18
2015-01-23,7.33,7.35,7.28,7.33,49200,7.21
2015-01-22,7.26,7.37,7.19,7.30,57200,7.18
2015-01-21,7.29,7.34,7.25,7.26,60700,7.14
2015-01-20,7.35,7.42,7.33,7.40,162900,7.22
2015-01-16,7.29,7.36,7.23,7.35,71000,7.17
2015-01-15,7.32,7.36,7.22,7.27,75100,7.10
2015-01-14,7.30,7.36,7.27,7.36,90400,7.18
2015-01-13,7.30,7.35,7.28,7.33,85400,7.16
2015-01-12,7.34,7.34,7.25,7.31,62100,7.14
2015-01-09,7.35,7.35,7.25,7.32,65900,7.15
2015-01-08,7.27,7.34,7.27,7.34,50500,7.16
2015-01-07,7.27,7.30,7.23,7.26,40900,7.09
2015-01-06,7.24,7.31,7.21,7.24,80900,7.07
2015-01-05,7.13,7.31,7.13,7.26,177100,7.09
2015-01-02,7.00,7.20,6.98,7.11,158800,6.94
